call,gota_call,club_name,section,transmitters,class,power_source,final_score,total_qsos,total_cw_qsos,total_digital_qsos,total_phone_qsos,power_multiplier,bonus_points,number_of_participants
AB3RU,NA,NA,WPA,1,1B1B,B,750,50,50,0,0,5,2.5,1
AB4EL,NA,NA,NC,1,1E,B,980,83,83,0,0,5,1.5,1
AB4KE,NA,"LARC - LaGrange, Ga",GA,6,6A,G,2456,405,200,18,187,2,12.1,35
AB4SF,NA,NA,VA,1,1D,C,366,54,0,54,0,2,1.5,1
AB4V,NA,Team B&B,NC,1,1A,G,2430,710,380,0,330,2,2.5,3
AB4VT,NA,NA,GA,1,1D,C,110,27,0,3,24,2,0.5,1
AB4WL,NA,NA,AL,1,1D,C,394,86,77,9,0,2,0.5,1
AB5ER,W5STR,No Cen AR Am Rad Serv / Cabot Small Town Am Rad Serv,AR,2,2F,G,8138,2200,1144,0,1056,2,14.5,75
AB5XM,NA,NA,STX,1,1D,C,36,9,7,2,0,2,0,1
AB6MV,AI6PD,NA,ORG,2,2A,G,1240,155,0,0,155,2,9.3,26
AB6S,NA,NA,SJV,1,1B1,G,742,296,0,0,296,2,1.5,1
AB7AA,NA,NA,AZ,2,2C,G,2224,419,0,418,1,2,5.5,2
AB7HP,NA,Hewlett Packard Boise ARC,ID,1,1AC,C,624,274,0,0,274,1,3.5,8
AB7WP,NA,NA,AZ,1,1D,C,72,11,0,0,11,2,0.5,1
AB8DF,NA,Michigan QRP Club,MI,1,1B1B,B,710,46,46,0,0,5,2.5,1
AB8I,NA,Calhoun Cty Em Serv,MI,3,3F,G,2756,651,355,97,199,2,5.5,9
AB8VE,NA,NA,OH,1,1D,C,218,84,0,0,84,2,0.5,1
AB8VV,NA,NA,MI,1,1D,C,486,84,84,0,0,2,1.5,1
AB9CA,NA,NA,AL,1,1D,C,2578,607,607,0,0,2,1.5,1
AB0YM,NA,NA,CO,1,1E,B,218,17,0,17,0,2,1.5,1
AC1L,KB1MSU,Franklin Cty ARC,WMA,2,2A,G,3960,885,590,0,295,2,10.1,32
AC2AZ,NA,NA,NLI,1,1B2,G,486,18,0,0,18,2,4.5,2
AC2JO,NA,NA,WNY,1,1C,G,208,29,0,0,29,2,1.5,1
AC2KP,NA,NA,WNY,1,1D,C,182,66,0,0,66,2,0.5,1
AC2N,NA,NA,NFL,1,1E,G,352,76,0,0,76,2,2,1
AC3V,NA,NA,EPA,2,2E,B,1254,238,154,0,84,2,4.7,6
AC4Q,NA,Chartier Brothers,SC,3,3A,B,2672,723,538,0,185,2,1.5,3
AC4RF,NA,NA,NC,1,1E,G,542,139,0,7,132,2,2.5,5
AC6EE,AB6DM,Southern Sierra ARS,SJV,2,2AC,C,1176,293,0,0,293,2,5.9,43
AC6VA,NA,Vet Admin Long Beach ARC,LAX,1,1A,B,68,9,0,0,9,2,0.5,3
AC7A,NA,NA,AZ,1,1B1B,B,2350,210,210,0,0,5,2.5,1
AC7CJ,NA,NA,EWA,1,1B1,B,248,49,0,0,49,2,1.5,1
AC7LC,NA,NA,WWA,1,1E,B,310,6,0,6,0,5,2.5,1
AC7R,NA,MARA Net,AZ,1,1A,B,318,34,0,0,34,2,2.5,11
AC8NO,NA,NA,MI,1,1D,C,70,10,0,0,10,2,0.5,1
AC8RC,NA,Allegan Cty ARC,MI,5,5A,G,1734,167,0,25,142,2,13.5,18
AC8RJ,NA,NA,OH,1,1E,B,364,107,0,0,107,2,1.5,1
AC8S,NA,NA,MI,1,1D,C,20,5,5,0,0,2,0,1
AC8UC,NA,NA,OH,1,1B1,B,646,148,0,0,148,2,3.5,1
AC0GP,NA,NA,MO,1,1E,G,512,103,0,103,0,2,1,4
AD1T,K1JWM,CCDX ARC,NH,5,5A,G,2432,778,91,92,595,2,5.1,16
AD3Y,NA,NA,SNJ,1,1D,C,144,20,11,6,3,2,0.7,2
AD4AX,NA,NA,VA,2,2E,G,858,102,73,29,0,2,4.5,1
AD4OS,NA,NA,IA,1,1A,G,944,201,196,0,5,2,1.5,3
AD6IZ,NA,Crescenta Valley RC/Glendale Em Aux Rad Serv,LAX,2,2A,B,1072,205,0,6,199,2,6.5,24
AD6Q,NA,NA,NC,2,2B2,B,632,85,0,56,29,2,3.5,2
AD6RH,NA,NA,EB,1,1D,C,48,24,0,0,24,2,0,1
AD7BF,NA,NA,EWA,1,1B2,B,442,96,0,0,96,2,2.5,2
AD7DD,NA,NA,EWA,1,1B1,B,1736,274,0,269,5,2,6.5,1
AD7KG,NA,NA,UT,1,1B2,B,1504,364,213,0,151,2,3.5,2
AD7KI,NA,NA,OK,2,2E,B,618,96,0,28,68,2,3.7,2
AD7MC,NA,NA,WWA,1,1D,C,524,102,85,0,17,2,1.5,1
AD8J,NA,NA,NC,1,1D,C,2294,609,513,0,96,2,0.5,1
AD9OV,AD9RR,Okwa Valley ARC,IL,3,3A,G,4042,842,369,0,473,2,16.2,42
AD0BI,NA,NA,MO,1,1B1B,B,590,34,34,0,0,5,2.5,1
AD0JA,NA,NA,MO,1,1B1C,C,1534,730,0,2,728,2,0.7,1
AD0QI,NA,NA,KS,1,1D,C,114,16,0,16,0,2,0.5,1
AD0RW,NA,NA,IA,1,1E,B,900,65,65,0,0,5,2.5,1
AE1T,NA,NA,NH,1,1D,C,464,207,207,0,0,1,0.5,1
AE2MB,NA,NA,CO,1,1E,G,340,95,0,0,95,2,1.5,1
AE3J,NA,Begley Clan FD,EPA,1,1AB,B,1570,122,122,0,0,5,3.5,4
AE4BL,NA,Calhoun Cty ARES/RACES,AL,1,1A,B,1714,312,0,0,312,2,10.9,4
AE4M,NA,NA,AL,1,1E,G,262,81,0,0,81,2,1,1
AE5CS,NA,NA,AR,1,1E,B,276,63,0,0,63,2,1.5,1
AE5GT,NA,NA,STX,1,1E,G,3710,890,890,0,0,2,1.5,1
AE5RF/1,NA,NA,EMA,1,1B1B,B,300,15,15,0,0,5,1.5,1
AE5TR,NA,NA,MS,1,1E,B,760,51,0,51,0,5,2.5,1
AE6C,NA,Neurosa Gopher Munchers,SV,1,1A,B,3266,689,689,0,0,2,5.1,3
AE6FD,NA,NA,SJV,2,2B2,B,624,137,0,0,137,2,3.5,2
AE6JB,NA,NA,OR,1,1B1B,B,470,24,0,0,24,5,3.5,1
AE7DW,NA,NA,AZ,1,1D,C,58,4,0,0,4,2,0.5,1
AE7WE,NA,NA,OR,1,1D,C,110,30,0,0,30,2,0.5,1
AE8CW,NA,NA,WV,1,1D,C,132,41,0,0,41,2,0.5,1
AE8TF,NA,NA,MI,1,1B1C,C,424,76,0,61,15,2,1.5,1
AE0G,NA,NA,NE,1,1E,C,508,102,102,0,0,2,1,1
AF1R,NA,NA,EMA,1,1E,B,442,46,0,0,46,2,3.5,1
AF2A,NA,Tompkins Cty ARA,WNY,5,5AC,C,646,165,73,60,32,2,0.5,21
AF4I,NA,South Baldwin ARC,AL,3,3A,G,2622,521,243,112,166,2,8.7,52
AF5CC,NA,NA,OK,1,1D,C,438,107,87,0,20,2,0.5,1
AF5OI,NA,NA,AR,1,1D,C,146,48,0,0,48,2,0.5,1
AF6F,NA,NA,ORG,1,1D,C,136,68,0,0,68,2,0,1
AF6GA,NA,NA,SF,1,1B1B,B,1940,159,159,0,0,5,3.5,1
AF6VN,NA,NA,MI,1,1D,C,418,67,0,67,0,2,1.5,1
AF7MD,NA,NA,OR,1,1B1B,B,180,6,0,0,6,5,1.5,1
AF9J,NA,NA,WI,1,1E,B,230,8,8,0,0,5,1.5,1
AF0S,NA,NA,CO,3,3F,B,2932,608,480,3,125,2,7.5,25
AF0Z,NA,NA,MN,1,1D,C,186,61,32,0,29,2,0,1
AG2J,NA,NA,SNJ,1,1E,G,3058,727,727,0,0,2,1.5,1
AG4CG,NA,NA,WCF,1,1D,C,110,24,0,6,18,2,0.5,1
AG4HG,NA,NA,TN,1,1D,C,190,35,0,35,0,2,0.5,1
AG4P,NA,NA,TN,1,1B1,B,864,223,184,0,39,2,0.5,1
AG6AN,NA,NA,LAX,1,1D,C,374,162,0,0,162,2,0.5,1
AG6AQ,NA,NA,SCV,1,1B1B,B,410,26,26,0,0,5,1.5,1
AG6AU,NA,NA,SV,5,5A,G,3298,897,113,44,740,2,11.9,40
AG7AD,NA,NA,MT,1,1D,C,28,14,0,0,14,2,0,1
AH6AX,NA,NA,MDC,2,2E,G,1990,664,306,0,358,2,0.5,6
AI2N,NA,NA,WNY,1,1E,G,2240,600,425,0,175,2,1.9,9
AI2T (+AC2MZ),NA,NA,WNY,1,1B2B,B,550,25,25,0,0,5,3,2
AI4GR,NA,NA,NC,1,1D,C,464,104,32,71,1,2,0.5,1
AI4UN,NA,NA,GA,1,1D,C,110,15,15,0,0,2,0.5,1
AI4WL,NA,NA,NC,1,1D,C,496,173,0,0,173,2,1.5,1
AI5C,NA,NA,SCV,1,1B2,B,202,26,0,0,26,2,1.5,2
AI5M,NA,Sam Houston ARC,STX,1,1A,G,1676,375,333,0,42,2,2.6,19
AI6DE,NA,NA,SV,1,1D,C,86,18,0,0,18,2,0.5,1
AI6F,KJ6FOI,Cal Fire Vols In Prevention - Santa Clara Unit,SCV,2,2A,B,978,24,0,0,24,2,9.3,6
AI6II,NA,NA,SF,1,1D,C,63,63,0,0,63,1,0,1
AI6IN,NA,NA,SV,1,1D,C,82,16,0,0,16,2,0.5,1
AI6OY,NA,NA,SF,1,1C,G,52,1,0,0,1,2,0.5,1
AI9F,NA,Clay Cty Area ARC,IL,2,2F,G,728,39,0,0,39,2,6.5,18
AI9IN,NA,NA,IN,1,1D,C,62,3,2,1,0,2,0.5,1
AJ4A,KE4YVD,Central KY ARS,KY,5,5A,O,8394,2224,1153,0,1071,2,16.4,28
AJ4BB,NA,NA,NV,1,1E,G,318,81,0,3,78,2,1.5,1
AJ4IR,NA,Indian RIver ARC,SFL,2,2A,G,674,135,77,0,58,2,2.5,8
AJ4PN,NA,NA,SFL,1,1D,C,68,9,0,0,9,2,0.5,1
AK2U,NA,NA,WV,1,1D,C,320,80,80,0,0,2,0,1
AK3G,NA,NA,WPA,1,1D,C,346,148,0,0,148,2,0.5,1
AK4BH,NA,NA,SC,1,1B1B,B,2030,197,159,0,38,5,2.5,1
AK4RE,NA,NA,TN,2,2A,B,526,124,0,14,110,2,2.5,3
AK4RJ,NA,NA,NC,1,1E,B,240,95,0,0,95,2,0.5,1
AK7AN,NA,NA,UT,2,2B2,G,954,206,0,196,10,2,1.5,2
AK7AT,NA,NA,ID,3,3E,G,1532,292,133,116,43,2,4.5,3
AK7DB,NA,NA,NV,1,1E,B,278,57,0,57,0,2,0.5,1
AK7MG,NA,NA,NV,1,1E,G,141,41,0,0,41,1,1,1
AK9D,NA,NA,KS,1,1D,C,950,200,0,200,0,2,1.5,3
DL9MFY,NA,NA,DX,1,1D,C,102,13,13,0,0,2,0.5,1
JA1YNE,NA,NA,DX,1,1D,C,66,4,4,0,0,2,0.5,1
JF2IWL,NA,NA,DX,1,1D,C,90,20,20,0,0,1,0.5,1
JJ2YKZ,NA,NA,DX,1,1D,C,66,4,4,0,0,2,0.5,2
K1A,NA,Androscoggin ARC / Oxford CERT Comm Group,ME,4,4A,G,2968,567,265,27,275,2,12.5,25
K1AA,NA,Orlando ARC,NFL,6,6AC,C,2916,675,398,0,277,2,7.7,24
K1ALN,NA,NA,EMA,1,1D,C,68,18,0,0,18,1,0.5,1
K1AOM,NA,Radio Adventurers of Maine,ME,1,1AC,C,138,44,0,0,44,2,0.5,3
K1AUS,NA,NA,MT,1,1D,C,148,49,0,0,49,2,0.5,1
K1B,K1BKE,Contoocook Valley RC,NH,4,4A,B,6138,2016,209,84,1723,2,15.2,27
K1DFT,NA,New England QRP Group,ME,1,1AB,B,3260,311,311,0,0,5,1.5,4
K1DJ,NA,NA,EMA,1,1D,C,878,207,207,0,0,2,0.5,1
K1DPE,NA,NA,NH,1,1B1,B,1030,220,220,0,0,2,1.5,1
K1DW,NA,NA,AL,1,1C,G,482,108,108,0,0,2,0.5,1
K1EEE,NA,NA,NH,1,1E,G,2388,497,372,0,125,2,6.5,2
K1EME,KC1EDK,Littleton ARK,NH,2,2A,G,2428,335,183,1,151,2,13.9,33
K1FS,NA,Aroostook ARA,ME,3,3F,C,1060,405,0,0,405,2,2.5,30
K1IG,KB1OIQ,Police AR Team of Westford MA,EMA,3,3A,G,5834,1319,674,199,446,2,14.5,74
K1IMI,NA,NA,ME,1,1C,G,990,235,235,0,0,2,0.5,1
K1JRO,NA,NA,EMA,1,1E,O,176,7,0,1,6,2,1.6,1
K1KA,NA,NA,NH,1,1E,G,1577,1477,0,0,1477,1,1,1
K1N,NA,NE Radio Discussion Soc,ME,1,1AB,B,4075,339,246,0,93,5,11.5,38
K1NPT,NA,NA,RI,1,1D,C,14,7,0,0,7,2,0,1
K1NV,NA,Pahrump AR  Rep Assn,NV,2,2A,G,744,133,14,0,119,2,4.5,19
K1OS,NA,"Ocean State ARG, Inc.",RI,1,1A,G,628,164,0,0,164,2,3,6
K1PQ,WA1JMM,Piscataquis ARC,ME,4,4A,G,2286,367,164,82,121,2,10.6,10
K1R,W1WQM,Port City ARC,NH,3,3A,G,10236,3366,996,1,2369,2,15.1,25
K1RDX,NA,NA,NH,1,1D,C,72,11,0,0,11,2,0.5,1
K1RK,W1NOB,Falmouth ARA,EMA,2,2A,G,9212,2416,1365,0,1051,2,16.5,60
K1SD,NA,NA,RI,1,1D,C,198,66,0,33,33,2,0,1
K1SV,N1RZ,So VT ARC,VT,2,2A,G,2252,550,201,0,349,2,7.5,15
K1T,NA,NA,WMA,4,4D,C,5156,1668,879,6,783,2,0.5,4
K1TN,NA,NA,WCF,1,1D,C,978,232,232,0,0,2,0.5,1
K1WRK,NA,W Rockingham Cty ARES,NH,2,2A,B,1046,48,0,0,48,2,9.5,5
K2AA,W2EA,South Jersey Radio Assn,SNJ,6,6A,G,15006,3950,2368,0,1582,2,23.7,69
K2AUD,NA,Audubon RC / Aududon OEM,SNJ,3,3A,G,2604,748,14,0,734,2,10.8,45
K2BAR,NA,Bergen ARA,NNJ,5,5A,G,6518,1612,842,0,770,2,16.1,47
K2BR,NA,Southern Counties ARA,SNJ,4,4F,G,2782,427,214,75,138,2,13.5,40
K2BWK,NA,Squaw Island ARC/Drumlins ARC,WNY,5,5A,G,2030,409,88,118,203,2,8,34
K2CM,NA,NA,WNY,1,1E,B,275,24,21,0,3,5,0.5,1
K2CMH,NA,NA,GA,1,1D,C,10,5,0,0,5,2,0,1
K2CT,NA,Albany ARA,ENY,3,3A,G,8248,2372,957,0,1415,2,15.9,68
K2DLL,N2MBX,Saratoga Cty ARA,ENY,4,4A,G,2740,535,200,0,335,2,12.7,19
K2EC,K2DQ,Bonac ARC,NLI,2,2A,G,3262,1077,11,8,1058,2,10.7,20
K2EFG,NA,NA,NNJ,1,1B1,B,190,45,0,0,45,2,1,1
K2EIR,NA,NA,ENY,1,1D,C,210,5,0,0,5,2,2,1
K2FA,NA,Sporadic Ham RC,WNY,1,1AB,B,2560,262,156,0,106,5,4.7,3
K2FCR,NA,Cornerstone ARC,ENY,2,2A,O,958,54,0,0,54,2,8.5,6
K2GE,NA,Raritan Bay Radio Am,NNJ,2,2F,G,976,62,51,0,11,2,7.5,12
K2GG,NA,Splitrock ARA,NNJ,3,3AC,C,5346,1264,806,28,430,2,11.5,20
K2HT,NA,NA,MO,1,1E,G,388,41,28,0,13,2,2.5,1
K2HVN,NA,NA,DE,1,1D,C,474,200,37,0,163,2,0,1
K2HYD,NA,NA,NC,1,1B1B,B,840,54,54,0,0,5,3,1
K2IQ,NA,Utica ARC,WNY,1,1A,G,894,124,48,50,26,2,4.5,12
K2ITT,NA,NA,NNJ,1,1B1B,B,860,71,71,0,0,5,1.5,1
K2IWR,NA,Skyline ARC,WNY,3,3A,G,2304,632,59,36,537,2,8.5,15
K2JF,NA,NA,NLI,1,1E,B,150,5,5,0,0,5,1,1
K2KGJ/KH6,NA,NA,PAC,1,1E,B,120,2,2,0,0,5,1,1
K2LML,NA,Hamilton Cty RC,NNY,2,2F,B,924,176,105,6,65,2,3.5,4
K2LNS,NA,NA,EPA,1,1D,C,2315,1312,953,0,359,1,0.5,1
K2MK,NA,NA,ENY,1,1D,C,120,35,35,0,0,1,0.5,1
K2NNY,NA,NA,NNY,1,1D,C,138,22,22,0,0,2,0.5,1
K2NV/VE3,NA,NA,GTA,1,1C,G,1642,398,398,0,0,2,0.5,1
K2OAK,NA,Red Oak Soc,NNJ,1,1A,G,716,148,85,0,63,2,2.5,5
K2OGT/3,NA,NA,EPA,1,1E,G,914,191,191,0,0,2,1.5,1
K2ONN,NA,NA,NC,2,2B2B,B,1950,160,160,0,0,5,3.5,2
K2PRO,NA,Pioneer Radio Operators Society,WNY,2,2A,G,420,60,0,0,60,2,3,6
K2PUT,NA,Putnam Amateur Em Rep League,ENY,3,3A,G,1840,383,162,0,221,2,7.5,29
K2QS,K2CXP,QSY Society,ENY,3,3A,G,4650,1007,439,4,564,2,17.5,103
K2RET,NA,NA,SNJ,1,1D,C,30,30,0,0,30,1,0,1
K2TD,NA,Burlington Cty RC,SNJ,3,3F,B,2984,578,289,0,289,2,12.5,28
K2TW,NA,NA,NNJ,1,1E,G,4306,1039,1039,0,0,2,1.5,2
K2TWI,NA,Montvale OEM,NNJ,1,1F,C,1124,206,206,0,0,2,3,3
K2USA,NA,Ocean Monmouth ARC,NNJ,4,4F,B,3362,642,273,211,158,2,11.1,30
K2VER,NA,NA,NNJ,1,1E,G,528,119,0,0,119,2,2.9,6
K2VN,KC2WBD,Nassau ARC,NLI,4,4A,G,7474,1693,1025,74,594,2,18.9,47
K2WMA,KB2UNZ,West Morris ARC,NNJ,2,2AC,C,1282,246,0,0,246,2,7.9,13
K2WNY,NA,NA,WNY,1,1B2B,B,2210,170,156,6,8,5,5.5,2
K2YG,NA,"Why, Gee! AR Group",NNJ,1,1AB,B,2745,254,210,15,29,5,3.5,5
K2YNT,NA,Metuchen RC,NNJ,2,2A,G,814,273,9,0,264,2,2.5,8
K2YY,NA,NA,EMA,1,1B1B,B,1750,165,165,0,0,5,1,1
K2ZV,NA,Carteret OEM  ARC,NNJ,2,2F,B,2476,451,3,139,309,2,12.9,31
K3AA,NA,NA,MDC,2,2D,C,408,116,63,0,53,2,0.5,2
K3AE,NA,SO  PA Comm Group,EPA,4,4A,G,3042,709,20,117,572,2,13.5,36
K3ALB,NA,NA,EPA,1,1D,C,134,21,0,21,0,2,0.5,1
K3ARS,NA,Kent ARS,MDC,5,5A,G,2798,478,240,106,132,2,11.5,10
K3CAL,NA,Calvert ARA,MDC,5,5A,G,2224,291,108,18,165,2,13.9,21
K3CCR,NA,NA,MDC,1,1D,C,1058,252,252,0,0,2,0.5,1
K3CSF,NA,NA,WPA,1,1E,G,668,138,0,71,67,2,2.5,4
K3CSG,W3W,Scranton-Pocono ARK,EPA,3,3A,G,3448,633,206,0,427,2,17.7,34
K3DN,NA,Warminster ARC,EPA,4,4A,G,3128,885,74,0,811,2,12.1,45
K3DRQ,NA,NA,EPA,1,1D,C,204,18,5,4,9,2,1.5,1
K3EMD,KC3DQA,Easton ARS,MDC,3,3A,G,3294,674,138,120,416,2,14.3,22
K3ERM,K3DO,Frederick ARC,MDC,2,2A,G,1180,160,5,0,155,2,8.5,11
K3ESS,NA,NA,NFL,1,1D,C,34,34,0,0,34,1,0,1
K3EW,WN3R,Uupper Mongomery HF'ers,MDC,3,3A,G,6232,1358,763,0,595,2,19.9,9
K3F,NA,First State ARC,DE,1,1A,O,2264,360,161,36,163,2,11.5,15
K3FI,NA,Holmesburg ARC,EPA,3,3A,G,2630,464,326,0,138,2,10.5,12
K3FLT,NA,Milton ARC,EPA,3,3A,G,1588,269,100,0,169,2,8.5,8
K3GT,NA,North Hills ARC,WPA,3,3A,B,1306,294,134,0,160,2,4.5,20
K3HKI,NA,St Mary's Cty ARA,MDC,3,3A,G,1374,218,10,4,204,2,9.1,31
K3IEC,NA,Cumberland ARC,EPA,4,4AC,C,1740,410,127,8,275,2,6.5,22
K3IR,NA,Sp ARC,EPA,5,5A,B,2880,440,206,119,115,2,13.5,7
K3K,NA,NA,NFL,1,1D,C,277,100,27,0,73,1,1.5,1
K3LNZ,NA,Garrett Co ARES,MDC,3,3A,G,3426,768,520,0,248,2,8.5,5
K3LV,NA,Lebanon Valley Soc of Radio Amateurs,EPA,3,3A,G,1914,354,178,0,176,2,8.5,60
K3MJW,NA,NA,WPA,4,4E,G,5088,1303,913,3,387,2,6.5,13
K3NCO,NA,NA,MDC,1,1E,B,610,36,36,0,0,5,2.5,1
K3NP,NA,Aiken CC Group,SC,1,1A,B,1274,334,128,0,206,2,3.5,3
K3NQT,KC3CMF,NA,WPA,3,3F,B,2184,479,88,0,391,2,10.5,17
K3ODX,NA,NA,EPA,2,2A,G,2226,634,304,0,330,2,3.5,6
K3ORC,NA,NA,MDC,1,1D,C,666,129,129,0,0,2,1.5,1
K3QAC,K3LMR,QAARC,MDC,5,5A,G,2268,474,13,72,389,2,11.5,21
K3QC,NA,NA,SFL,1,1D,C,338,72,72,0,0,2,0.5,1
K3SMD,NA,Charles Cty ARC,MDC,2,2A,G,636,175,18,0,157,2,2.5,10
K3SMT,NA,NA,WPA,2,2E,G,556,148,5,0,143,2,2.5,5
K3TAR,NA,TARA,EPA,1,1A,G,418,134,0,0,134,2,1.5,7
K3TI,NA,Berks ARC,EPA,2,2F,C,1084,374,0,68,306,2,2,6
K3TSA,NA,Pike ARES/RACES Group,EPA,2,2A,B,1066,167,91,0,76,2,5.5,10
K3TW,NA,NA,NFL,1,1B1B,B,1150,80,80,0,0,5,3.5,1
K3UA,NA,NA,WPA,1,1D,C,1726,445,393,0,52,2,0.5,1
K3URT,NA,NA,EPA,1,1D,C,432,151,0,40,111,2,0.5,1
K3VX,NA,NA,EMA,1,1C,G,274,31,31,0,0,2,1.5,1
K3WW,NA,NA,EPA,1,1B1B,B,7935,776,761,0,15,5,2.5,1
K3WYC,NA,NA,AZ,1,1E,G,1204,264,263,0,1,2,1.5,1
K3YEO,NA,NA,VA,1,1D,C,4,1,1,0,0,2,0,1
K3YT,NA,NA,ENY,1,1E,G,184,17,0,0,17,2,1.5,2
K3YTL,NA,Murgas ARC,EPA,3,3F,C,3100,701,290,19,392,2,10.8,23
K3ZZ,NA,NA,MDC,2,2B2B,B,9050,1137,623,0,514,5,2.5,2
K4ACW,NA,Jasper RC,GA,1,1A,G,1190,220,0,0,220,2,7.5,12
K4AFE,NA,NA,TN,1,1D,C,182,66,66,0,0,1,0.5,1
K4AOA,NA,NA,NC,1,1B1B,B,1265,112,111,0,1,5,1.5,1
K4BBH,NA,NA,GA,1,1D,C,180,90,0,0,90,2,0,1
K4BCH,NA,Pamlico ARC,NC,2,2A,G,1782,562,4,0,558,2,6.5,12
K4BFT,N7KDT,Huntsville ARC,AL,4,4A,G,16854,4804,2334,214,2256,2,21.5,98
K4BKV,NA,Hernando Cty ARA,NFL,3,3A,G,2546,282,266,0,16,2,14.5,12
K4BRW,NA,NA,VA,1,1A,B,1266,298,0,0,298,2,6.7,13
K4BSK,NA,NA,VA,1,1E,G,2230,522,518,0,4,2,1.5,2
K4BT,NA,Orange Park ARC,NFL,4,4A,G,3950,852,548,0,304,2,11.5,50
K4BV,NA,Volusia ARES/DBARA,NFL,6,6A,G,1300,89,17,19,53,2,10.5,6
K4BW,NA,Eastern Shore ARC,VA,2,2A,G,1696,285,14,24,247,2,10.5,20
K4CHE/3,NA,NA,DE,1,1B1B,B,775,59,46,0,13,5,2.5,1
K4CO,KY4DH,Northern Kentucky ARC,KY,4,4A,G,2126,366,70,22,274,2,12.1,24
K4CPO,N1NUT,Nashville ARC,TN,3,3A,G,2674,484,119,189,176,2,10.9,68
K4CQ,W3CQ,Lynchburg ARC,VA,2,2A,G,7334,1927,925,0,1002,2,16.3,45
K4CXS,NA,Spalding Co ARC,GA,2,2A,B,590,20,0,0,20,2,5.5,10
K4EET,NA,NA,MDC,1,1D,C,756,218,135,0,83,2,0.5,1
K4EG,W4VGZ,Alamance ARC,NC,3,3F,C,6480,1634,748,103,783,2,15.1,35
K4ELI,NA,NA,GA,2,2D,C,388,169,0,0,169,2,0.5,11
K4EX,NA,East Pasco ARS,WCF,3,3AC,C,554,52,0,0,52,2,4.5,13
K4FAU,NA,Florida Atlantic Univ  ARC,SFL,2,2A,G,1024,287,0,0,287,2,4.5,18
K4FBC,NA,Huntsville First Baptist Church Ham Club,AL,2,2A,G,1590,360,160,0,200,2,5.5,8
K4FC,N4FLA,Lake ARA,NFL,4,4A,G,8142,1965,1411,0,554,2,13.9,17
K4FCW,NA,NA,NC,2,2D,C,912,277,0,154,123,2,0.5,3
K4FTY,NA,NA,AL,1,1E,B,630,96,0,0,96,5,1.5,1
K4GAR,NA,Gateway ARC,GA,2,2AC,C,748,68,21,0,47,2,5.7,33
K4GNV,NA,Gainesville ARS,NFL,2,2A,G,1742,548,64,59,425,2,4,16
K4GOP,NA,NA,NFL,1,1D,C,138,44,0,0,44,2,0.5,1
K4GUF,NA,NA,TN,1,1B1B,B,1150,110,110,0,0,5,0.5,1
K4GVA,NA,King George AR Ops,VA,4,4A,B,1664,164,93,0,71,2,11.5,45
