call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n,x17
AA5UN,NA,1540,1E,NTX,2,NA,1,1,B,220,30,195,445,150,NA,NA
AA5UY,NA,300,1E,LA,2,NA,1,1,B,0,0,25,25,250,NA,NA
AA5UZ,NA,318,1E,LA,2,NA,1,1,B,4,0,26,30,250,NA,NA
AA5VZ,NA,188,1E,NTX,2,Arlington ARC,1,1,B,0,0,19,19,150,NA,NA
AA6CV,NA,9196,21A,SB,2,Conejo Valley ARC,50,21,G,732,258,1043,2033,3150,NA,NA
AA6MK,NA,472,1D,EB,2,Hayward RC,1,1,C,105,0,1,106,50,NA,NA
AA6QI,NA,1182,2E,LAX,2,Pasadena RC,2,2,B,151,0,39,190,500,NA,NA
AA6RS,NA,192,1D,SV,2,Sierra Foothills ARC,1,1,C,27,0,17,44,50,NA,NA
AA7JB,NA,300,1D,AZ,2,Cochise ARA,1,1,C,0,35,5,40,150,NA,NA
AA7LE,NA,298,1D,PAC,2,NA,1,1,C,0,62,0,62,50,NA,NA
AA8DL,NA,528,1E,OH,2,Amigos RC Ashtabula,1,1,B,0,48,93,141,150,NA,NA
AA8IA,NA,120,1D,OH,2,Steubenville-Weirton ARC,1,1,C,16,0,3,19,50,NA,NA
AA8MI,NA,1450,1E,OH,5,NA,1,1,B,120,0,0,120,250,NA,NA
AA8Z,NA,100,1D,OH,2,NA,2,1,C,0,0,15,15,70,NA,NA
AA9RK,NA,450,1E,WI,5,West Allis RAC,1,1,B,20,0,0,20,250,NA,NA
AA9UF,NA,936,3E,IL,2,NA,3,3,G,0,55,123,178,470,NA,NA
AB0YM,NA,522,1C,CO,2,Grand Mesa Contesters of Colorado,1,1,G,0,93,0,93,150,Y,NA
AB1BL,NA,164,1B1,WNY,2,ARA of the Southern Tier,1,1,B,0,0,57,57,50,NA,NA
AB1HD,NA,142,1E,EMA,2,PART of Westford,1,1,B,0,23,0,23,50,NA,NA
AB1XK,NA,398,1D,EMA,2,Cape Ann ARA,1,1,C,12,32,36,80,150,NA,NA
AB3GY,NA,1258,1E,WPA,2,Skyview Radio Soc.,1,1,B,0,251,2,253,250,NA,NA
AB4BA,NA,190,1E,CO,2,Parker Radio Assn.,1,1,B,10,0,0,10,150,NA,NA
AB4NH,NA,990,1D,TN,2,NA,1,1,C,0,210,0,210,150,NA,NA
AB4V (+KM4TZD),NA,326,1B2C,NC,2,NA,2,1,C,15,0,108,123,50,NA,NA
AB4WL,NA,462,1D,AL,2,NA,1,1,C,19,84,0,103,50,NA,NA
AB5ER (+N5HU),N5HU,11792,2F,AR,2,North Central AR ARS,32,2,C,1604,682,164,2450,2320,NA,NA
AB5SE,NA,1406,1E,AR,2,NA,1,1,G,314,0,0,314,150,NA,NA
AB5SJ,NA,0,1D,WTX,0,NA,1,1,C,0,0,431,431,0,Y,NA
AB5SS,NA,378,1B1,STX,2,NA,1,1,B,0,57,0,57,150,NA,NA
AB5TH,NA,126,2B2,LA,2,Baton Rouge ARC,2,2,B,0,0,38,38,50,NA,NA
AB5TN,NA,430,1D,NTX,2,NA,1,1,C,95,0,0,95,50,NA,NA
AB5UE,NA,1976,4A,STX,2,Boerne ARC,7,4,G,39,64,132,235,1300,NA,NA
AB5XM,NA,210,1D,STX,2,NA,1,1,C,28,12,0,40,50,NA,NA
AB6CQ,NA,750,3A,LAX,2,LA CQ Club,9,3,B,13,28,18,59,550,NA,NA
AB6MV (+KO6CGU),KO6CGU,4414,3A,ORG,2,Moreno Valley ARA,18,3,B,339,350,189,878,1280,NA,NA
AB7HA,NA,124,1D,GA,2,Statesboro ARS,1,1,C,0,0,37,37,50,NA,NA
AB7HP,NA,3110,5A,ID,2,HP Boise ARC,12,5,G,0,514,102,616,850,NA,NA
AB8DF,NA,1890,1E,MI,5,Michigan QRP Club,1,1,B,174,0,0,174,150,NA,NA
AB8YZ,NA,0,1D,NTX,1,Ham Assn. of Mesquite,1,1,C,0,117,0,117,0,Y,NA
AB9BZ,NA,1350,1B1B,IL,5,American Legion ARC Post 33,1,1,B,110,0,0,110,250,NA,NA
AB9CA,NA,1514,1E,IN,2,Hoosier Hills Ham Club,1,1,G,316,0,0,316,250,NA,NA
AB9M,NA,1250,1D,IL,2,NA,1,1,C,0,300,0,300,50,Y,NA
AB9PN,NA,1173,1AC,WI,1,3 Yahoos,3,1,C,489,0,145,634,50,NA,NA
AB9UZ,NA,846,1D,WI,2,NA,1,1,C,0,149,0,149,250,NA,NA
AB9XT,NA,150,1D,IN,2,NA,1,1,C,0,0,50,50,50,NA,NA
AB9YC,NA,7414,1A,IL,2,Blazing Paddles Field Day Team,8,1,G,1423,65,6,1494,1450,NA,NA
AC0CO,NA,248,1D,CO,2,Village 7 ARC,1,1,C,0,0,99,99,50,NA,NA
AC0WI,NA,266,1D,NH,2,Cheshire Co. DX ARC,1,1,C,0,0,108,108,50,NA,NA
AC1BB,NA,790,1E,IL,5,NA,1,1,B,54,0,0,54,250,NA,NA
AC1BZ,NA,512,3A,NH,2,Team Ferret,4,3,G,0,0,31,31,450,NA,NA
AC1MT,NA,304,1D,EMA,2,New England Fusion Grp.,1,1,C,0,1,125,126,50,NA,NA
AC1PK,NA,698,1D,NH,2,Port City ARC,1,1,C,0,162,0,162,50,NA,NA
AC2FA,NA,422,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,93,0,0,93,50,NA,NA
AC2JK,NA,200,1E,WNY,2,NA,1,1,B,0,0,25,25,150,NA,NA
AC2N,NA,294,1E,NFL,2,NA,1,1,B,0,0,72,72,150,NA,NA
AC2PT,NA,556,1E,SNJ,2,Gloucester Co. ARC,1,1,B,0,0,153,153,250,NA,NA
AC2XC,NA,1462,1E,WNY,2,NA,1,1,B,1,279,46,326,250,NA,NA
AC2YD,NA,1054,1D,NNJ,2,David Sarnoff ARC,1,1,C,251,0,0,251,50,NA,NA
AC2ZU,NA,228,1D,SNJ,2,Jersey Shore ARS,1,1,C,0,0,89,89,50,NA,NA
AC2ZZ,NA,138,1D,NNJ,2,NA,1,1,C,0,13,18,31,50,NA,NA
AC3MB,NA,348,1E,EPA,2,NA,1,1,B,1,13,71,85,150,NA,NA
AC4PQ,NA,550,1E,GA,2,NA,1,1,G,0,125,0,125,50,NA,NA
AC5EZ,NA,462,1D,NTX,2,Lake Area AR Klub,1,1,C,35,68,0,103,50,NA,NA
AC5LC,NA,2626,3A,STX,2,Lake Conroe ARC,15,3,G,0,369,0,369,1150,Y,NA
AC5T,NA,370,1B1,STX,2,NA,1,1,B,80,0,0,80,50,Y,NA
AC5XK,NA,1490,1B1B,MDC,5,NA,1,1,B,134,0,0,134,150,Y,NA
AC6CZ,NA,222,1E,SDG,2,NA,1,1,S,15,3,0,18,150,NA,NA
AC6EE,NA,1728,3A,SJV,2,Tehachapi ARA,15,3,G,89,0,161,250,1050,NA,NA
AC6EG,NA,510,1D,SB,2,NA,1,1,C,0,115,0,115,50,NA,NA
AC6MM,NA,318,1E,EB,2,South Bay ARA,1,1,B,0,0,34,34,250,NA,NA
AC7A,NA,2950,1B1B,AZ,5,NA,1,1,B,270,0,0,270,250,NA,NA
AC7CJ,NA,288,1D,EWA,2,NA,1,1,C,0,0,69,69,150,NA,NA
AC7GL,NA,1906,2D,ID,2,All Idaho Contest Club,3,2,C,246,124,138,508,150,NA,NA
AC7R,NA,272,1A,AZ,2,Mercury Net,12,1,B,0,0,11,11,250,NA,NA
AC7SC,NA,492,1AC,UT,2,Sevier ARC,13,1,C,0,0,21,21,450,NA,NA
AC7SR,NA,514,1D,WWA,2,Chehalis Valley ARS,1,1,C,0,116,0,116,50,NA,NA
AC7YT,NA,1456,2A,IA,1,Traveling AR Team,4,2,G,0,0,1206,1206,250,NA,NA
AC8AZ,NA,250,1D,MI,2,NA,1,1,C,0,50,0,50,50,NA,NA
AC8QX,NA,1086,2B2,MI,2,NA,2,2,B,0,0,368,368,350,NA,NA
AC8RC (+W8RMN),W8RMN,1726,4A,MI,2,Allegan Co. ARC,19,4,G,0,45,228,273,1090,NA,NA
AC8XA,NA,402,1E,MI,2,NA,1,1,G,0,63,0,63,150,NA,NA
AC9FL,NA,160,1D,IL,2,NA,1,1,C,0,0,55,55,50,NA,NA
AC9JV,NA,342,1D,WI,2,Ozaukee RC,1,1,C,0,0,96,96,150,NA,NA
AC9OT,NA,570,1B1,WI,2,NA,1,1,B,55,0,0,55,350,NA,NA
AC9PG,NA,170,1D,WI,2,NA,1,1,C,30,0,0,30,50,NA,NA
AC9XS,NA,480,1B1B,IN,5,Ft. Wayne RC,1,1,B,43,0,0,43,50,NA,NA
AD0LS,NA,262,1E,NE,2,Ak Sar Ben ARC,1,1,B,0,0,56,56,150,NA,NA
AD0RR,NA,0,1D,MO,0,NA,1,1,C,0,0,119,119,0,Y,NA
AD1L,NA,472,1E,WMA,2,NA,1,1,G,57,0,47,104,150,NA,NA
AD1T,NA,944,5A,NH,2,Cheshire Co. DX ARC,15,5,G,0,0,147,147,650,NA,NA
AD2BO,NA,390,1D,NLI,2,NA,1,1,C,85,0,0,85,50,NA,NA
AD2CM,NA,674,1D,SNJ,2,NA,1,1,C,0,104,104,208,50,NA,NA
AD2L,NA,442,1D,EPA,2,NA,1,1,C,0,98,0,98,50,NA,NA
AD2TM,NA,278,1E,WNY,2,NA,1,1,G,0,32,0,32,150,NA,NA
AD4AX,NA,178,1B1C,KY,2,NA,1,1,C,32,0,0,32,50,NA,NA
AD4EB,NA,5422,1D,TN,2,NA,1,1,C,1343,0,0,1343,50,NA,NA
AD4IE,NA,436,1E,NC,2,NA,1,1,B,93,0,7,100,50,NA,NA
AD5CQ,NA,402,1E,STX,2,NA,1,1,B,43,20,0,63,150,Y,NA
AD5DJ,NA,256,1D,NTX,2,NA,1,1,C,0,0,103,103,50,NA,NA
AD5EN,NA,1660,1B1B,SC,5,Sun City Center ARC,1,1,B,0,131,0,131,350,NA,NA
AD5QA,NA,218,1D,GA,2,Villa Rica RC,1,1,C,0,42,0,42,50,NA,NA
AD6AD,NA,72,1D,SV,2,NA,1,1,C,0,0,11,11,50,NA,NA
AD6IZ,NA,492,2A,LAX,2,Crescenta Valley RC,15,2,B,0,0,61,61,370,NA,NA
AD6TW,NA,72,1D,SB,2,Conejo Valley ARC,1,1,C,1,0,9,10,50,NA,NA
AD7DD,NA,1249,1B1C,ID,1,NA,1,1,C,0,424,1,425,400,NA,NA
AD7GU,NA,358,1B1,AZ,2,NA,1,1,B,0,0,4,4,350,NA,NA
AD7KI,NA,64,1C,CO,2,NA,1,1,O,0,0,7,7,50,NA,NA
AD7OY,NA,210,1D,NV,2,NA,1,1,C,0,0,80,80,50,NA,NA
AD8BU,NA,586,1D,MI,2,Blossomland ARA,1,1,C,0,134,0,134,50,NA,NA
AD8DM,NA,290,1D,OH,2,NA,1,1,C,60,0,0,60,50,NA,NA
AD8J,NA,1306,1D,NC,2,NA,1,1,C,314,0,0,314,50,NA,NA
AD8MD,NA,58,1D,OH,2,NA,1,1,C,0,0,4,4,50,NA,NA
AD8MP,NA,896,1E,MI,2,NA,1,1,S,0,149,0,149,300,NA,NA
AD9CA,NA,590,1D,IN,2,NA,1,1,C,92,0,86,178,50,NA,NA
AD9L (+W9GRS),W9GRS,1374,2AC,IL,2,Iroquois Co. ARC,17,2,C,17,51,66,134,970,NA,NA
AE0CA,NA,234,1E,CO,2,Parker Radio Assn.,1,1,B,0,21,0,21,150,NA,NA
AE0G,NA,338,1D,NE,2,NA,1,1,C,66,0,12,78,50,NA,NA
AE0IB,NA,1088,1D,MO,2,NA,1,1,C,144,106,19,269,50,NA,NA
AE0TB,NA,774,1D,IA,2,Iowa Wireless AR Network,1,1,C,0,181,0,181,50,NA,NA
AE0WX,NA,336,1D,MN,2,Northern Lakes ARC,1,1,C,0,10,48,58,200,NA,NA
AE1MS,NA,594,2A,GA,2,North GA Tri-State ARC,20,2,G,0,0,22,22,550,NA,NA
AE1MV,NA,1084,1D,NNY,2,NA,1,1,C,0,79,359,438,50,NA,NA
AE1T,NA,0,1D,NH,1,NA,1,1,C,225,14,0,239,0,Y,NA
AE2T,NA,460,1B1B,WNY,5,NA,1,1,B,31,0,0,31,150,NA,NA
AE4AL,NA,128,1D,AL,2,Univ. of Alabama RC,8,1,C,0,0,39,39,50,NA,NA
AE4AW,NA,284,1B1,WCF,2,NA,1,1,B,0,0,17,17,250,NA,NA
AE4GS,NA,942,1B1,TN,2,Cleveland ARC,1,1,B,173,0,0,173,250,NA,NA
AE4JB,NA,115,1E,WCF,5,NA,1,1,B,0,0,13,13,50,NA,NA
AE4TH,NA,165,1B1B,WWA,5,NA,1,1,B,0,0,3,3,150,NA,NA
AE4WS,NA,3286,2A,NC,2,AE4WS Family And Friends,8,2,B,0,540,28,568,1070,NA,NA
AE4WX,NA,1018,2A,NC,2,Means/Snyder Family,4,2,B,68,22,4,94,650,NA,NA
AE5FM,NA,158,1D,NTX,2,Dallas ARC,1,1,C,0,27,0,27,50,NA,NA
AE5MM,NA,686,1E,OK,2,NA,1,1,G,109,0,0,109,250,NA,NA
AE5TG,NA,386,1D,STX,2,Brazos Valley ARC,1,1,C,0,84,0,84,50,NA,NA
AE6C,NA,2240,1E,SJV,5,Nurosa's Gopher Munchers,2,1,B,204,0,0,204,200,NA,NA
AE6R,NA,304,1B1,EB,2,NA,1,1,B,0,8,11,19,250,NA,NA
AE7IZ,NA,102,1D,MT,2,Hi-Line ARC,1,1,C,0,13,0,13,50,NA,NA
AE9PM,NA,270,1E,IL,2,NA,1,1,B,0,0,10,10,250,NA,NA
AE9Q,NA,714,1D,AZ,2,Tortolita RC,1,1,C,0,166,0,166,50,NA,NA
AE9XT,NA,62,1C,WI,2,NA,1,1,B,3,0,0,3,50,NA,NA
AF0E,NA,2098,1B1,CO,2,NA,1,1,G,462,0,0,462,250,NA,NA
AF0F,NA,518,1B1,KS,2,NA,1,1,B,0,14,146,160,170,NA,NA
AF0S (+K0NTS),K0NTS,2835,3A,CO,2,Pikes Peak Radio Amateur Assn.,20,3,G,0,143,294,437,1675,NA,NA
AF2A,NA,2694,4A,WNY,2,Tompkins Co. ARA,13,4,G,78,90,386,554,1250,NA,NA
AF4CM,NA,3015,1B1B,NC,5,NA,1,1,B,159,101,3,263,400,NA,NA
AF4PM,NA,470,1B1,WWA,2,San Juan Co. ARS,1,1,B,0,0,110,110,250,NA,NA
AF4T,NA,1570,1D,TN,2,Tennessee Contest Grp.,1,1,C,355,0,0,355,150,NA,NA
AF4WR,NA,402,1D,VA,2,NA,1,1,C,0,88,0,88,50,NA,NA
AF5J,NA,616,1D,STX,2,Texas DX Soc.,1,1,C,129,0,0,129,100,NA,NA
AF5M,NA,1670,2AC,STX,2,Hambuds,15,2,C,151,106,46,303,550,NA,NA
AF6G,NA,1090,1D,NC,2,NA,1,1,C,0,222,1,223,200,NA,NA
AF6ZF (+AJ6DU),AJ6DU,970,2A,SCV,2,San Jose ARES/RACES,13,2,G,7,18,110,135,650,NA,NA
AF9FA,NA,280,1E,WI,2,Yellow Thunder ARC,1,1,B,0,16,33,49,150,NA,NA
AF9J,NA,785,1E,WI,5,NA,1,1,B,63,0,1,64,150,NA,NA
AG1T,NA,274,1D,UT,2,NA,1,1,C,0,56,0,56,50,NA,NA
AG2J,NA,1030,1D,SNJ,2,NA,1,1,C,179,41,0,220,150,NA,NA
AG3I,NA,924,1B1,WPA,2,NA,1,1,B,130,0,127,257,150,NA,NA
AG4HG,NA,330,1D,TN,2,NA,1,1,C,0,0,140,140,50,NA,NA
AG4P,NA,402,1B2,TN,2,NA,2,1,B,77,0,22,99,50,NA,NA
AG5B,NA,1208,1D,MS,2,NA,2,1,C,0,254,21,275,150,NA,NA
AG5HC,NA,598,1D,AR,2,NA,1,1,C,0,112,0,112,150,NA,NA
AG6AQ,NA,150,1B1B,SCV,5,NA,1,1,B,10,0,0,10,50,NA,NA
AG6AU,NA,2490,2A,SV,2,El Dorado Co. ARC,12,2,G,212,0,286,498,1070,NA,NA
AG6JA,NA,298,1D,EB,2,NA,1,1,C,29,15,36,80,50,NA,NA
AG7AB,NA,214,1D,AZ,2,Kachina ARC,1,1,C,10,29,4,43,50,NA,NA
AG7E,NA,368,1D,NV,2,NA,1,1,C,0,37,85,122,50,NA,NA
AG7KU,NA,180,1E,AZ,2,Superstition ARC,1,1,B,0,0,65,65,50,NA,NA
AG7RF,NA,180,1D,ID,2,NA,1,1,C,0,0,65,65,50,NA,NA
AG7T,NA,1744,1B1,WWA,2,Mike & Key ARC,1,1,G,0,311,0,311,500,NA,NA
AG7TX,NA,772,1B1,NV,2,NA,1,1,B,121,0,19,140,250,NA,NA
AG7UN,NA,656,1D,ID,2,NA,1,1,C,0,150,3,153,50,NA,NA
AG7ZJ,NA,156,1E,MT,2,Hi-Line ARC,1,1,B,0,0,3,3,150,NA,NA
AH6EZ,NA,212,1C,EWA,2,Jefferson Co. (WA) ARC,1,1,C,30,1,19,50,50,NA,NA
AH6X,NA,550,2B1B,ID,5,NA,1,2,B,0,18,24,42,250,NA,NA
AH7RF,NA,580,1B2B,PAC,5,NA,2,1,B,11,0,4,15,450,NA,NA
AI1G,NA,262,1D,WMA,2,Central MA ARA,1,1,C,0,28,0,28,150,NA,NA
AI1TT,NA,434,1D,RI,2,CTRI Contest Grp.,1,1,C,92,0,8,100,50,NA,NA
AI3KS,NA,1062,1E,EPA,2,NA,1,1,B,80,73,0,153,450,NA,NA
AI3Q,NA,1770,1D,EPA,2,Anthracite Repeater Assn.,1,1,C,206,224,0,430,50,NA,NA
AI4EW,NA,170,1E,NC,2,NA,1,1,B,0,0,10,10,150,NA,NA
AI4IC,NA,526,1D,TN,2,NA,1,1,C,101,0,36,137,50,NA,NA
AI4UC,NA,982,1E,VA,2,NA,1,1,G,0,208,0,208,150,NA,NA
AI4UH,NA,1168,1C,EPA,2,NA,1,1,B,250,0,9,259,150,NA,NA
AI4WL,NA,702,1E,NC,2,Pamlico ARS,1,1,G,0,111,4,115,250,NA,NA
AI4WM,NA,510,1E,MI,5,NA,1,1,B,0,0,42,42,300,NA,NA
AI5DD,NA,210,1B1B,OK,5,NA,1,1,B,6,0,0,6,150,NA,NA
AI5DQ,NA,578,1B1,LA,2,Shreveport ARA,1,1,B,0,12,65,77,400,NA,NA
AI5G,NA,246,1D,NTX,2,Lake Area AR Klub,1,1,C,47,0,4,51,50,NA,NA
AI5GU,NA,334,1E,NTX,2,NA,1,1,B,0,0,42,42,250,NA,NA
AI5HV,NA,76,1D,OK,2,Broken Arrow ARC,1,1,C,0,3,7,10,50,NA,NA
AI5M,NA,1222,2A,STX,2,Sam Houston AR Klub,5,2,B,108,23,114,245,470,NA,NA
AI5NO,NA,266,1D,NTX,2,Irving ARC,1,1,C,0,54,0,54,50,NA,NA
AI5NQ,NA,572,1B1,NTX,2,NA,1,1,B,0,0,161,161,250,NA,NA
AI5PY,NA,106,1D,OK,2,NA,1,1,C,0,0,28,28,50,NA,NA
AI5QK,NA,332,1D,NTX,2,Dallas ARC,1,1,C,0,25,91,116,50,NA,NA
AI6DF,NA,182,1E,LAX,2,Palos Verdes ARC,1,1,B,0,0,16,16,150,NA,NA
AI6DO,NA,1850,2E,LAX,5,NA,1,2,B,116,2,44,162,450,NA,NA
AI6MW,NA,214,1D,SB,2,NA,1,1,C,0,41,0,41,50,NA,NA
AI6UG (+KE4TSA),NA,326,1B2,LAX,2,NA,2,1,B,0,0,38,38,250,NA,NA
AI7DK,NA,186,1B1,MT,2,NA,1,1,B,34,0,0,34,50,NA,NA
AI7FF,NA,458,1D,MT,2,NA,1,1,C,102,0,0,102,50,NA,NA
AI7PM,NA,620,3A,WY,2,NA,4,3,B,44,90,17,151,50,NA,NA
AI8Z,NA,2854,2A,CO,2,Montezuma Valley RC,4,2,G,476,100,0,576,550,NA,NA
AI9K,NA,182,1B1C,IL,2,NA,1,1,C,33,0,0,33,50,NA,NA
AJ0GM,NA,1858,1E,SD,2,Black Hills ARC,1,1,B,0,377,0,377,350,NA,NA
AJ2Y,NA,978,1E,GA,2,NA,1,1,B,182,0,0,182,250,NA,NA
AJ3M,NA,210,1D,MDC,2,NA,1,1,C,0,40,0,40,50,NA,NA
AJ4A,NA,12482,6A,KY,2,Central KY ARS,30,6,G,1511,557,1185,3253,1840,NA,NA
AJ4BB,NA,510,1B1B,EPA,5,NA,1,1,B,26,0,0,26,250,NA,NA
AJ4EE,NA,168,1E,NFL,2,NA,1,1,B,0,0,9,9,150,NA,NA
AJ4EY,NA,398,1E,VA,2,NA,1,1,G,0,2,70,72,250,NA,NA
AJ4FJ,NA,70,1D,GA,2,NA,1,1,C,0,5,0,5,50,NA,NA
AJ4IR (+W4NLX),W4NLX,1095,2AC,SFL,1,Indian River ARC,6,2,C,175,0,170,345,575,NA,NA
AJ4LJ,NA,1422,1E,SFL,2,Palms West ARC,1,1,G,0,293,0,293,250,NA,NA
AJ5S,NA,142,1D,MS,2,NA,1,1,C,0,23,0,23,50,NA,NA
AJ6MJ,NA,176,1D,SB,2,Conejo Valley ARC,1,1,C,0,30,3,33,50,NA,NA
AJ6PT,NA,176,1E,AZ,2,NA,1,1,S,0,0,13,13,150,NA,NA
AJ6RX,NA,142,2E,ORG,2,NA,1,2,B,0,16,14,30,50,NA,NA
AJ6V,NA,938,1D,SCV,2,Northern CA Contest Club,1,1,C,167,55,0,222,50,NA,NA
AJ6VU,NA,198,1E,LAX,2,NA,1,1,B,0,12,0,12,150,NA,NA
AJ9L,NA,328,1B1,MI,2,Fox Cities ARC,1,1,B,0,0,39,39,250,NA,NA
AK0A,NA,1474,1B1,KS,2,NA,1,1,B,281,0,0,281,350,NA,NA
AK0MR,NA,110,1D,CO,2,NA,1,1,C,0,15,0,15,50,NA,NA
AK1EB,NA,102,1D,VT,2,NA,1,1,C,0,13,0,13,50,NA,NA
AK1X (+W1ASP),NA,554,2B2,VT,2,NA,2,2,B,0,0,152,152,250,NA,NA
AK2S,NA,3640,2E,SNJ,5,Burlington Co. RC,3,2,B,282,20,4,306,600,NA,NA
AK2U,NA,510,1D,WV,2,NA,1,1,C,110,0,10,120,50,NA,NA
AK2X,NA,750,1D,WNY,2,NA,2,1,C,75,75,0,150,150,NA,NA
AK4D,NA,1274,1D,NC,2,Forsyth ARC,1,1,C,19,225,74,318,150,NA,NA
AK4GO,NA,114,1D,TN,2,NA,1,1,C,0,16,0,16,50,NA,NA
AK4I,NA,490,1D,TN,2,NA,4,1,C,0,5,110,115,250,NA,NA
AK4NF,NA,1164,1D,AL,2,Jim Bell Wireless Assn.,2,1,C,0,266,0,266,100,NA,NA
AK6EP,NA,346,1E,SJV,2,NA,1,1,B,48,0,2,50,150,NA,NA
AK7AT,NA,2290,2E,ID,2,NA,2,2,G,0,485,0,485,350,NA,NA
AK7VV,NA,314,1D,WWA,2,NA,1,1,C,66,0,0,66,50,NA,NA
AK9D,NA,3250,2D,KS,2,Dog Hollow Contest Grp.,2,2,C,0,775,0,775,150,NA,NA
AL1G,NA,0,1D,AK,0,NA,1,1,C,34,0,2,36,0,Y,NA
AL4US,NA,666,3A,TN,2,American Legion Post 104 ARC,19,3,G,0,4,50,54,550,NA,NA
AL5K,NA,98,1D,AK,2,NA,1,1,C,0,0,24,24,50,NA,NA
AL7ID,NA,274,1D,AK,2,NA,1,1,C,0,26,10,36,150,NA,NA
AL7JK,NA,120,1B1B,AK,5,NA,1,1,B,7,0,0,7,50,NA,NA
AL7LE,NA,2804,2A,AK,2,Moosehorn ARC,5,2,G,0,461,45,506,870,NA,NA
AZ1D,NA,178,1D,DX,2,NA,1,1,C,0,32,0,32,50,NA,NA
AZ5D,NA,786,1D,DX,2,NA,1,1,C,0,184,0,184,50,NA,NA
CO2QU,NA,200,1E,DX,5,710 Contest Grp.,1,1,B,0,5,0,5,150,NA,NA
CO9JAB,NA,1998,3AC,DX,2,NA,3,3,C,0,412,0,412,350,NA,NA
