call_does_not_include_checklogs,gota_call,club_name,section,number_of_transmitters,category,power_source,final_score,total_qsos,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,power_multiplier,bonus_points,number_of_participants
K1GMM,NA,NA,VT,2,B2,O,692,171,0,0,171,2,350,2
K1GTK,NA,NA,MO,1,D,C,130,40,0,0,40,2,50,1
K1IG,KB1OIQ,PART of Westford,EMA,3,A,G,5820,1307,694,84,529,2,1650,74
K1KA,NA,NA,NH,1,E,G,1031,794,137,0,657,1,100,1
K1LB,NA,NA,NV,1,B1B,B,340,24,24,0,0,5,100,1
K1LT,NA,NA,OH,1,B1,G,5734,1371,1371,0,0,2,250,1
K1LX,AB1YO,NA,ME,2,A,G,1200,175,0,0,175,2,850,5
K1MD,NA,NA,RI,1,E,G,1722,418,418,0,0,2,50,1
K1NPT,NA,NA,RI,1,E,B,160,5,0,0,5,2,150,1
K1OS,NA,Ocean State ARG,RI,1,A,G,826,113,0,0,113,2,600,6
K1PDY,NA,NA,NH,1,B1B,B,1550,120,120,0,0,5,350,1
K1PQ,NA,Piscataquis ARC,ME,3,A,G,1888,280,174,55,51,2,870,5
K1R,W1WQM,Port City ARC,NH,3,A,G,11022,3282,1454,0,1828,2,1550,25
K1RK,W1NOB,Falmouth ARA,EMA,2,A,G,7724,2096,764,107,1225,2,1790,50
K1SM,NA,NA,EMA,1,D,C,462,231,231,0,0,1,0,1
K1SV,N1RZ,Southern Vermont ARC,VT,2,A,G,3604,956,261,0,695,2,1170,15
K1SWL,NA,NA,NH,1,B1B,B,1820,157,157,0,0,5,250,1
K1T,NA,NA,NFL,1,D,C,281,100,31,0,69,1,150,1
K1UK,NA,NA,NH,1,E,G,346,89,1,8,80,2,150,1
K1VI,NA,NA,RI,1,D,C,184,51,16,0,35,2,50,1
K1VWQ,NA,NA,WMA,2,E,G,1110,215,15,0,200,2,650,4
K1ZZ,NA,NA,CT,2,E,B,4555,456,445,0,11,5,50,1
K2AA,W2EA,South Jersey Radio Assn,SNJ,7,A,G,18154,5156,2804,42,2310,2,2150,56
K2AE,W2IR,Broughton Memorial Field Day Group,ENY,6,A,G,7688,2195,578,76,1541,2,1990,100
K2AUD,K2AUD,Audubon RC & OEM / Boro Of Barrington,SNJ,3,A,G,3878,1174,0,40,1134,2,1450,58
K2B,NA,Shore Points ARC,SNJ,3,A,G,816,72,11,0,61,2,650,26
K2BAR,KD2MCA,Bergen ARA,NNJ,5,A,G,7070,1815,942,8,865,2,1540,37
K2BCM,NA,NA,WNY,1,B1B,B,255,1,0,0,1,5,250,1
K2BHQ,NA,Franklin NC ARC,NC,3,A,B,626,39,0,24,15,2,500,13
K2BR,NA,Southern Counties ARA,SNJ,4,F,C,3696,735,407,131,197,2,1150,35
K2CT,NA,Albany ARA,ENY,3,A,G,9026,2548,1160,0,1388,2,1610,47
K2CYE,NA,NA,ENY,1,D,C,248,50,49,0,1,2,50,1
K2CYS,NA,NA,NNJ,2,E,O,3150,750,550,200,0,2,150,2
K2DLL,K2ZIP,Saratoga Co ARA,ENY,3,A,G,3590,880,445,0,435,2,940,21
K2EC,NA,Bonac ARC,NLI,2,A,G,2554,952,0,0,952,2,650,10
K2EIR,NA,NA,ENY,1,E,B,188,19,0,0,19,2,150,1
K2FA,NA,Sporadic Ham RC,WNY,1,A,B,1438,435,159,0,276,2,250,3
K2FCR,NA,Cornerstone ARC,ENY,1,A,G,626,13,0,0,13,2,600,3
K2FJ,NA,Montvale OEM,NNJ,1,F,G,2174,306,207,74,25,2,1000,7
K2GAV,NA,NA,CT,1,B1B,B,755,100,21,0,79,5,150,1
K2GE,NA,Raritan Bay Radio Amateurs,NNJ,2,F,G,902,26,0,0,26,2,850,6
K2GG,NA,Splitrock ARA,NNJ,3,AC,C,6090,1563,815,42,706,2,1250,40
K2GQ,NA,Roseland ARC,NNJ,1,F,C,294,92,30,0,62,2,50,6
K2GSG,NA,Garden School ARC,NLI,1,A,O,1154,2,0,0,2,2,1150,16
K2HT,NA,NA,MO,1,E,B,256,94,9,0,85,2,50,1
K2IQ,NA,Utica ARC,WNY,1,A,G,1064,135,21,51,63,2,650,8
K2IWR,NA,Skyline ARC,WNY,3,A,G,1268,298,11,0,287,2,650,11
K2J,K2ALS,Tryon ARC,NNY,4,A,G,2500,372,36,7,329,2,1670,15
K2KR,NA,The Family Hams,CO,1,A,G,252,101,0,0,101,2,50,3
K2MFF,NA,NA,NNJ,2,A,G,1406,222,168,8,46,2,610,11
K2MK,NA,NA,WCF,1,D,C,1412,343,329,9,5,2,50,1
K2NPN,NA,NA,WNY,1,E,G,1030,220,220,0,0,2,150,1
K2NV/VE3,NA,NA,ONS,1,C,B,254,51,51,0,0,2,50,1
K2OAK,WA2FZW,Red Oak Society,NNJ,2,A,G,1412,325,126,0,199,2,510,6
K2OGT/3,NA,NA,EPA,1,E,B,954,201,201,0,0,2,150,1
K2OQ,NA,Carousel RC,WNY,2,F,C,357,207,100,0,107,1,50,3
K2POF,NA,Stone Tower Creek RC,ENY,1,A,G,698,277,22,0,255,2,100,5
K2PRO,NA,Pioneer Radio Operators Society,WNY,2,A,B,874,87,0,0,87,2,700,8
K2PUT,NA,Putnam Emerg Amateur Repeater League,ENY,3,A,G,3150,620,355,0,265,2,1200,25
K2QS,WK2T,QSY Society,ENY,3,AC,C,7940,2233,832,0,1401,2,1810,22
K2RET,NA,NA,SNJ,1,D,C,306,225,31,0,194,1,50,1
K2RP,NA,NA,SDG,2,A,B,1520,360,200,0,160,2,400,9
K2SDS,NA,NA,SNJ,1,D,C,588,269,0,0,269,2,50,1
K2TD,NA,Burlington Co RC,SNJ,3,F,C,2836,496,237,0,259,2,1370,34
K2VER,NA,NA,NNJ,2,E,G,812,211,0,0,211,2,390,9
K2VN,KA2Q,Nassau ARC,NLI,3,A,G,6610,1611,844,250,517,2,1200,39
K2WJL,NA,NA,MDC,1,B1C,C,258,129,0,0,129,2,0,1
K2WK,NA,NA,VA,1,D,C,374,187,187,0,0,1,0,1
K2WMA,KB2UNZ,West Morris ARC,NNJ,2,AC,C,1388,299,0,0,299,2,790,7
K2YGM,NA,NA,NLI,1,E,B,2580,253,253,0,0,5,50,1
K2YNT,NA,Metuchen RC,NNJ,2,A,G,1420,354,181,0,173,2,350,7
K2ZV,NA,NA,NNJ,2,F,G,2438,566,9,89,468,2,1110,9
K3AE,NA,Southern PA Comms Group,EPA,4,A,G,3878,916,51,197,668,2,1550,47
K3ARS,NA,Kent ARS,MDC,4,A,G,1378,209,0,5,204,2,950,6
K3ATO,NA,NA,EPA,1,D,C,1060,510,500,0,10,1,50,1
K3BLN,NA,NA,EPA,1,D,C,1906,466,462,0,4,2,50,1
K3CAL,NA,Calvert ARA,MDC,4,A,B,1810,326,63,91,172,2,850,13
K3CCR,NA,NA,MDC,2,D,C,2076,537,476,0,61,2,50,2
K3CSF,NA,NA,WPA,1,E,G,960,263,0,92,171,2,250,4
K3CSG,W3W,Scranton-Pocono AR Klub,EPA,3,A,G,3578,701,233,0,468,2,1710,40
K3DCX,NA,NA,MDC,1,D,C,76,13,0,0,13,2,50,1
K3DN,NA,Warminster ARC,EPA,6,A,G,3418,1134,0,0,1134,2,1150,55
K3DRJ,NA,NA,MDC,1,D,C,246,98,0,0,98,2,50,1
K3DRQ,NA,NA,EPA,1,D,C,218,24,7,3,14,2,150,1
K3EMD,KB3ZPU,Easton ARS,MDC,3,A,G,3210,701,143,26,532,2,1470,23
K3ERM,NA,Frederick ARC,MDC,2,A,B,1632,279,0,12,267,2,1050,7
K3EW,WN3R,Upper Montgomery HF'ers,MDC,3,A,G,9042,2567,999,0,1568,2,1910,10
K3F,NA,First State ARC,DE,1,A,G,2486,380,278,0,102,2,1170,15
K3FI,NA,Holmesburg ARC,EPA,4,A,G,3198,589,435,0,154,2,1150,12
K3GT,W3EXW,NA,WPA,3,A,B,2548,567,382,0,185,2,650,13
K3HKI,NA,St Marys Co ARA,MDC,3,A,G,1662,481,0,0,481,2,700,35
K3IE,NA,NA,TN,1,B1B,B,950,85,85,0,0,5,100,1
K3IEC,NA,Cumberland ARC,EPA,4,AC,C,2310,453,153,14,286,2,1070,26
K3II,NA,Bergers Bandits,EPA,2,A,G,6536,1737,1406,0,331,2,250,4
K3IR,N3FMO,Southen Pennsylvania ARC,EPA,5,A,G,5332,1050,779,62,209,2,1550,17
K3JQH,NA,NA,EPA,1,D,C,156,61,0,17,44,2,0,1
K3JT,NA,NA,WV,1,D,C,2038,497,497,0,0,2,50,1
K3LNZ,NA,Garrett Co ARES,MDC,3,A,G,3304,665,562,0,103,2,850,5
K3LV,NA,Lebanon Valley Soc of Radio Amateurs,EPA,3,A,G,2748,523,267,49,207,2,1070,45
K3MGQ,NA,NA,EPA,1,D,C,88,19,0,0,19,2,50,1
K3MJW,NA,NA,WPA,4,E,G,5886,1689,929,0,760,2,650,12
K3NEM,W3GR,ARCNEM,MDC,2,A,G,3094,732,300,0,432,2,1030,11
K3NG,NA,Radio Artisans,EPA,1,A,G,2986,705,613,0,92,2,350,5
K3NP,NA,Aiken Contest Club,SC,3,A,B,1154,181,34,37,110,2,650,3
K3NQT,NA,Bedford Co ARS,WPA,3,F,C,1304,277,33,57,187,2,570,13
K3ODX,NA,Independent Radio Crew,EPA,2,A,G,2096,647,219,7,421,2,350,10
K3ORS,NA,NA,TN,1,E,B,480,115,0,0,115,2,250,1
K3PNW,NA,NA,WWA,1,D,C,230,40,0,40,0,2,70,1
K3QAC,NA,Queen Anne's ARC,MDC,7,A,G,1942,402,230,14,158,2,650,15
K3QY,NA,Fort Armstrong Wireless Assn,WPA,3,F,G,1338,244,100,0,144,2,650,31
K3SEN,NA,NA,VA,1,D,C,550,125,125,0,0,2,50,1
K3SFP,NA,NA,VA,1,B1B,B,420,32,32,0,0,5,100,1
K3SMD,NA,Charles Co ARC,MDC,2,A,G,412,60,0,11,49,2,270,5
K3SNY,NA,Snyder Co PA EOC,EPA,1,F,C,154,52,0,0,52,2,50,2
K3TSA,NA,Pike ARES/RACES,EPA,1,AC,C,484,71,46,0,25,2,250,3
K3TW,NA,NA,NFL,1,B1B,B,1250,90,90,0,0,5,350,1
K3TZ,NA,NA,SFL,1,D,C,198,48,26,0,22,2,50,1
K3UA,NA,NA,WPA,1,D,C,1358,327,327,0,0,2,50,1
K3URT,NA,NA,EPA,1,D,C,428,179,0,10,169,2,50,1
K3VAT,NA,NA,VA,1,D,C,864,216,216,0,0,2,0,1
K3VED,NA,NA,WPA,1,D,C,130,80,0,0,80,1,50,1
K3WEB,NA,Masonic Village ARC,EPA,3,A,G,1568,394,65,0,329,2,650,9
K3WGR,NA,NA,EPA,1,D,C,270,55,0,55,0,2,50,1
K3WJV,NA,NA,EPA,1,D,C,2497,1230,1217,0,13,1,50,1
K3WW,NA,NA,EPA,1,D,C,1386,334,334,0,0,2,50,1
K3WYC,NA,NA,AZ,1,E,G,914,191,191,0,0,2,150,1
K3YEO,NA,NA,VA,1,D,C,32,10,0,6,4,2,0,1
K3YTL,NA,Murgas ARC,EPA,3,F,C,4792,1458,363,0,1095,2,1150,26
K4A,NA,Ellijay ARS,GA,3,A,G,3122,603,349,134,120,2,950,22
K4AKC,NA,NA,AL,2,B2B,B,1890,168,140,0,28,5,350,2
K4BCH,K4OTH,Pamlico ARC,NC,2,A,G,2316,410,183,0,227,2,1130,26
K4BEH,NA,Hunters Ridge Hams,GA,1,AB,B,4560,381,381,0,0,5,750,4
K4BFT,KD4IYD,Huntsville ARC,AL,4,A,B,16452,4615,2695,71,1849,2,1690,66
K4BKV,AF4FC,Hernando Co ARA,NFL,3,A,G,4096,656,613,4,39,2,1550,12
K4BP,NA,NA,TN,1,E,G,4350,1050,1050,0,0,2,150,2
