call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points
AA8MA,NA,498,1D,OH,2,NA,1,1,C,58,47,14,119,50
AA8OY,NA,1722,1D,OH,2,Lake Co. (OH) ARA,2,1,C,271,117,0,388,170
AA8R,NA,450,1D,WCF,2,Florida Contest Group,1,1,C,0,100,0,100,50
AA8SW,NA,1650,1D,OH,2,OH-KY-IN ARS,1,1,C,0,400,0,400,50
AA8TA,NA,842,1D,OH,2,Great Lakes CWops Club,1,1,C,173,0,0,173,150
AA9DU,NA,542,1D,IN,2,Mizpah Shrine Radio Unit,1,1,C,100,23,0,123,50
AA9RK,NA,1022,1E,WI,2,West Allis Radio Amateur Club,3,1,B,116,65,4,185,290
AA9UF,NA,300,1D,IL,2,NA,1,1,C,0,32,11,43,150
AAØAW,NA,986,1D,MN,2,NA,1,1,C,140,69,0,209,150
AAØB,NA,456,1D,MO,2,Central Missouri RA,2,1,C,100,0,3,103,50
AAØBV,NA,146,1D,SF,2,REDXA/MARS,1,1,C,0,24,0,24,50
AAØIZ,NA,162,1D,OR,1,NA,1,1,C,56,0,0,56,50
AAØJE,NA,60,1D,TN,2,Smoky Mountain ARC,1,1,C,0,0,5,5,50
AAØK,NA,74,1D,CO,2,NA,1,1,C,0,6,0,6,50
AAØRW,NA,1506,2A,MN,2,Hiawatha Valley ARC,17,2,G,6,0,316,322,850
AAØTR,NA,334,1D,MN,2,NA,1,1,C,71,0,0,71,50
AB1IP,NA,495,1E,UT,5,Utah ARC,1,1,B,0,0,29,29,350
AB1KM,NA,148,2D,NH,2,Pride Radio Group,7,2,C,5,11,17,33,50
AB1KT,NA,142,1D,EMA,2,K1USN RC,1,1,C,23,0,0,23,50
AB1P,NA,318,1C,DE,2,Frankford RC,2,1,G,15,0,54,69,150
AB1WG,NA,1230,1D,VT,2,NA,1,1,C,0,295,0,295,50
AB1XK,NA,360,1D,EMA,2,Cape Ann ARA,1,1,C,21,18,27,66,150
AB2WZ,NA,190,1D,AL,2,Squaw Island ARC,1,1,C,0,0,70,70,50
AB3BL,NA,186,1D,EPA,2,Columbia-Montour ARC,1,1,C,0,14,40,54,50
AB3XJ,NA,1238,1E,MDC,2,Anne Arundel RC,1,1,G,0,100,94,194,650
AB3ZI,NA,82,1D,EPA,2,Murgas ARC,1,1,C,0,2,12,14,50
AB4BA,NA,630,1E,CO,5,Parker RA,1,1,B,0,48,0,48,150
AB4DP,NA,208,1D,TN,2,NA,1,1,C,52,0,0,52,0
AB4IQ,NA,454,1D,KY,2,Paducah ARA,1,1,C,96,5,0,101,50
AB4KE,NA,434,2F,GA,2,LaGrange ARC,10,2,B,9,0,24,33,350
AB4LL,NA,1606,1D,SFL,2,Boca Raton ARA,1,1,C,363,0,2,365,150
AB4NH,NA,428,1D,TN,2,NA,1,1,C,0,57,75,132,50
AB4RT,NA,1182,1E,GA,2,MGRA / CGARC,1,1,G,0,233,0,233,250
AB4V,NA,1378,1E,NC,2,Smithchart ARS,2,1,G,217,0,180,397,150
AB4WL,NA,302,1D,AL,2,NA,1,1,C,18,39,12,69,50
AB5UE,NA,1288,2A,STX,2,Boerne ARC,10,2,G,35,0,74,109,1000
AB5XM,NA,104,1D,STX,2,NA,1,1,C,7,6,1,14,50
AB6BR,NA,134,1D,EB,2,South Bay ARA,1,1,C,21,0,0,21,50
AB6MB,NA,366,1D,EB,2,PAPA System,2,1,C,0,79,0,79,50
AB7DG,NA,292,1D,WWA,2,Radio Club of Tacoma,1,1,C,0,0,21,21,250
AB7FB,NA,470,1E,NV,5,Verde Valley ARA,1,1,B,0,32,0,32,150
AB7HP,NA,2254,4A,ID,2,HP Boise ARC,9,4,G,0,331,80,411,770
AB7RW,NA,1114,1D,WWA,2,Clark Co. (WA) ARC,1,1,C,266,0,0,266,50
AB7YQ,NA,904,1A,WNY,2,Lambert Family,6,1,G,1,7,221,229,430
AB8AC,NA,996,1B1,OH,2,NA,1,1,C,0,0,473,473,50
AB8DF,NA,300,1E,MI,5,Michigan QRP Club,1,1,B,15,0,0,15,150
AB8I,NA,3558,2F,MI,2,Calhoun Co. EOC,10,2,G,725,0,154,879,350
AB8OU,NA,468,1D,OH,2,Silvercreek ARA,1,1,C,102,0,5,107,50
AB8WW,NA,198,1D,WV,2,Tri-State ARA,1,1,C,0,37,0,37,50
AB8YZ,NA,918,1D,NTX,2,Ham Assn. of Mesquite,1,1,C,27,155,20,202,150
AB9A,NA,500,1D,LAX,2,Palos Verdes ARC,1,1,C,85,0,0,85,160
AB9BZ,NA,1170,1E,IL,5,Six Meter Club of Chicago,1,1,B,102,0,0,102,150
AB9CA,NA,2370,1E,IN,5,NA,1,1,B,222,0,0,222,150
AB9OS,NA,386,1E,MT,2,Bitterroot ARC,2,1,G,41,0,26,67,170
AB9PN,NA,1790,1AC,WI,2,Ozaukee RC,3,1,C,422,0,26,448,50
AB9PR,NA,2190,2D,IL,2,North Shore (IL) RC,2,2,C,324,0,372,696,150
AB9YC,NA,8004,1A,IL,2,Blazing Paddles FD Team,6,1,G,1541,92,11,1644,1450
ABØRX,NA,2008,2E,MO,2,Boeing Employees ARS - St. Louis,1,2,G,226,169,89,484,250
ABØTO,NA,632,1D,MO,2,St. Louis ARC,1,1,C,8,1,173,182,250
AC1BB,NA,220,1E,IL,5,NA,1,1,B,7,0,0,7,150
AC1DD,NA,718,1E,IL,2,NA,1,1,B,0,0,284,284,150
AC1FS,NA,114,1D,EMA,2,NA,1,1,C,0,16,0,16,50
AC1J,NA,664,1D,NH,2,Granite State ARA,1,1,C,108,0,116,224,0
AC1KY,NA,1080,1E,EMA,5,Framingham ARA,1,1,B,103,0,0,103,50
AC2GC,NA,544,2E,ENY,2,Putnam Emergency Amateur Repeater League,2,2,G,0,0,97,97,350
AC2IK,NA,456,1D,WNY,2,NA,1,1,C,50,64,0,114,0
AC2N,NA,220,1E,NFL,2,NA,1,1,B,0,0,35,35,150
AC2RL,NA,1130,1E,WNY,2,Rochester (NY) DX Assn.,1,1,G,109,128,16,253,150
AC2SR,NA,360,1D,ENY,2,Putnam Emergency Amateur Repeater League,2,1,C,0,0,155,155,50
AC2UQ,NA,130,1D,ENY,2,Overlook Mountain ARC,1,1,C,0,0,40,40,50
AC2ZU,NA,128,1D,SNJ,2,Jersey Shore ARS,1,1,C,0,0,39,39,50
AC2ZZ,NA,136,1D,NNJ,2,Tri County Radio Assn.,1,1,C,0,0,43,43,50
AC3BQ,NA,300,1B1B,SNJ,5,NA,1,1,B,15,0,0,15,150
AC3CJ,NA,466,2E,MDC,2,Goddard ARC,4,2,B,0,1,6,7,450
AC3D,NA,2050,1E,TN,2,NA,2,1,G,289,3,216,508,450
AC3EW,NA,90,1D,MDC,2,NA,1,1,C,0,2,16,18,50
AC3MB,NA,352,1E,EPA,2,NA,1,1,B,0,0,101,101,150
AC3U,NA,606,1B2,MDC,2,W3AO PVRC,2,1,C,139,0,0,139,50
AC4DP,NA,152,1D,GA,2,NA,1,1,C,17,0,17,34,50
AC4G,NA,278,1D,TN,2,NA,1,1,C,0,57,0,57,50
AC4JG,NA,202,1D,NC,2,NA,1,1,C,0,38,0,38,50
AC4RC,NA,1986,2AC,NC,2,Azalea Coast ARC,24,2,C,0,0,468,468,1050
AC4UK,NA,218,1D,VA,2,NA,1,1,C,0,42,0,42,50
AC5BX,NA,370,1B1B,NM,5,Socorro ARA,1,1,B,32,0,0,32,50
AC5DL,NA,130,1D,NTX,2,Metrocrest ARS,1,1,C,0,0,40,40,50
AC5LC,NA,1900,2A,STX,2,Lake Conroe ARC,18,2,G,85,169,7,261,870
AC5O,NA,202,1D,LA,2,NA,1,1,C,0,0,76,76,50
AC5XK,NA,1360,1B1B,EMA,5,W3AO PVRC,1,1,B,131,0,0,131,50
AC6MM,NA,238,1E,EB,2,South Bay ARA,1,1,B,0,0,44,44,150
AC6RM,NA,146,1D,LAX,2,Palos Verdes ARC,1,1,C,0,0,48,48,50
AC6RW,NA,78,1E,LAX,2,Hughes ARC,1,1,G,0,0,14,14,50
AC6VV,NA,270,1E,LAX,2,Pasadena RC/ JPLARC/ CITARC,1,1,B,0,0,60,60,150
AC6X,NA,2850,2B1,LAX,2,Pasadena RC/ JPLARC/ CITARC,1,2,B,0,303,484,787,670
AC6YY,NA,1174,1A,SCV,2,Santa Clara Co. ARA,3,1,B,231,0,0,231,250
AC7A,NA,2170,1B1B,AZ,5,NA,1,1,B,190,0,4,194,250
AC7CA,NA,158,1E,AZ,2,NA,1,1,B,0,0,4,4,150
AC7CJ,NA,236,1D,EWA,2,NA,1,1,C,0,0,43,43,150
AC7FF,NA,810,3AB,AZ,5,EVQRP,3,3,B,76,0,0,76,50
AC7MX,NA,60,1D,WWA,2,Seattle ACS,1,1,C,0,0,5,5,50
AC7SR,NA,1088,1E,WWA,2,Chehalis Valley ARS,1,1,B,0,132,55,187,450
AC7YT,NA,1696,2A,UT,1,Traveling Amateur Radio Team,4,2,G,0,0,1346,1346,350
AC8AZ,NA,146,1D,MI,2,Barry ARA,1,1,C,24,0,0,24,50
AC8HZ,NA,134,1D,MI,2,NA,1,1,C,0,0,42,42,50
AC8JW,NA,240,1B1B,MI,5,NA,1,1,B,9,0,0,9,150
AC8NW,NA,1258,1D,OH,2,Cuyahoga ARS,1,1,C,0,301,2,303,50
AC8RJ,NA,406,1B1,OH,2,NA,1,1,B,0,0,68,68,270
AC8TN,NA,590,1D,OH,2,Cuyahoga ARS,1,1,C,108,0,4,112,150
AC8TO,NA,596,1E,MI,2,Arrow Comm. Assn,1,1,G,0,110,3,113,150
AC8WC,NA,236,1D,MI,2,NA,1,1,C,0,0,93,93,50
AC8WW,NA,296,1B1,OH,2,NA,1,1,B,0,0,73,73,150
AC8ZU,NA,590,1D,OH,2,Bellbrook ARC,1,1,C,0,135,0,135,50
AC9BJ,NA,1946,1E,WI,2,Four Lakes ARC,1,1,B,420,0,8,428,250
AC9EZ/M,NA,700,1C,ND,2,Fort Wayne RC,1,1,B,162,0,1,163,50
AC9QR,NA,840,1E,WI,5,Wisconsin ARC,1,1,S,0,59,0,59,250
AC9S,NA,850,1D,IL,2,Central Illinois RC,1,1,C,200,0,0,200,50
AC9TN,NA,364,1D,IL,2,Central Illinois RC,1,1,C,0,0,157,157,50
AC9UV,NA,258,1D,IL,2,Chicago Suburban Radio Assn.,1,1,C,52,0,0,52,50
AC9VC,KD9PII,2895,2AB,IL,5,Workshop88,4,2,B,1,212,43,256,550
AC9VM,NA,480,1E,IN,5,NA,1,1,B,0,23,0,23,250
AC9WN,NA,470,1D,IL,2,York RC,1,1,C,0,105,0,105,50
AC9XS,NA,406,1D,IN,2,Fort Wayne RC,1,1,C,89,0,0,89,50
AC9XX,NA,490,1B1,IL,2,NA,1,1,B,89,12,18,119,50
AC9YC,NA,282,1B1,WI,2,NA,1,1,B,0,0,16,16,250
ACØKN,NA,76,1D,KS,2,Douglas Co. ARC,1,1,C,1,0,11,12,50
ACØSR,NA,1160,1B1B,MO,5,NA,1,1,B,91,0,0,91,250
ACØTG,NA,76,1D,NTX,2,NA,2,1,C,0,0,13,13,50
ACØWN,NA,846,1D,OR,2,Central Oregon Coast ARC,1,1,C,0,99,0,99,450
AD1T,NA,2126,5A,NH,2,Cheshire Co. DX ARC,25,5,G,0,0,628,628,870
AD2BO,NA,487,1D,NLI,1,NA,1,1,C,0,0,437,437,50
AD4AS,NA,66,1D,SFL,2,Fort Myers ARC,1,1,C,0,0,8,8,50
AD4IE,NA,190,1D,NC,2,NA,1,1,C,35,0,0,35,50
AD4TJ,NA,2212,1D,VA,2,Valley and Massanutten ARA,1,1,C,135,336,4,475,320
AD4V,NA,178,1E,GA,2,North Fulton ARL,1,1,B,4,3,0,7,150
AD5BU,NA,110,1D,OK,2,OCAPA,1,1,C,0,0,30,30,50
AD5EN,NA,1170,1E,SC,2,Sun City Hilton Head ARC,1,1,B,0,205,0,205,350
AD5EO,NA,616,2F,AR,2,Saline Co. ARES,3,2,C,33,8,1,42,450
AD5HS,NA,146,1D,MS,2,Mississippi Coast ARA,1,1,C,24,0,0,24,50
AD5L,NA,2220,1E,STX,5,WCARC-TX,1,1,B,38,139,0,177,450
AD5MQ,NA,486,1E,CO,2,Big Sandy ARC,1,1,B,0,84,0,84,150
AD5XI,NA,510,1D,MDC,2,Columbia (MD) ARA,1,1,C,115,0,0,115,50
AD6AD,NA,168,1D,SV,2,NA,1,1,C,0,0,59,59,50
AD6CL,NA,552,1D,SCV,2,West Valley ARA,6,1,C,0,83,5,88,210
AD6CY,NA,114,1D,LAX,2,Santa Clarita ARC,1,1,C,0,16,0,16,50
AD6GE,NA,78,1D,ORG,2,NA,1,1,C,0,7,0,7,50
AD6IZ,NA,88,1D,LAX,2,Crescenta Valley RC,1,1,C,1,0,17,18,50
AD6JF,NA,78,1D,ORG,2,Riverside Co. ARA,1,1,C,7,0,0,7,50
AD6JV,NA,130,1D,VA,2,Albemarle ARC,1,1,C,20,0,0,20,50
AD6NR,NA,1250,1E,ORG,2,Bishop ARC,1,1,G,0,0,550,550,150
AD6RH,NA,376,1D,EB,2,NA,1,1,C,0,75,13,88,50
AD6SF,NA,278,1D,SB,2,Conejo Valley ARC,1,1,C,0,0,114,114,50
AD6ZR,NA,164,1A,UT,2,Manila Creek Stake  ERC,4,1,G,0,0,7,7,150
AD7DD,NA,1374,1B1,EWA,2,NA,1,1,B,0,206,0,206,550
AD7KG,NA,794,1B1,UT,2,NA,1,1,G,140,21,0,161,150
AD7MC,NA,660,1D,WWA,2,NA,1,1,C,103,17,15,135,150
AD7OG,NA,412,1D,OR,2,Oregon Tualatin Valley ARC,1,1,C,0,87,7,94,50
AD7OY,NA,212,1D,NV,2,NA,1,1,C,0,39,3,42,50
AD7XG,NA,892,1D,EWA,2,Spokane DX Assn.,1,1,C,205,0,11,216,50
AD7Z,NA,144,1D,OR,2,Valley RC of Oregon,1,1,C,0,0,47,47,50
AD8EC,NA,302,1E,OH,2,NA,1,1,S,0,0,76,76,150
AD8FD,NA,878,1D,OH,2,West Chester ARA,1,1,C,0,207,0,207,50
AD8HN,NA,156,1D,OH,2,Bellbrook ARC,1,1,C,0,0,53,53,50
AD8J,NA,2450,1D,NC,2,NA,1,1,C,600,0,0,600,50
AD9OV,AD9RR,4656,3A,IL,2,Okaw Valley ARC,40,3,G,481,172,257,910,1530
ADØB,NA,478,2D,MO,2,Macon Co. ARC,2,2,C,0,72,70,142,50
ADØFJ,NA,378,1B2,MN,2,Crookston Pirates,2,1,C,3,0,58,61,250
ADØIU,NA,280,1E,CO,5,NA,1,1,B,13,0,0,13,150
ADØJA,NA,1902,1B1,MO,2,Missouri Illinois ARC,1,1,C,0,0,926,926,50
ADØKH,NA,182,1D,AR,2,Mid-MO ARC,1,1,C,33,0,0,33,50
ADØL,NA,246,1B1,SDG,2,San Diego ARES,1,1,B,0,0,48,48,150
ADØLS,NA,208,1E,NE,2,Ak-Sar-Ben ARC,1,1,B,0,0,29,29,150
ADØMO,NA,202,1E,MO,2,Emergency Communications Assn.,1,1,B,0,0,26,26,150
ADØRW,NA,658,1E,IA,2,NA,1,1,B,127,0,0,127,150
ADØYM,NA,454,1D,MO,2,Mid-MO ARC,1,1,C,101,0,0,101,50
ADØYO,NA,994,1D,CO,2,Denver RC,1,1,C,0,235,2,237,50
AE1E,NA,314,1B1,NTX,2,NA,1,1,B,0,16,0,16,250
AE1T,NA,2066,1D,NH,2,NA,1,1,C,504,0,0,504,50
AE1TG,NA,202,1D,ME,2,NA,1,1,C,0,38,0,38,50
AE2AN,NA,518,2D,ENY,2,Dutchess Demons,5,2,C,0,0,134,134,250
AE2T,NA,1346,1D,WNY,2,NA,1,1,C,90,234,0,324,50
AE4CW,NA,362,1D,GA,2,North Fulton ARL,1,1,C,0,0,156,156,50
AE4FQ,NA,90,1D,AL,2,NA,1,1,C,0,10,0,10,50
AE4M,NA,56,1D,AL,2,Huntsville ARC,1,1,C,0,0,3,3,50
AE4R,NA,70,1D,VA,2,Vienna Wireless Soc.,1,1,C,5,0,0,5,50
AE4WX,NA,1910,1E,NC,5,NA,3,1,B,0,152,0,152,390
AE5FM,NA,510,1D,NTX,2,Dallas ARC,1,1,C,0,115,0,115,50
AE5MI,NA,266,1D,MS,2,Great Southern DX Assn.,1,1,C,0,54,0,54,50
AE5MM,NA,514,1E,OK,2,Broken Arrow Emerg. Mgmt. ARC,1,1,G,58,8,0,66,250
AE5SS,NA,152,1D,AR,2,Arkansas River Valley ARF,1,1,C,0,0,1,1,150
AE5ZX,NA,104,1D,NM,2,NA,1,1,C,0,0,27,27,50
AE6JV,NA,508,1D,NH,2,West Valley ARA,1,1,C,99,11,9,119,50
AE6NH,NA,355,1B1B,SB,5,Pasadena RC/ JPLARC/ CITARC,1,1,B,1,0,19,20,250
AE6NN,NA,102,1D,ORG,2,NA,1,1,C,11,0,4,15,50
AE6PL,NA,354,1E,SB,2,NA,1,1,B,48,0,6,54,150
AE6SF,NA,434,1E,SF,2,Sonoma Co. Radio Amateurs,1,1,S,23,0,46,69,250
AE6YN,NA,670,1E,EB,2,South Bay ARA,1,1,G,130,0,0,130,150
AE7EE,NA,94,1D,WWA,2,NA,1,1,C,11,0,0,11,50
AE7EL,NA,540,1B1B,WWA,5,San Juan Co. ARS,1,1,B,0,0,18,18,450
AE7I,NA,1298,1D,NV,2,NA,1,1,C,312,0,0,312,50
AE7OH,NA,56,1D,AZ,2,Coconino ARC,1,1,C,0,0,3,3,50
AE9LL,NA,136,1D,IN,2,HDXCC,1,1,C,10,0,23,33,50
AE9Q,NA,490,1D,AZ,2,Tortolita RC,1,1,C,5,105,0,110,50
AEØDC,NA,2284,1E,MO,2,NA,6,1,G,0,0,917,917,450
AEØEE,NA,86,1D,MN,2,NA,1,1,C,9,0,0,9,50
AEØG,NA,544,1D,NE,2,NA,1,1,C,136,0,0,136,0
AEØGT,NA,76,1D,MN,2,NA,1,1,C,0,0,13,13,50
AEØIB,NA,284,1D,MO,2,NA,1,1,C,16,25,35,76,50
AEØJM,NA,1242,1E,CO,2,Estes Valley ARC,1,1,B,0,273,0,273,150
AEØJR,NA,250,1D,NE,2,NA,1,1,C,0,0,100,100,50
AEØTB,NA,1126,1D,IA,2,Northeast Iowa Radio Amateur Assn.,1,1,C,0,244,0,244,150
AF1R,NA,552,1E,EMA,2,Wellesley ARS,1,1,B,0,0,101,101,350
AF2A,NA,956,6A,WNY,2,Tompkins Co. ARA,11,6,G,2,0,149,151,650
AF2F,NA,258,1D,NNJ,2,NA,1,1,C,0,52,0,52,50
AF2V,NA,154,1C,ENY,2,Warren Co. NY RC,1,1,B,0,0,2,2,150
AF3I,NA,154,1D,EPA,2,Cumberland ARC,1,1,C,1,0,0,1,150
AF4FA,NA,378,1E,SFL,2,Gold Coast ARA,1,1,G,0,57,0,57,150
AF4PM,NA,358,1A,WWA,2,San Juan Co. ARS,3,1,B,0,0,54,54,250
AF4T,NA,2168,1D,TN,2,Tennessee Contest Group,1,1,C,437,59,17,513,150
AF5BG,NA,310,1E,OK,2,Aeronautical Center ARC,1,1,B,0,65,0,65,50
AF5D,NA,534,2D,NTX,2,NA,1,2,C,0,56,80,136,150
AF5J,NA,518,1D,STX,2,Texas DX Soc.,1,1,C,117,0,0,117,50
AF5LA,NA,176,1E,STX,2,NA,1,1,B,0,0,13,13,150
AF5M,NA,3736,3A,STX,2,Hambuds,29,3,G,262,311,97,670,1250
AF5T,NA,1100,1D,SDG,2,San Diego ARES,1,1,C,0,157,11,168,450
AF6GA,NA,1304,1B1,SF,2,NA,1,1,G,288,0,1,289,150
AF6IE,NA,826,1E,SCV,2,SC4ARC,13,1,B,0,44,0,44,650
AF6N,NA,1046,1D,ORG,2,Orange Co. (CA) ARC,1,1,C,249,0,0,249,50
AF6TF,NA,1076,2E,EB,2,South Bay ARA,1,2,B,0,197,19,216,250
AF7BO,NA,598,1D,WWA,2,Bainbridge Island ARC,1,1,C,0,0,259,259,80
AF7EF,NA,638,1D,AZ,2,Eastern Arizona ARS,1,1,C,0,120,4,124,150
AF7FS,NA,160,1B1B,NV,5,NA,1,1,B,0,0,2,2,150
AF7JM,NA,88,1D,WWA,2,NA,1,1,C,0,0,19,19,50
AF7LZ,NA,82,1D,ID,2,NA,1,1,C,0,8,0,8,50
AF9J,NA,580,1E,WI,5,NA,1,1,B,43,0,0,43,150
AFØE,NA,682,1B1,CO,2,NA,1,1,G,133,0,0,133,150
AFØH,NA,350,1D,AZ,2,NA,1,1,C,0,75,0,75,50
AFØZ,NA,1180,1E,MN,2,NA,1,1,G,233,7,35,275,150
AG2J,NA,1726,1D,SNJ,2,Frankford RC,1,1,C,345,74,0,419,50
AG2TH,NA,176,1D,AZ,2,NA,1,1,C,0,21,21,42,50
AG3X,NA,350,1D,EPA,2,NA,1,1,C,0,75,0,75,50
AG4BC,NA,326,1D,KY,2,Woodford Co. ARC,1,1,C,0,39,5,44,160
AG4HG,NA,168,1D,TN,2,Scenic City ARS,1,1,C,0,0,59,59,50
AG4P,NA,856,1B1,TN,2,NA,1,1,B,176,0,1,177,150
AG4ZP,NA,300,1E,CO,5,NA,1,1,B,5,10,0,15,150
AG5AT,NA,574,1D,AL,2,Birmingham ARC,1,1,C,75,56,0,131,50
AG5CC,NA,86,1D,AR,2,Batesville Area RC,1,1,C,0,0,18,18,50
AG5HC,NA,530,1D,AR,2,NA,1,1,C,0,120,0,120,50
AG5JW,NA,1026,1E,LA,2,NA,1,1,G,0,194,0,194,250
AG5QX,NA,310,1D,STX,2,NA,1,1,C,62,0,6,68,50
AG5S,NA,698,1D,NM,2,Albuquerque DX Assn.,1,1,C,97,47,36,180,50
AG5T,NA,590,1D,STX,2,Houston ECHO Soc.,1,1,C,0,110,0,110,150
AG5VX,NA,750,1D,OK,2,Kay Co. ARC,1,1,C,0,90,170,260,50
AG6AU,NA,5694,3A,SV,2,El Dorado Co. ARC,10,3,G,841,0,620,1461,1090
AG6CL,NA,90,1D,SCV,2,Cupertino ARES,1,1,C,0,0,20,20,50
AG6GR,NA,118,1D,SCV,2,Cupertino ARES,1,1,C,0,17,0,17,50
AG6GX,NA,140,1D,SCV,2,Cupertino ARES,1,1,C,0,0,45,45,50
AG6JA,NA,208,1D,EB,2,NA,1,1,C,11,11,35,57,50
AG6NS,NA,1705,1B1B,SCV,5,JANET Club,1,1,B,33,91,3,127,450
AG6QR,NA,354,1B1,SF,2,NA,1,1,B,26,0,0,26,250
AG6RS,NA,332,1D,LAX,2,Assoc. Radio Amateurs of Long Beach,1,1,C,0,40,61,101,50
AG6TT,NA,360,2D,SV,2,South Bay ARA,1,2,C,0,55,45,100,50
AG7AB,NA,116,1D,AZ,2,Kachina ARC,1,1,C,6,0,21,27,50
AG7EM,NA,494,1D,AZ,2,AZ DARC,1,1,C,0,86,0,86,150
AG7GB,NA,786,3D,AZ,2,Arizona Outlaws Contest Club,3,3,C,184,0,0,184,50
AG7KJ,NA,480,1B1B,WWA,5,NA,1,1,B,0,0,6,6,450
AG7KO,NA,212,1D,WWA,2,NA,1,1,C,0,0,81,81,50
AG7KU,NA,240,1E,AZ,2,Superstition ARC,1,1,B,0,0,45,45,150
AG7NB,NA,782,1D,WWA,2,Microhams ARC,1,1,C,0,183,0,183,50
AG7OG,NA,186,1D,OR,2,McMinnville ARC,1,1,C,0,0,68,68,50
AG7OO,NA,166,1E,WWA,2,NA,1,1,B,0,4,0,4,150
