call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters
AK6D,904,4A,127,2,NA,ORG,4,Ojisantachi,4
AK7AT,1510,2E,274,2,NA,ID,2,NA,2
AK9D,6440,4A,1846,2,WGØTA,MO,32,Dog Hollow Contest Group,4
AL1G,405,1D,205,1,NA,AK,1,NA,1
BØGUS,100,1B2B,5,5,NA,CT,2,NA,1
DL1QQ,90,1D,90,1,NA,DX,1,NA,1
JA3JM,66,1D,4,2,NA,DX,1,NA,1
K1AA,4788,9F,1062,2,NA,NFL,51,Orlando ARC,9
K1AOM,550,3AC,236,2,NA,ME,8,Radio Adventurers of ME,3
K1BKE,9734,4A,3380,2,K1DFQ,NH,37,Contoocook Valley RC,4
K1BZ,258,1D,194,1,NA,MDC,1,NA,1
K1CRC,994,3A,247,2,NA,CT,16,Insurance City Repeater Club,3
K1DFT,3615,1F,354,5,NA,ME,4,NA,1
K1DW,5890,1E,1385,2,NA,LA,2,NA,1
K1ECT,504,2A,61,2,W1HEN,CT,7,Ellington CERT Team,2
K1EEE,3308,1E,1076,2,NA,NH,3,NA,1
K1EME,2712,2A,418,2,AB1SX,NH,54,Littleton Area Radio Klub,2
K1FS,1452,3A,356,2,NA,ME,32,Aroostook ARA,3
K1FUN,66,1D,4,2,NA,STX,1,NA,1
K1GGI,1426,1C,319,2,NA,EMA,1,NA,1
K1GTK,52,1D,26,2,NA,MO,1,NA,1
K1JCR,248,1E,74,2,NA,NH,1,NA,1
K1JNX,104,1E,2,2,NA,LA,2,NA,1
K1LHO,82,1D,8,2,NA,CT,1,NA,1
K1MAZ/M,142,1C,21,2,NA,NC,1,NA,1
K1MBO,470,1B1B,32,5,NA,RI,1,NA,1
K1MK,2978,1E,677,2,NA,WMA,4,NA,1
K1MUJ,4692,3A,1204,2,K1AGL,CT,20,Eastern CT ARA,3
K1NV,166,1D,51,2,NA,SV,1,NA,1
K1OS,370,1A,85,2,NA,RI,5,"Ocean State ARG, Inc.",1
K1PDY,1520,1B1B,117,5,NA,NH,1,NA,1
K1PQ,1900,2F,314,2,WA1JMM,ME,11,NA,2
K1QW,154,1D,26,2,NA,STX,1,NA,1
K1R,6970,1AB,631,5,NA,ME,18,NA,1
K1RK,8048,2A,2200,2,W1HQH,EMA,43,Falmouth ARA,2
K1SD,408,1E,79,2,NA,RI,1,NA,1
K1SV,3140,2A,900,2,WT1B,VT,20,Southern VT ARC,2
K1TN,687,1E,321,1,NA,WI,1,NA,1
K1WVO,494,1D,172,2,NA,NH,1,NA,1
K1ZZ,562,1B1,103,2,NA,ME,1,NA,1
K2AA,13224,6A,3815,2,W2EA,SNJ,50,South Jersey RA,6
K2AE,4346,5A,943,2,W2XAD,ENY,20,Schenectady ARA,5
K2AVI,236,1E,43,2,NA,WWA,1,NA,1
K2B/W2HRW,918,2A,91,2,NA,SNJ,15,Shore Points ARC,2
K2BAR,6826,5A,1878,2,KD2CMS,NNJ,54,Bergen ARA,5
K2BR,4480,5F,1001,2,NA,SNJ,27,NA,5
K2CC,464,1A,157,2,NA,NNY,8,NA,1
K2CMH,26,1D,13,2,NA,GA,1,NA,1
K2CT,6874,3A,1981,2,KM2O,ENY,35,NA,3
K2CYE,392,1D,86,2,NA,ENY,1,NA,1
K2DLL,3716,3A,1034,2,NR2J,ENY,25,Saratoga Co ARA,3
K2DLS,110,1D,30,2,NA,NNY,1,NA,1
K2DS,2868,2F,862,2,KMØSI,WCF,25,NA,2
K2DV,92,1D,46,2,NA,WNY,2,NA,1
K2DXU,2024,2A,556,2,NA,ENY,15,The Happy Hams,2
K2GE,1422,2F,189,2,NA,NNJ,14,NA,2
K2GG,3378,3AC,812,2,NA,NNJ,23,Splitrock ARA,3
K2HVE,32,1D,32,1,NA,NNJ,1,NA,1
K2IQ,1284,2A,198,2,NA,WNY,8,Utica ARC,2
K2IWR,2108,3A,508,2,NA,WNY,19,Skyline ARC,3
K2JJI,3104,5A,531,2,KB2TJE,NNY,30,Tryon AR,5
K2KGJ,1860,1E,161,5,NA,ENY,1,NA,1
K2KI,1362,2A,253,2,NA,VT,14,St Albans ARC,2
K2MK,1037,1D,500,1,NA,SNJ,1,NA,1
K2NJ,14500,3F,3970,2,W2CG,NNJ,21,NA,3
K2OGT,1306,1E,264,2,NA,EPA,1,NA,1
K2PUT,1598,3A,202,2,NA,ENY,29,Putnam Am Em Rep League,3
K2QR,890,1AB,24,5,NA,WNY,4,NA,1
K2QS,5798,3A,1218,2,WK2T,ENY,19,QSY Society,3
K2TD,2964,3F,681,2,AK2S,SNJ,37,NA,3
K2TTM,364,1D,91,2,NA,NLI,1,NA,1
K2ULR,305,1B1B,16,5,NA,EPA,1,NA,1
K2UNI,130,1B2,40,2,NA,ENY,2,NA,1
K2VK,292,2D,63,2,NA,NNJ,4,NA,2
K2VN,9186,4A,2573,2,NA,NLI,42,NA,4
K2WNY,3060,1B2B,257,5,NA,WNY,2,NA,1
K2YG,4220,1AB,388,5,NA,NNJ,4,Why Gee ARG,1
K2YNT,1454,2A,402,2,NA,NNJ,9,NA,2
K2ZV,2166,2F,487,2,KB2LAV,NNJ,12,NA,2
K3AE,3100,4A,760,2,NA,EPA,37,Southern PA Com Group,4
K3ARS,1428,4A,127,2,NA,MDC,9,Kent ARS,4
K3BYU,270,1B1B,34,5,NA,WWA,1,NA,1
K3CAL,2392,4A,565,2,KC3ADG,MDC,30,Calvert ARA,4
K3CF,2692,4A,555,2,NA,MDC,25,CBRA & SLRC,4
K3CSG,3108,3A,619,2,NA2T,EPA,19,Scranton-Pocono AR Klub,3
K3DN,5312,4A,1661,2,NA,EPA,39,Warminster ARC,4
K3EE,4534,5A,1057,2,NA,MDC,23,Garrett Co ARES,5
K3EMD,4940,3A,1337,2,W3ATA,MDC,30,Easton ARS,3
K3ERA,1886,3A,287,2,KI3DS,MDC,20,PGCARES,3
K3FI,1794,3A,386,2,NA,EPA,12,Holmesburg ARC,3
K3GHH,270,1C,55,2,NA,MDC,1,NA,1
K3GT,2154,3A,529,2,NA,WPA,4,Middlesex FD Group,3
K3HH,1174,1A,270,2,NA,MDC,3,Hanburger's Helpers ARC,1
K3ICH,325,1B1B,35,5,NA,VA,1,NA,1
K3IEC,1358,3AC,334,2,NA,EPA,18,Cumberland ARC,3
K3IR,4610,4A,1002,2,NA,EPA,22,So PA ARC,4
K3KU,1144,1D,314,2,NA,MDC,8,NA,1
K3LGM,310,1B1,80,2,NA,NTX,1,NA,1
K3MAF,86,1D,18,2,NA,VA,1,NA,1
K3MJW,5898,4E,1638,2,NA,WPA,11,NA,4
K3NEM,3080,3A,728,2,W3GR,MDC,10,ARCNEM,3
K3ONW,1522,1C,368,2,NA,EPA,1,NA,1
K3OQ,342,1D,219,1,NA,MDC,4,NA,1
K3ORS,584,1E,167,2,NA,TN,1,NA,1
K3PG,2248,5A,301,2,NA,MDC,12,Queen Anne Co ARC,5
K3PT,5036,2A,1417,2,W3QJ,DE,15,The 1900 Club,2
K3PZN,7460,8A,2231,2,NA,MDC,22,Carroll Co ARC,8
K3QBD,2338,1A,508,2,NA,DE,15,First State ARC,1
K3QY,948,2A,289,2,NA,WPA,30,Fort Armstrong Wireless Assn,2
K3SMD,1418,3A,197,2,NA,MDC,27,Charles CO ARC,3
K3SMT,1576,4A,474,2,NA,WPA,21,Somerset Co ARC,4
K3TAR,642,1A,246,2,NA,EPA,9,NA,1
K3TN,960,1B2B,61,5,NA,MDC,2,NA,1
K3TVC,130,1D,40,2,NA,EPA,1,NA,1
K3TW,1000,1B1B,45,5,NA,NFL,1,NA,1
K3UA,546,1D,124,2,NA,WPA,1,NA,1
K3VED,130,1D,65,2,NA,WPA,1,NA,1
K3WGR,820,1B1,176,2,NA,EPA,1,NA,1
K3WW,1926,1D,469,2,NA,EPA,1,NA,1
K3YTL,7138,4A,2083,2,W3MTP,EPA,33,Murgas ARC,4
K3ZZ,6970,2B2B,835,5,NA,MDC,2,NA,2
K4A,2640,5A,708,2,NA,NC,15,Isothermal ARC,5
K4ACW,2042,2A,464,2,NA,GA,34,Jasper RC,2
K4AEN,980,1C,210,2,NA,VA,2,NA,1
K4AMQ,552,1D,168,2,NA,TN,1,NA,1
K4BCH,2240,2A,524,2,NA,NC,10,Pamlico ARC,2
K4BFT,15476,4A,4347,2,NA,AL,60,HARC,4
K4BKV,3476,3A,510,2,NA,NFL,11,Hernando Co ARA,3
K4BSK,2046,1E,450,2,NA,VA,1,NA,1
K4BT,3084,4A,896,2,NA,NFL,56,Orange Park ARC,4
K4BV,1378,2AC,329,2,NA,NFL,50,VARES / DBARA,2
K4BW,2028,2A,505,2,NA,VA,20,Eastern Shore ARC,2
K4CME,3188,4A,900,2,KK4EQF,WCF,4,NA,4
K4CO,2674,5A,600,2,KY4DH,KY,37,NA,5
K4CPO,2662,3A,615,2,WA4VGZ,TN,37,Nashville ARC,3
K4CQ,6980,2A,1787,2,KV4MW,VA,70,Lynchburg ARC,2
K4CXS,482,2A,110,2,NA,GA,5,NA,2
K4D,1188,2A,143,2,KK4JQG,GA,23,DCARES,2
K4DAE,2068,1A,1009,2,NA,NFL,3,SSRC,1
K4DJ,762,1D,178,2,NA,NC,1,NA,1
K4EG,4220,2A,1025,2,W4VGZ,NC,42,Alamance ARC,2
K4EX,1582,2AC,413,2,NA,WCF,28,East Pasco ARS,2
K4FC,15954,7A,4937,2,N4FLA,NFL,61,Lake ARA,7
K4FQU,11798,3A,3717,2,NA,NC,7,Carolina Contest Consortium,3
K4FTO,406,1D,104,2,NA,VA,1,NA,1
K4GAR,740,2F,73,2,NA,GA,32,NA,2
K4GNV,1706,3A,405,2,NA,NFL,16,Gainesville ARS,3
K4GOP,204,1D,77,2,NA,NFL,1,NA,1
K4GSO,1598,3A,252,2,NA,NFL,20,Silver Springs RC,3
K4GVA,1344,4A,174,2,NA,VA,22,King George AR Op,4
K4H,1966,2A,438,2,KK4RVE,TN,6,High Forest ARC,2
K4HRS,3756,2A,1449,2,NA,SFL,10,Harris-Intersil ARC,2
K4HY,3568,3A,786,2,NA,KY,20,Owensboro ARC,3
K4II,3728,2A,952,2,NA,SC,35,Spartanburg ARC,2
K4IJK,88,1D,19,2,NA,RI,1,NA,1
K4JAZ,526,1B1,94,2,NA,AL,1,NA,1
K4JJ,11574,4A,3761,2,NF4GA,GA,205,No Fulton ARL,4
K4K,810,2A,74,2,NA,KY,22,River Cities ARA,2
K4KNS,1768,2AC,278,2,WE4GW,GA,7,Columbia Co ARC,2
K4KPN,220,1A,10,2,NA,KY,3,KYPN,1
K4L,568,5AC,171,2,NA,TN,28,Short Mtn Repeater Club,5
K4LKL,4676,4A,1184,2,NA,WCF,51,Lakeland ARC,4
K4LKW,1180,2A,115,2,NA,WCF,20,Lake Wales Rep Assn,2
K4LRG,17392,5A,5421,2,K5NOB,VA,178,Loudoun ARG,5
K4MN,6044,2A,1397,2,K4KMI,NC,20,Cape Fear ARS,2
K4MSU,2646,2A,415,2,W4GZ,KY,25,Murray St Univ ARC,2
K4MTI/M,7740,1C,764,5,NA,NFL,1,NA,1
K4MVA,1536,1A,433,2,NA,VA,25,Patrick Henry ARA,1
K4NAB,5018,4A,1433,2,KK4AMJ,SC,40,NA,4
K4NGA,854,1AC,382,2,NA,GA,7,North Georgia VHF Soc,1
K4NRC,6374,3A,1811,2,NA,GA,39,Bill Gremillion Memorial RC,3
K4NVA,9736,4A,2662,2,NQ4K,VA,25,Sterling Park ARC,4
K4OGB,1112,2A,90,2,NA,NC,11,Stanly CO ARC,2
K4OO,8752,2A,2639,2,NA,NC,14,Smith Chart ARS,2
K4PAR,1176,2A,183,2,NA,GA,14,Piedmont ARES,2
K4PED,14,1D,14,1,NA,AZ,1,NA,1
K4PJ,3340,2F,727,2,NA,TN,50,NA,2
K4PMH,3774,1A,933,2,NA,VA,13,Page Valley ARC,1
K4PMT,310,1B2,40,2,NA,NFL,2,NA,1
K4R,3068,8A,715,2,AE4XO,GA,75,MGRA/CGARC,8
K4RAN,3420,3A,966,2,NA,AL,8,Randolph Co ERC,3
K4RC,6532,2A,1967,2,AK4WL,VA,46,Williamsburg Area ARC,2
K4RDU,2670,1B1B,257,5,NA,VA,1,NA,1
K4RET,890,1AB,139,5,NA,VA,3,Tick Bite Trio,1
K4RFT,4232,3A,833,2,N4MJ,TN,11,Reelfoot ARC,3
K4RIV,326,1E,88,2,NA,VA,1,NA,1
K4RLK,278,2A,39,2,NA,NFL,20,Citrus Co. FL CERT,2
K4SV,4184,1A,1465,2,NA,SC,15,Greer ARC,1
K4TAK,262,2D,29,2,NA,TN,1,NA,2
K4TG,1718,2F,326,2,KY4LAW,KY,22,Anderson RC,2
K4TLH,5298,2A,1403,2,N4PIH,NFL,51,Tallahassee ARS,2
K4TN,4434,3A,1012,2,WJ4G,WCF,30,Brandon ARS,3
K4TNS,1564,2A,289,2,W4WE,AL,9,Jim Bell Wireless Assn,2
K4TS,7850,6A,1885,2,AA2FD,VA,56,Rappahannock Valley ARC,6
K4UCF,702,2A,38,2,NA,NFL,5,ARC at UCF,2
K4VRC,3642,2A,768,2,N4FP,NFL,35,The Villages ARC,2
K4VV,522,1D,123,2,NA,VA,2,NA,1
K4W,3672,5A,760,2,W4CBS,WCF,30,NA,5
K4WAK,2734,2A,559,2,NA,NFL,6,NA,2
K4WD,2072,2F,355,2,NA,SC,24,NA,2
K4WO,1828,3A,534,2,NA,NC,38,Albemarle ARS,3
K4WOC,1376,4A,225,2,NA,GA,10,NA,4
K4WW,3250,1E,1000,2,NA,KY,1,NA,1
K4XY,7238,4A,1830,2,K4HTA,VA,95,Vienna Wireless Soc,4
K4YTZ,2440,2A,514,2,NA,SC,30,NA,2
K4ZK,2112,2A,490,2,WX4MC,SFL,30,MCARES,2
K5AB,1500,1B1B,140,5,NA,STX,1,NA,1
K5ABI,1205,3F,526,1,KC5OLO,WTX,38,NA,3
K5AWC,535,1AB,27,5,NA,STX,31,NA,1
K5AXW,3765,1AB,416,5,NA,STX,7,Los Chupacabraderos,1
K5BAY,1008,4F,243,2,NA,STX,13,NA,4
K5BED,2230,3A,461,2,NA,NTX,22,Bedford ARC,3
K5BS,786,1A,42,2,NA,STX,20,Tidelands ARS,1
K5BWD,1674,3A,251,2,KE5UDM,NTX,12,Brownwood ARC,3
K5C,616,3AC,139,2,NA,OK,25,Pottawatimi ARC/South East Oklahoma  ARES,3
K5CAO,1690,1B1B,164,5,NA,SV,1,NA,1
K5DCM,270,1E,34,5,NA,AR,1,NA,1
K5DE,286,1D,97,2,NA,MS,1,NA,1
K5EEE,592,1D,221,2,NA,SFL,1,NA,1
K5EOK,9300,3A,2810,2,WB5GCX,OK,68,Edmond ARS,3
K5EPH,430,1F,115,2,NA,NTX,8,Athens ARC,1
K5FD,6768,2A,1936,2,AD5BB,WTX,15,Big Bend ARC,2
K5GCC,1638,2AC,413,2,NA,NTX,27,NA,2
K5GOE,1050,1A,250,2,NA,AR,10,NA,1
K5GVL,2506,6A,373,2,NA,NTX,18,Sabine Valley ARA,6
K5HAL,254,1B1,52,2,NA,EPA,1,NA,1
K5JEF,61,1D,11,1,NA,AR,1,NA,1
K5JJR,496,1B1C,173,2,NA,NTX,1,NA,1
K5JVL,250,2AC,50,2,NA,NTX,6,Cherokee Co ARC,2
K5KDX,1652,1D,826,2,NA,AR,2,NA,1
K5KMS,695,1B1B,109,5,NA,NTX,1,NA,1
K5LBK,1202,2A,116,2,KF5QIS,WTX,15,NA,2
K5LET,1216,3F,315,2,NA,NTX,27,NA,3
K5LIB,1528,2A,389,2,KS5Z,WTX,21,NA,2
K5MDX,8898,3A,2593,2,W5NO,MS,27,Great Southern DX Assn / Magnolia DX Assn,3
K5NE,2252,1A,511,2,NA,AR,15,Benton ARS,1
K5NEA,1234,3AC,342,2,NA,AR,10,NE AR RC,3
K5NLX,142,1B1,21,2,NA,AR,1,NA,1
K5NRH,3140,4A,708,2,W5HP,NTX,45,North Richland Hills ARC,4
K5OUR,2334,2A,337,2,KC5OUR,NM,74,Valencia Co ARA,2
K5PRK,2638,4A,700,2,K5LRK,NTX,100,Plano ARC,4
K5PXP,8290,4A,2379,2,W5QC,AR,15,Arkansas River Valley AR Foundation,4
K5QHD,3112,2A,580,2,KF5FWK,NTX,46,NA,2
K5RKW,2974,3A,1000,2,NA,NTX,25,Rockwall ARC,3
K5RWK,994,1A,214,2,NA,NTX,23,Richardson Wireless Klub,1
K5RWP,476,1E,144,2,NA,NTX,1,NA,1
K5S,2294,3A,403,2,KF5NBO,NTX,21,Sachse ARA,3
K5SAR,6438,3E,2328,2,NA,LA,32,NA,3
K5SLD,3644,3A,888,2,N5ACK,NTX,50,NA,3
K5SS,878,1D,207,2,NA,NTX,1,NA,1
K5SST,1402,4A,166,2,NA,NTX,20,HCARC/RARA,4
K5T,418,4AC,122,2,NA,STX,6,Coyote ARC,4
K5TRO,4064,2A,1199,2,N5QBU,NTX,11,Mills CO ARC,2
K5TYR,2604,2A,576,2,NA,NTX,63,Tyler ARC,2
K5UZ,16862,2A,4953,2,KD5J,AR,10,Batesville ARC,2
K5VFD,312,1F,131,2,NA,STX,6,NA,1
K5VHH,236,1C,68,2,NA,STX,1,NA,1
K5WA,8308,1A,2392,2,NA,STX,8,Tilson CC,1
K5WI,370,1B1B,12,5,NA,NTX,1,NA,1
K5WL,68,1C,9,2,NA,NTX,1,NA,1
K5WPH,3716,4E,964,2,NA,WTX,45,NA,4
K6AA,5544,3A,1236,2,NA,LAX,27,United Radio Amateur Club,3
K6AGF,2858,3A,633,2,KK6CRP,ORG,20,Tri Co ARA,3
K6AM,6272,1E,1802,2,NA,SDG,2,NA,1
K6ASK,2858,3A,633,2,KK6CRP,ORG,20,Tri-Co ARA,3
K6BB,2410,7A,506,2,NA,ORG,22,Big Bear ARC,7
K6BSD,76,1D,13,2,NA,ORG,1,NA,1
K6CAW,566,2A,156,2,NA,NV,3,Silver Tipped Rats,2
K6CCR,2614,3F,495,2,W1MJH,LAX,43,NA,3
K6CLX,1254,2AC,502,2,NA,SDG,11,Calexico ARS,2
K6CME,992,2F,171,2,NA,SJV,8,NA,2
K6CSL,634,1D,146,2,NA,SJV,1,NA,1
K6CU,680,1B1B,53,5,NA,ORG,1,NA,1
K6EAG,1066,3A,172,2,NA,EB,9,Hayward RC,3
K6EI,18885,9AB,1988,5,W6ZZZ,SCV,30,West Valley ARA,9
K6EMI,2334,2A,650,2,NA,ORG,5,DNB ARC,2
K6GRL,98,1D,49,2,NA,SCV,1,NA,1
K6III,154,1D,52,1,NA,SV,1,NA,1
K6KP,1170,3F,90,2,WA2KDX,SCV,19,NA,3
K6KQV,1070,1E,246,2,NA,SCV,1,NA,1
K6KR,66,1D,8,1,NA,WWA,1,NA,1
K6KS,510,1B1,80,2,NA,SV,1,NA,1
K6LI,2166,4A,388,2,K6LI,EB,50,North Bay ARA,4
K6LL,4150,1E,1000,2,NA,AZ,2,NA,1
K6LRN,958,1D,202,2,NA,SV,1,NA,1
K6MA,2302,1A,494,2,NA,LAX,50,Los Angeles ARES NW District,1
K6MAN,604,3F,221,2,NA,SJV,15,NA,3
K6MEP,1836,8A,300,2,NA,SB,10,Ventura Co. ARC,8
K6MI,10630,2AB,1043,5,NA,SCV,8,Chew's Ridge Gang,2
K6MMM,4988,3A,1190,2,N6OTA,SCV,82,San Lorenzo Valley ARC,3
K6MUG,68,1D,9,2,NA,LAX,1,NA,1
K6NBR,1578,2A,319,2,NA,ORG,25,Newport Beach Repeater Club,2
K6NV,7554,2A,1924,2,NA,SV,8,NCCC Sierra Chapter,2
K6NW,3768,1A,1388,2,NA,SJV,7,RAA/BVSARC,1
K6OAU,1592,4A,521,2,NA,SJV,8,Outfoor Adventure USA,4
K6ORI,850,3A,120,2,NA,EB,10,Lamorinda Radio Interest Group,3
K6OX,2210,6A,513,2,K6A,LAX,12,Antelope Valley ARC,6
K6PAC,1272,5A,268,2,NA,SV,32,Western Placer ARC,5
K6PDQ,734,1B1,192,2,NA,SB,1,NA,1
K6PLU,658,2E,155,2,NA,SV,6,NA,2
K6PV,4248,2A,1157,2,AI6DF,LAX,36,Palos Verdes ARC,2
