call,gota_call,score,category,section,pwr_mult,club_name,participants,xmtrs,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qs_os,bonus_points
AA9RB,NA,204,1D,WI,2,Wisconsin Valley Radio Assn,1,1,C,0,0,27,27,150
AA9RK,NA,620,1D,WI,2,West Allis RAC,3,1,C,43,54,21,118,190
AA9SJ,NA,110,1D,WI,2,Sheboygan County ARC,1,1,C,0,0,30,30,50
AA9UF,NA,1170,2E,IL,2,NA,2,2,G,0,180,0,180,450
AA9WJ,NA,1598,1D,IN,2,Tri State ARS,1,1,C,312,0,0,312,350
AA9XD,NA,166,1C,TN,2,NA,1,1,B,0,4,0,4,150
AA9ZI,NA,310,1D,GA,2,NA,1,1,C,0,65,0,65,50
AA0AC,NA,152,1D,MN,2,Spirit Valley Amateurs,1,1,C,0,18,15,33,50
AA0B,NA,186,1D,MO,2,Central Missouri Radio Assn,2,1,C,34,0,0,34,50
AA0BQ,NA,970,1E,MN,5,Mining ARC / St. Paul RC,1,1,B,72,0,0,72,250
AA0BV,NA,420,1D,SF,2,REDXA/MARS,1,1,C,8,76,17,101,50
AA0CL,NA,1750,1B1B,MO,5,Boeing Employees ARS - St. Louis,1,1,B,150,0,0,150,250
AA0CN,NA,484,1E,MN,2,Rochester (MN) ARC,1,1,B,0,39,39,78,250
AA0CW,NA,572,1B1,CO,2,Montrose ARC,1,1,B,73,0,65,138,150
AA0FO,NA,1034,1D,KS,2,Kansas City Contest Club,1,1,C,171,0,0,171,350
AA0O,NA,440,1B1,NFL,2,Clearwater ARS / St Petersburg ARC / Upper Pinellas ARC,1,1,B,35,0,25,60,250
AA0RW,NA,756,1A,MN,2,Hiawatha Valley ARC,12,1,G,21,0,161,182,350
AA0T,NA,740,1B1B,SC,5,NA,1,1,B,42,0,24,66,200
AA0U,NA,294,1D,MN,2,SARA MN,1,1,C,23,0,76,99,50
AA0VE,NA,465,1E,MO,5,St. Louis QRP Soc,1,1,B,21,0,1,22,250
AA0Z,NA,614,2E,MO,2,St Louis & Suburban RC,2,2,G,15,52,48,115,250
AA0ZB,NA,180,1E,KS,5,NA,1,1,B,1,0,4,5,150
AA0ZP,NA,194,1D,NE,2,Bellevue ARC,1,1,C,36,0,0,36,50
AB1BM,NA,168,1D,NH,2,Granite State ARA,1,1,C,2,0,55,57,50
AB1CR,NA,494,1E,CT,2,NA,1,1,B,0,20,82,102,250
AB1CW,NA,1014,1D,WMA,2,Mohawk ARC,1,1,C,241,0,0,241,50
AB1EP,NA,1548,1E,ME,2,Ellsworth ARA,1,1,G,0,16,667,683,150
AB1HD,NA,266,1D,SFL,2,Police Amateur Radio Team of Westford,1,1,C,0,54,0,54,50
AB1HI,NA,68,1E,CT,2,Stamford ARA,1,1,B,0,0,9,9,50
AB1J,NA,1324,1D,EMA,2,Waltham ARA,1,1,C,95,222,3,320,50
AB1LG,NA,416,2B2,CO,2,NA,2,2,B,0,0,33,33,350
AB1OP,NA,168,1E,ME,2,NA,1,1,B,0,0,9,9,150
AB1QB,NA,3930,3E,NH,2,Nashua Area Radio Soc,4,3,G,0,183,904,1087,1390
AB1WG,NA,594,1D,VT,2,NA,1,1,C,0,136,0,136,50
AB1XB,NA,300,1E,WMA,5,Nashoba Valley ARC,1,1,B,15,0,0,15,150
AB1XK,NA,508,1D,EMA,2,Cape Ann ARA,1,1,C,13,20,13,46,350
AB1XQ,NA,214,1D,VT,2,Twin State RC,1,1,C,0,0,82,82,50
AB1ZJ,NA,108,1D,WMA,2,Hampden County Radio Assn,1,1,C,0,0,29,29,50
AB2AN,NA,490,1E,VA,5,Williamsburg Area ARC,1,1,B,24,0,0,24,250
AB2E,NA,1790,1D,SNJ,1,Gloucester County ARC,1,1,C,870,0,0,870,50
AB2GD,NA,360,1B1,ENY,2,Binghamton ARA,1,1,B,0,0,5,5,350
AB2KP,NA,62,1D,SNJ,2,Southern Counties ARA,1,1,C,0,0,6,6,50
AB2MP,NA,410,1B1B,WNY,5,Salt City DX Assn,1,1,B,16,0,0,16,250
AB2TB,NA,1258,1D,NNJ,2,NA,1,1,C,302,0,0,302,50
AB2WS,NA,102,1D,GA,2,NA,2,1,C,0,0,26,26,50
AB3AC,NA,334,1E,MDC,2,Maryland Mobileers ARC,1,1,G,0,46,0,46,150
AB3AI,NA,686,1D,IN,2,NA,1,1,C,92,63,8,163,50
AB3BL,NA,374,1E,EPA,2,Columbia-Montour ARC (PA),1,1,B,0,0,62,62,250
AB3DC,NA,1206,1D,MI,2,Arrow Communications Assn,1,1,C,0,191,21,212,400
AB3GS,NA,134,1D,MDC,2,Anne Arundel RC,1,1,C,0,0,42,42,50
AB3GY,NA,634,1E,WPA,2,Skyview Radio Soc,1,1,B,0,121,0,121,150
AB3OS,NA,164,1D,EPA,2,Delaware Lehigh ARC,1,1,C,0,0,57,57,50
AB3VZ,NA,106,1D,MDC,2,Montgomery ARC/Damascus ECT,1,1,C,0,0,28,28,50
AB3WX,NA,58,1D,EPA,2,Lebanon Valley Soc of Radio Amateurs,1,1,C,0,2,0,2,50
AB3XJ,NA,860,1D,MDC,2,Anne Arundel RC,1,1,C,0,85,85,170,350
AB3YH,NA,424,1D,WPA,2,Panther ARC,2,1,C,85,0,7,92,70
AB4BA,NA,1098,1D,CO,2,Parker Radio Assn,1,1,C,0,234,56,290,50
AB4BJ,NA,1254,1D,GA,1,Dalton ARC,2,1,C,0,0,1204,1204,50
AB4EJ,NA,2794,1E,AL,2,NA,1,1,G,0,0,1322,1322,150
AB4EL,NA,340,1E,NC,5,NA,1,1,B,0,19,0,19,150
AB4IQ,NA,1658,1D,KY,2,Paducah ARA,1,1,C,310,65,4,379,150
AB4KA,NA,314,1D,WCF,2,Lakeland ARC,1,1,C,0,0,82,82,150
AB4LL,NA,770,1D,SFL,2,Boca Raton ARA,1,1,C,150,30,0,180,50
AB4NH,NA,210,1D,TN,2,Delta ARC,1,1,C,0,0,80,80,50
AB4QL,NA,1630,1E,AL,5,DeKalb County ARC,1,1,B,138,0,0,138,250
AB4UG,NA,194,1D,SC,2,Charleston ARS,1,1,C,0,0,22,22,150
AB4V,NA,2140,1E,NC,2,Smith Chart ARS,2,1,G,469,0,7,476,250
AB5FU,NA,98,1D,MS,2,Mississippi Coast ARA,1,1,C,0,12,0,12,50
AB5J,N5ZPG,1712,3A,OK,2,Frank Phillips Memorial Repeater Assn,14,3,G,23,25,85,133,1350
AB5JM,NA,88,1D,LA,2,Central Louisiana ARC,1,1,C,0,0,19,19,50
AB5KM,NA,140,1D,STX,2,Texas Emergency Amateur Communicators,1,1,C,0,0,45,45,50
AB5M,NA,318,1E,OK,2,Mid-Del ARC,1,1,G,17,0,0,17,250
AB5TF,NA,286,1D,OK,2,Edmond ARS,1,1,C,59,0,0,59,50
AB5TH,NA,608,2E,LA,2,Baton Rouge ARC,3,2,B,0,0,79,79,450
AB5UE,NA,2238,4A,STX,2,BARC,5,4,G,46,181,115,342,1100
AB5XS,NA,1666,1D,NTX,2,Hurst ARC,1,1,C,0,354,0,354,250
AB5XZ,NA,90,1D,STX,2,San Antonio RC,1,1,C,0,0,20,20,50
AB5ZJ,NA,610,1D,NTX,2,N Richland Hills ARC,1,1,C,0,140,0,140,50
AB6BW,NA,305,1D,SB,1,Simi Settlers ARC,1,1,C,0,119,17,136,50
AB6D,NA,1108,1B1,SCV,2,San Mateo RC,1,1,B,0,102,25,127,650
AB6MB,NA,338,1E,EB,2,PAPA System,2,1,B,0,72,0,72,50
AB6NS,NA,255,1E,ORG,5,South Orange Amateur Radio Assoc.,1,1,B,0,0,1,1,250
AB7BB,NA,3148,3D,AZ,2,Oro Valley ARC,2,3,C,144,397,467,1008,50
AB7JW,NA,812,1D,OR,2,Central Oregon Coast ARC,1,1,C,0,109,13,122,350
AB7MP,NA,770,1E,EWA,5,QRP ARC International,1,1,B,42,0,0,42,350
AB7RW,NA,738,1D,WWA,2,Clark County (WA) ARC,1,1,C,172,0,0,172,50
AB7YQ,NA,582,1D,AZ,2,Lambert Family,6,1,C,0,18,140,158,230
AB8DF,NA,1970,1E,MI,5,Michigan QRP Club,1,1,B,182,0,0,182,150
AB8FE,NA,1902,1D,OH,2,Union County (OH) ARC,1,1,C,408,55,0,463,50
AB8FJ,NA,194,1D,OH,2,NA,1,1,C,25,11,0,36,50
AB8KP,NA,100,1D,MI,1,NA,1,1,C,0,0,50,50,50
AB8O,NA,934,1D,OH,2,Milford ARC,1,1,C,0,221,0,221,50
AB8OJ,NA,455,1B1B,MI,5,Arrow Communications Assn,1,1,B,0,0,1,1,450
AB8OU,NA,1246,1D,OH,2,Silvercreek ARA,1,1,C,294,0,10,304,50
AB8RL,NA,1010,1D,WV,2,West Virginia Amateur Radio,1,1,C,240,0,0,240,50
AB8S,NA,464,1D,WV,2,Mid Ohio Valley ARC,1,1,C,57,0,93,150,50
AB8SI,NA,62,1D,OH,2,NA,1,1,C,0,0,6,6,50
AB8SV,NA,460,1E,OH,5,Coshocton County ARA,1,1,B,31,0,0,31,150
AB8VS,NA,298,1E,MI,2,Shiawassee ARA,1,1,G,0,0,74,74,150
AB8WW,NA,442,1D,WV,2,Tri-State ARA,1,1,C,0,98,0,98,50
AB8YZ,NA,748,1D,NTX,2,Ham Assn of Mesquite,1,1,C,0,114,21,135,250
AB9A,NA,262,1D,LAX,2,Palos Verdes ARC,1,1,C,53,0,0,53,50
AB9BZ,NA,454,1D,IL,2,Six Meter Club of Chicago,1,1,C,100,1,0,101,50
AB9CA,NA,3386,1E,IN,2,Hoosier Hills Ham Club,1,1,B,784,0,0,784,250
AB9EK,NA,170,1D,WI,2,NA,1,1,C,0,0,60,60,50
AB9LF,NA,404,1D,IN,2,ARTS of Louisville,1,1,C,0,0,177,177,50
AB9M,NA,1682,1D,IL,2,Central Illinois RC,1,1,C,0,383,0,383,150
AB9MZ,NA,246,1D,IL,2,Hamfesters RC,2,1,C,0,24,0,24,150
AB9NE,NA,1218,1B1C,WI,2,Riverland ARC,1,1,C,0,292,0,292,50
AB9PR,NA,3166,2E,IL,2,North Shore (IL) RC,2,2,G,469,0,420,889,450
AB9TS,NA,516,1E,WI,2,Riverland ARC,1,1,B,0,0,183,183,150
AB9XI,NA,98,1D,WI,2,Wisconsin ARC,1,1,C,0,0,24,24,50
AB9YC,NA,5112,1E,IL,2,Blazing Paddles FD Team,5,1,G,1073,0,0,1073,820
AB9YG,NA,526,1E,IL,2,NA,1,1,B,0,119,0,119,50
AB0DK,NA,108,1D,MO,2,NEMO ARC,1,1,C,3,0,23,26,50
AB0GD,NA,102,1D,MO,2,Platte County ARG,1,1,C,0,8,10,18,50
AB0MV,NA,458,1B1,CO,2,NA,1,1,B,0,0,54,54,350
AB0RX,NA,666,1B1,MO,2,Boeing Employees ARS - St. Louis,1,1,G,0,98,12,110,250
AB0TI,NA,66,1D,CO,2,Ski Country ARC,1,1,C,0,0,33,33,0
AB0TO,NA,758,1D,MO,2,St Louis ARC,1,1,C,25,15,164,204,270
AB0XE,NA,254,1D,MN,2,South East Metro ARC,1,1,C,51,0,0,51,50
AC1BB,NA,240,1E,IL,5,NA,1,1,B,9,0,0,9,150
AC1DQ,NA,326,1D,CT,2,Greater Bridgeport ARC,1,1,C,0,69,0,69,50
AC1DV,NA,118,1D,RI,2,Newport County RC,1,1,C,0,0,34,34,50
AC1EO,NA,288,1E,EMA,2,Southeastern Massachusetts ARA,1,1,B,0,8,3,11,250
AC1EV,NA,914,1E,EMA,1,Nashua Area Radio Soc,1,1,G,0,0,474,474,440
AC1FX,NA,214,1D,NH,2,Nashua Area Radio Soc,1,1,C,0,0,82,82,50
AC1GM,NA,350,1B1,RI,2,Newport County RC,1,1,B,0,0,50,50,250
AC1GX,NA,170,1B1,ME,2,Oxford County ARES,1,1,B,0,0,10,10,150
AC1J,NA,600,1D,NH,2,Granite State ARA,1,1,C,77,0,146,223,0
AC2BI,NA,238,1D,EPA,2,State Line RC,3,1,C,0,0,74,74,90
AC2BQ,NA,148,1D,NLI,2,Great South Bay ARC,1,1,C,0,0,49,49,50
AC2C,NA,714,1D,MDC,2,Straight Key Century Club,1,1,C,166,0,0,166,50
AC2F,NA,458,1D,NNJ,2,Garden State ARA,1,1,C,0,102,0,102,50
AC2FA,NA,238,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,47,0,0,47,50
AC2GC,NA,440,2E,ENY,2,Putnam Emergency Amateur Repeater League,2,2,G,0,0,45,45,350
AC2IJ,NA,52,1D,NNJ,2,Splitrock ARA,1,1,C,0,0,1,1,50
AC2K,NA,858,1D,AZ,2,Radio Soc of Tucson,1,1,C,177,0,0,177,150
AC2KW,NA,182,1D,NFL,2,Lake ARA,1,1,C,0,33,0,33,50
AC2LB,NA,90,1D,SC,2,Grand Strand ARC,1,1,C,0,3,14,17,50
AC2N,NA,236,1E,NFL,2,Citrus County ARC,10,1,B,0,0,43,43,150
AC2OC,NA,138,1D,ENY,2,NA,1,1,C,0,22,0,22,50
AC2PD,NA,566,1D,SNJ,2,Garden State ARA,1,1,C,0,129,0,129,50
AC2PT,NA,344,1D,SNJ,2,Gloucester County ARC,1,1,C,0,50,47,97,50
AC2RJ,NA,98,1D,ENY,2,Straight Key Century Club,1,1,C,12,0,0,12,50
AC2RL,NA,760,1B1B,WNY,5,Rochester (NY) DX Assn,1,1,B,61,0,0,61,150
AC2SR,NA,316,1E,ENY,2,Putnam Emergency Amateur Repeater League,1,1,B,0,0,58,58,200
AC2WU,NA,344,1D,LA,2,West Central Louisiana ARC,1,1,C,0,73,1,74,50
AC2YD,NA,1250,1E,NNJ,5,David Sarnoff ARC,1,1,B,100,0,0,100,250
AC2ZZ,NA,94,1D,NNJ,2,Tri-County ARA (NJ),1,1,C,0,0,22,22,50
AC3DH,NA,1244,1D,DE,2,First State ARC,1,1,C,0,298,1,299,50
AC3SS,NA,242,1E,MDC,2,NA,1,1,G,0,23,0,23,150
AC3V,NA,906,1B1,EPA,2,Three Generations of Hams,1,1,B,163,0,2,165,250
AC4CA,NA,3594,1E,STX,2,Central Texas DX and Contest Club,1,1,G,861,0,0,861,150
AC4DP,NA,220,1D,GA,2,NA,1,1,C,31,0,23,54,50
AC4Q,NA,484,1E,SC,2,Greer ARC,1,1,B,0,0,117,117,250
AC4QS,NA,250,1D,NFL,2,Gainesville ARS,1,1,C,50,0,0,50,50
AC4RC,NA,2196,2A,NC,2,Azalea Coast ARC,10,2,G,12,53,493,558,950
AC4SH,NA,206,1D,GA,2,Athens (GA) RC,1,1,C,0,0,78,78,50
AC4SJ,NA,150,1D,VA,2,Potomac Valley RC,1,1,C,0,0,50,50,50
AC4YL,NA,438,1B1,GA,2,North Fulton ARL,1,1,B,0,0,44,44,350
AC5BX,NA,260,1B1B,NM,5,Socorro ARA,1,1,B,21,0,0,21,50
AC5CM,NA,74,1D,STX,2,NA,1,1,C,0,0,12,12,50
AC5DL,NA,348,1D,NTX,2,Metrocrest ARS,1,1,C,0,5,89,94,150
AC5LC,NA,1098,3A,STX,2,Lake Conroe ARC,14,3,G,0,105,64,169,550
AC5MR,NA,696,1D,TN,2,Delta ARC,1,1,C,0,125,23,148,150
AC5XK,NA,400,1B1B,EMA,5,NA,1,1,B,25,0,0,25,150
AC6LS,NA,360,1E,LAX,2,Pasadena RC,1,1,B,0,0,105,105,150
AC6MM,NA,112,1D,EB,2,South Bay ARA,1,1,C,0,0,31,31,50
AC6NN,NA,360,1B1B,VA,5,NA,1,1,B,21,0,0,21,150
AC6SL,NA,770,1E,SCV,2,Monkey Lover's Radio Consortium,1,1,G,130,0,0,130,250
AC6VV,NA,420,1E,LAX,2,Pasadena RC,1,1,S,0,0,135,135,150
AC6WI,NA,326,1D,VA,2,W3AO Team,1,1,C,0,69,0,69,50
AC6X,NA,946,1B1,LAX,2,Pasadena RC,1,1,B,0,0,348,348,250
AC6YY,NA,1420,1E,SCV,2,Santa Clara County ARA,1,1,B,314,0,7,321,150
AC6ZM,NA,1686,2D,TN,2,Tellico Lake ARC,1,2,C,409,0,0,409,50
AC7A,NA,1810,1B1B,AZ,5,QRP ARC International,1,1,B,166,0,0,166,150
AC7CA,NA,258,1E,AZ,2,NA,1,1,B,0,24,6,30,150
AC7CJ,NA,250,1D,EWA,2,NA,1,1,C,0,0,50,50,150
AC7LC,NA,324,1D,WWA,2,Sky Valley ARC,2,1,C,0,55,27,82,50
AC7MX,NA,352,1D,WWA,2,West Seattle ARC,1,1,C,0,0,51,51,250
AC7QN,NA,245,1B1B,WWA,5,Radio Club of Tacoma,1,1,B,0,0,19,19,150
AC7S,NA,658,1D,OR,2,Rogue Valley ARC,1,1,C,0,0,304,304,50
AC7SR,NA,330,1E,WWA,5,NA,1,1,B,0,9,18,27,150
AC8AP,NA,492,1D,OH,1,NA,1,1,C,221,0,0,221,50
AC8AZ,NA,134,1D,MI,2,Barry Amateur Radio Assn,1,1,C,12,0,18,30,50
AC8FJ,NA,136,1D,MI,2,Garden City ARC,1,1,C,0,0,43,43,50
AC8G,NA,496,1D,OH,1,Mound ARA,1,1,C,0,0,446,446,50
AC8JF,NA,568,1D,MI,2,Hazel Park ARC,1,1,C,5,57,135,197,50
AC8JW,NA,550,1B1B,MI,5,Kalamazoo ARC,1,1,B,20,0,0,20,350
AC8NO,NA,78,1D,MI,2,South Lyon Area ARC,1,1,C,0,0,14,14,50
AC8NP,NA,798,1D,OH,2,Seneca RC,1,1,C,0,124,26,150,250
AC8NW,NA,502,1D,OH,2,Cuyahoga ARS,1,1,C,0,113,0,113,50
AC8RH,NA,514,1B1,OH,2,Canton ARC,1,1,B,0,0,82,82,350
AC8TN,NA,390,1D,OH,2,Cuyahoga ARS,1,1,C,48,0,74,122,50
AC8TO,NA,1354,1E,MI,2,Arrow Communications Assn,1,1,G,0,226,0,226,450
AC8UJ,NA,504,1E,OH,2,Oh-Ky-In ARS,1,1,B,0,45,37,82,250
AC8WC,NA,128,1D,MI,2,NA,1,1,C,0,0,39,39,50
AC8WW,NA,252,1E,OH,2,NA,1,1,B,0,0,51,51,150
AC8XO,NA,842,1D,OH,2,Cuyahoga Falls ARC,1,1,C,0,173,0,173,150
AC8ZT,NA,152,1E,MI,2,North Ottawa ARC,1,1,B,0,0,1,1,150
AC8ZU,NA,966,1D,OH,2,Bellbrook ARC,1,1,C,0,229,0,229,50
AC9BJ,NA,1456,1E,WI,2,Four Lakes ARC,1,1,B,240,0,73,313,350
AC9EV,NA,210,1D,WI,2,MVARA,1,1,C,0,0,30,30,150
AC9EZ,NA,1380,1D,IN,2,Fort Wayne RC,1,1,C,287,0,91,378,50
AC9JV,NA,250,1D,WI,2,Wisconsin ARC,1,1,C,0,0,100,100,50
AC9NQ,NA,1850,1D,IL,2,Dupage ARC,1,1,C,0,450,0,450,50
AC9NS,NA,70,1D,IL,2,Chicago FM Club,1,1,C,5,0,0,5,50
AC9OV,NA,114,1D,IL,2,NA,1,1,C,0,16,0,16,50
AC9QN,NA,374,1E,IL,2,Starved Rock RC,1,1,B,0,0,112,112,150
AC9QR,NA,2090,1E,WI,5,Wisconsin ARC,1,1,S,0,174,0,174,350
AC9QS,NA,1252,1D,IL,2,York RC,1,1,C,0,191,159,350,170
AC9S,NA,3118,1D,IL,2,Central Illinois RC,1,1,C,708,39,40,787,50
