call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n
AA4SD,NA,550,1E,SC,5,Swamp Fox Contest Grp.,1,1,B,40,0,0,40,150,NA
AA4U,NA,2180,1E,AL,5,Alabama Contest Grp.,1,1,B,0,203,0,203,150,NA
AA5AH,NA,466,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,95,18,113,50,NA
AA5GV,NA,176,2D,NTX,2,Copperas Cove Repeater Assn.,2,2,C,0,0,63,63,50,NA
AA5OY,NA,94,1D,LA,2,NA,1,1,C,11,0,0,11,50,NA
AA5UN,NA,746,1D,NTX,2,NA,1,1,C,1,156,34,191,50,NA
AA5VE,NA,1930,1B1B,NTX,5,NA,1,1,B,178,0,0,178,150,NA
AA5W,NA,450,1B1,STX,2,Bryan ARC,1,1,B,100,0,0,100,50,NA
AA6CV,N6PK,7838,23A,SB,2,Conejo Valley ARC,40,23,G,336,365,717,1418,3600,NA
AA6FD,NA,5550,1AB,CO,5,Mountaintop Operators,3,1,B,381,119,0,500,550,NA
AA6H,NA,156,1C,GA,2,NA,1,1,O,0,0,3,3,150,NA
AA7A,NA,1386,1D,AZ,2,NA,1,1,C,304,30,0,334,50,Y
AA7RM,NA,404,1B1,WWA,2,NA,1,1,B,0,0,77,77,250,NA
AA8DN,NA,362,1D,OH,2,NA,1,1,C,0,78,0,78,50,NA
AA8IA,NA,250,1D,OH,2,Steubenville-Weirton ARC,1,1,C,42,0,16,58,50,NA
AA9L,NA,830,1D,WI,2,South Milwaukee Rockets,3,1,C,130,0,130,260,50,NA
AA9RK,NA,510,1E,WI,2,West Allis RAC,1,1,B,65,0,0,65,250,NA
AB0CD,NA,665,1E,CO,5,Colorado QRP Club,1,1,B,46,0,1,47,200,NA
AB1N,NA,286,1E,EMA,2,NA,1,1,B,15,0,38,53,150,NA
AB1XK,NA,376,1D,EMA,2,Cape Ann ARA,1,1,C,20,23,27,70,150,NA
AB2WZ,NA,192,1D,AL,2,NA,1,1,C,0,0,71,71,50,NA
AB4BA,NA,988,1E,CO,2,Parker Radio Assn.,1,1,B,0,207,5,212,150,NA
AB4EJ,NA,0,1E,AL,1,NA,1,1,G,0,0,202,202,0,Y
AB4WS,NA,72,1D,KY,2,Northern KY ARC,1,1,C,1,4,1,6,50,NA
AB4WV,NA,1126,2D,AL,2,ARC of Westminster Village,19,2,C,83,71,5,159,500,NA
AB5AA,NA,130,1D,STX,2,NA,1,1,C,20,0,0,20,50,NA
AB5KM,NA,0,1D,STX,0,NA,1,1,C,1,0,37,38,0,Y
AB5SE,NA,4070,1D,AR,2,NA,1,1,C,1005,0,0,1005,50,NA
AB5SJ,NA,0,1D,WTX,0,NA,1,1,C,0,0,312,312,0,Y
AB5UE,NA,2040,4A,STX,2,Boerne ARC,4,4,G,25,123,174,322,1100,NA
AB5WX,NA,242,1D,STX,2,NA,1,1,C,0,48,0,48,50,NA
AB6CQ,NA,1534,6A,LAX,2,LA CQ Club,12,6,B,29,2,30,61,1350,NA
AB6MV,NA,1464,3A,ORG,2,Moreno Valley ARA,15,3,B,28,255,41,324,250,NA
AB7HA,NA,292,1D,GA,2,NA,1,1,C,0,0,121,121,50,NA
AB7HP,NA,2786,5A,ID,2,HP Boise ARC,25,5,G,0,387,244,631,750,NA
AB7YL,NA,174,1B1,ID,2,NA,1,1,B,0,0,12,12,150,NA
AB8DE,NA,254,1E,OH,2,NA,1,1,B,3,12,22,37,150,NA
AB8DF,NA,1460,1B1B,MI,5,Michigan QRP Club,1,1,B,131,0,0,131,150,NA
AB8E,NA,882,3A,WV,2,NA,9,3,G,0,121,24,145,350,NA
AB8PS,NA,92,1D,MI,2,NA,1,1,C,0,0,21,21,50,NA
AB8YZ,NA,162,1D,NTX,2,NA,1,1,C,4,0,48,52,50,NA
AB9BZ,NA,520,1B1B,IL,5,American Legion Post 33 ARC,1,1,B,27,0,0,27,250,NA
AB9CA,NA,562,1E,IN,2,Orange Co. (IN) ARC,1,1,B,103,0,0,103,150,NA
AB9JT,NA,530,1E,IN,2,NA,1,1,G,0,120,0,120,50,NA
AB9M,NA,1050,1D,IL,2,NA,1,1,C,0,200,0,200,250,NA
AB9PN,NA,1283,1AC,WI,1,NA,3,1,C,526,0,181,707,50,NA
AB9UZ,NA,1688,3D,WI,2,NA,3,3,C,1,357,53,411,150,NA
AB9YC,NA,7166,1A,IL,2,Blazing Paddles FD Team,9,1,G,1381,58,10,1449,1390,NA
AC0WL,NA,392,1D,MO,2,NA,1,1,C,0,0,171,171,50,NA
AC1BB,NA,420,1E,IL,5,NA,1,1,B,17,0,0,17,250,NA
AC1KY,NA,420,1E,EMA,5,Framingham ARA,1,1,B,27,0,0,27,150,NA
AC1SE,NA,80,1D,WMA,2,Quaboag Valley ARC,1,1,C,0,0,15,15,50,NA
AC2N,NA,254,1E,NFL,2,NA,1,1,B,0,0,52,52,150,NA
AC2PT,NA,530,1E,SNJ,2,Gloucester Co. ARC,1,1,B,0,45,50,95,250,NA
AC2XC,NA,1218,1E,WNY,2,NA,1,1,O,0,235,64,299,150,NA
AC2ZZ,NA,156,1D,NNJ,2,NA,1,1,C,0,1,1,2,150,NA
AC3HO,NA,600,1F,WPA,5,McKean Co. ARC,1,1,B,0,15,0,15,450,NA
AC3HT,NA,418,1D,EPA,2,NA,1,1,C,0,0,184,184,50,NA
AC3LW,NA,438,1B1,SNJ,2,NA,1,1,B,0,6,32,38,350,NA
AC3MB,NA,196,1E,EPA,2,NA,1,1,B,0,0,73,73,50,NA
AC3MR,NA,170,1D,DE,2,NA,1,1,C,0,30,0,30,50,NA
AC3V,NA,300,1B1,WPA,2,POTA Prep,1,1,B,35,0,5,40,150,NA
AC4PQ,NA,402,1E,GA,2,NA,1,1,G,0,88,0,88,50,NA
AC4RC,NA,3522,3AC,NC,2,Azalea Coast ARC,14,3,C,199,0,988,1187,750,NA
AC4SW,NA,175,1B1B,VA,5,Rappahannock Valley ARC,1,1,B,0,0,5,5,150,NA
AC5LC,WA9JG,2610,2A,STX,2,Lake Conroe ARC,23,2,G,0,307,1,308,1380,NA
AC5MG,NA,274,1D,NTX,2,NA,1,1,C,0,56,0,56,50,NA
AC5XK,NA,342,1D,EMA,2,Barnstable ARC,1,1,C,66,1,12,79,50,Y
AC6EE,NA,1099,2A,SJV,2,Tehachapi ARA,18,2,G,0,88,81,169,585,NA
AC6MM,NA,310,1E,EB,2,South Bay ARA,1,1,B,0,0,30,30,250,NA
AC6NT,NA,1180,1E,TN,5,NA,1,1,B,113,0,0,113,50,NA
AC7A,NA,2510,1B1B,AZ,5,NA,1,1,B,236,0,0,236,150,NA
AC7CJ,NA,272,1D,EWA,2,NA,1,1,C,0,0,61,61,150,NA
AC7R,NA,398,2A,AZ,2,Mesa East Stake Training Net,5,2,B,0,0,24,24,350,NA
AC7SC,NA,678,2A,UT,2,Sevier ARC,8,2,B,0,0,44,44,590,NA
AC7TY,NA,116,1D,AZ,2,NA,1,1,C,15,0,3,18,50,NA
AC7YT,NA,1546,2A,UT,1,Traveling AR Team,4,2,G,0,0,1096,1096,450,NA
AC8AZ,NA,212,1E,MI,2,NA,1,1,B,10,0,11,21,150,NA
AC8NP,NA,586,1D,OH,2,Seneca RC,1,1,C,0,59,0,59,350,NA
AC8QX,NA,872,1B2,MI,2,NA,2,1,S,0,0,311,311,250,NA
AC8RC,W8RMN,1822,5A,MI,2,Allegan Co. ARC,24,5,G,0,28,180,208,1350,NA
AC9BJ,NA,1108,1B1,WI,2,Four Lakes ARC,1,1,B,98,0,183,281,350,NA
AC9JV,NA,320,1D,WI,2,Ozaukee RC,1,1,C,0,0,85,85,150,NA
AC9OT,NA,670,1B1B,SFL,5,NA,1,1,B,32,0,0,32,350,NA
AC9QN,NA,282,1B1,WI,2,NA,1,1,B,0,0,66,66,150,Y
AD0DA,NA,266,1D,UT,2,NA,1,1,C,0,53,2,55,50,NA
AD0G,NA,218,1E,ORG,2,NA,1,1,B,0,16,2,18,150,NA
AD0H,NA,362,1E,IA,2,NA,1,1,B,53,0,0,53,150,NA
AD0RR,NA,0,1D,MO,1,NA,1,1,C,0,0,78,78,0,Y
AD0YM,NA,150,1D,IA,2,Mid-MO ARC,1,1,C,25,0,0,25,50,NA
AD1L,NA,430,1E,WMA,2,NA,1,1,G,62,0,16,78,150,NA
AD1T,NA,1382,5A,NH,2,Cheshire Co. DX ARC,26,5,G,0,0,166,166,1050,NA
AD2L,NA,358,1B1C,EPA,2,NA,1,1,C,0,77,0,77,50,NA
AD3Y,NA,280,1D,SNJ,2,South Jersey Radio Assn.,1,1,C,9,47,3,59,50,NA
AD4GG,NA,352,1E,TN,2,NA,1,1,B,0,0,101,101,150,NA
AD4IE,NA,410,1E,NC,2,NA,1,1,B,80,0,20,100,50,NA
AD4IV,NA,94,1D,MS,2,NA,1,1,C,2,0,18,20,50,NA
AD5CL,NA,818,3A,OK,2,Pontotoc Co. ARA,6,3,B,0,4,26,30,750,NA
AD5DJ,NA,170,1D,NTX,2,NA,1,1,C,0,0,60,60,50,NA
AD5EN,NA,614,1B1,SC,2,Sun City Hilton Head ARC,1,1,B,0,116,0,116,150,NA
AD5EO,NA,400,1A,AR,2,Saline Co. ARES,4,1,B,10,0,5,15,350,NA
AD5Q,NA,7518,1D,NTX,2,Brazos Valley ARC,1,1,C,1867,0,0,1867,50,NA
AD5QU,NA,200,1B1B,NTX,5,NA,1,1,B,0,0,20,20,100,NA
AD5XD,NA,1002,1D,NTX,2,Collins ARC,1,1,C,0,180,116,296,50,NA
AD6AD,NA,66,1D,SV,2,NA,1,1,C,0,0,8,8,50,NA
AD6IZ,NA,466,2E,LAX,2,Crescenta Valley Radio Club,10,2,B,0,0,108,108,250,NA
AD6TW,NA,295,1E,SB,5,Conejo Valley ARC,1,1,B,4,0,1,5,250,NA
AD7DD,NA,1451,1B1,ID,1,NA,1,1,G,0,500,1,501,450,NA
AD7KG,NA,956,1B1,UT,2,NA,1,1,G,153,19,9,181,250,NA
AD7LL,NA,682,1D,NM,2,NA,1,1,C,0,157,2,159,50,NA
AD7N,NA,3778,2A,ID,2,Steiner-Johnson Family Geekenders,5,2,G,612,161,158,931,370,NA
AD7NP,NA,226,1D,WWA,2,NA,1,1,C,0,44,0,44,50,NA
AD7OY,NA,290,1A,NV,2,Great Basin ARC,3,1,G,0,0,20,20,250,NA
AD8MD,NA,104,1D,OH,2,NA,1,1,C,0,0,27,27,50,NA
AD8MP,NA,536,1E,MI,2,NA,1,1,B,0,0,68,68,400,NA
AD8OD,NA,1490,1E,MI,5,Who Cares ARG,1,1,B,0,104,0,104,450,NA
AD8Q,NA,280,1E,ID,5,NA,1,1,B,0,0,6,6,250,NA
AD9CA,NA,388,1C,IL,2,NA,1,1,B,64,0,41,105,50,NA
AD9FW,NA,282,1B1,IN,2,NA,1,1,B,0,0,16,16,250,NA
AD9L,W9GRS,1123,2A,IL,2,Iroquois Co. ARC,11,2,B,0,0,39,39,1045,NA
AE0BO,NA,190,1B1,MN,2,NA,1,1,B,0,10,0,10,150,NA
AE0DC,NA,856,1E,MO,2,NA,1,1,B,0,0,403,403,50,NA
AE0UZ,NA,60,3A,MN,2,NA,3,3,B,0,0,5,5,50,NA
AE0VC,NA,354,1B1,CO,2,NA,1,1,B,0,51,0,51,150,NA
AE0YE,NA,414,3A,MN,2,NA,3,3,B,0,6,20,26,350,NA
AE1D,NA,370,1D,NH,2,NA,1,1,C,67,0,26,93,50,NA
AE1MV,NA,1282,1D,NNY,2,NA,1,1,C,148,35,200,383,150,NA
AE1P,NA,950,1B1,AZ,2,Cheshire Co. DX ARC,1,1,B,35,49,232,316,150,NA
AE1T,NA,350,1D,NH,2,NA,1,1,C,75,0,0,75,50,NA
AE2T,NA,1390,1E,WNY,5,NA,1,1,B,114,0,0,114,250,NA
AE4AL,NA,174,1D,AL,2,Univ. of Alabama ARC,7,1,C,0,24,14,38,50,NA
AE4GS,NA,950,1D,TN,2,Cleveland ARC,1,1,C,200,0,0,200,150,NA
AE4GW,NA,120,1D,TN,2,NA,1,1,C,0,0,35,35,50,NA
AE4S,NA,106,1D,NFL,2,Tallahassee ARS,1,1,C,0,14,0,14,50,NA
AE4WX,NA,1288,1E,NC,2,NA,3,1,B,0,172,0,172,600,NA
AE5FM,NA,1682,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,408,0,408,50,NA
AE5JE,NA,336,1D,STX,2,NA,1,1,C,40,0,63,103,50,NA
AE5MM,NA,730,1E,OK,2,NA,1,1,G,120,0,0,120,250,NA
AE5T,NA,202,1D,LA,2,NA,1,1,C,0,0,76,76,50,NA
AE5TG,NA,466,1D,STX,2,Brazos Valley ARC,1,1,C,0,104,0,104,50,NA
AE6DB,NA,464,1B1,ORG,2,NA,1,1,B,0,0,57,57,350,NA
AE6JG,NA,140,1D,SV,2,NA,1,1,C,21,0,3,24,50,NA
AE6NN (+W6BCE),NA,500,1B2C,LAX,2,The Beekers,2,1,C,67,8,0,75,200,NA
AE9DR,NA,168,1B1C,OH,2,NA,1,1,C,0,0,59,59,50,NA
AE9Q,NA,150,1D,AZ,2,Tortolita Radio Club,1,1,C,0,25,0,25,50,NA
AF0BB,NA,254,1B1C,MO,2,NA,1,1,C,0,0,102,102,50,NA
AF0E,NA,2286,1B1,CO,2,NA,1,1,G,534,0,0,534,150,NA
AF0F,NA,808,1B1,KS,2,NA,1,1,B,0,120,39,159,250,Y
AF0S,WA0VTU,3255,2A,CO,2,Pikes Peak Radio Amateur Assn.,21,2,G,140,225,195,560,1405,NA
AF0XS,NA,52,1D,CO,2,Longmont ARC,1,1,C,0,0,1,1,50,NA
AF2A,AD2DD,3444,4A,WNY,2,Tompkins Co. ARA,23,4,G,205,27,433,665,1650,NA
AF4CM,NA,3590,1B1B,NC,5,NA,1,1,B,179,130,0,309,500,NA
AF4K,NA,1864,1E,NC,2,NA,1,1,B,0,291,0,291,700,NA
AF4T,NA,662,1D,TN,2,Tennessee Contest Grp.,1,1,C,153,0,0,153,50,NA
AF5CC,NA,150,1D,OK,2,NA,1,1,C,0,25,0,25,50,NA
AF5J,NA,594,1D,STX,2,Brazos Valley ARC,1,1,C,136,0,0,136,50,NA
AF5SW,NA,170,1D,OK,2,NA,1,1,C,0,0,60,60,50,NA
AF6IE (+W6VG),NA,1056,1B2,SCV,2,SC4 ARC,2,1,S,0,64,0,64,800,NA
AF6ZF,AJ6DU,1289,2A,SCV,2,San Jose ARES/RACES,10,2,G,0,81,70,151,825,NA
AF7Z,NA,964,1E,UT,2,NA,1,1,B,83,55,131,269,150,NA
AF8C,NA,58,1D,OH,2,NA,1,1,C,0,2,0,2,50,NA
AF8P,NA,626,2A,MI,2,Bald Mountain Wireless,4,2,B,38,0,12,50,450,NA
AF8WX,NA,98,1D,OH,2,NA,1,1,C,0,0,24,24,50,NA
AF9FA,NA,158,1E,WI,2,NA,1,1,B,2,0,0,2,150,NA
AF9J,NA,600,1E,WI,5,NA,1,1,B,55,0,0,55,50,NA
AG1T,NA,1154,1B1,UT,2,NA,1,1,B,0,226,0,226,250,NA
AG4H,NA,218,1E,AL,2,Tuscaloosa ARC,1,1,G,0,6,22,28,150,NA
AG4HG,NA,552,1D,TN,2,NA,1,1,C,0,0,251,251,50,NA
AG5PC,NA,526,1D,NTX,2,NA,1,1,C,0,118,2,120,50,NA
AG6AR,NA,1016,3A,SV,2,Glenn ARS,6,3,G,0,0,83,83,850,NA
AG6AU,W6QA,6253,5A,SV,2,El Dorado Co. ARC,21,5,G,468,176,921,1565,1835,NA
AG6FK,NA,330,1E,SCV,5,NA,1,1,B,0,1,0,1,320,NA
AG6JA,NA,382,1D,EB,2,NA,1,1,C,16,47,40,103,50,NA
AG6UL,NA,512,1E,SDG,2,NA,1,1,B,0,0,6,6,500,NA
AG7AB,NA,186,1D,AZ,2,Kachina ARC,1,1,C,16,18,0,34,50,NA
AG7E,NA,386,1D,NV,2,NA,1,1,C,0,83,2,85,50,Y
AG7LR,NA,486,1B1,EWA,2,NA,1,1,B,0,84,0,84,150,NA
AG7NR/M,NA,998,1C,WWA,2,Mike & Key ARC,1,1,B,212,0,0,212,150,NA
AG7RF,NA,182,1D,ID,2,NA,1,1,C,0,0,66,66,50,NA
AG7T,NA,1308,1B1,WWA,2,Mike & Key ARC,1,1,G,0,202,0,202,500,NA
AG7TX,NA,844,1B1,NV,2,NA,1,1,B,122,0,3,125,350,NA
AG7YM,NA,90,1E,WWA,2,NA,1,1,B,0,0,20,20,50,NA
AG7ZJ,NA,306,1B1,MT,2,Hi-Line ARC,1,1,G,0,0,28,28,250,NA
AGA8M,NA,82,1D,OH,2,NA,1,1,C,0,0,16,16,50,NA
AH6X,NA,1100,1B1B,ID,5,NA,1,1,B,0,85,0,85,250,NA
AH7RF,NA,2522,2A,PAC,2,NA,3,2,G,543,0,0,543,350,Y
AI0E,NA,498,3A,KS,2,Neosho Co. ARC,11,3,G,0,0,14,14,470,NA
AI1G,NA,90,1D,WMA,2,Central MA ARA,1,1,C,0,0,20,20,50,NA
AI2N,NA,0,1D,WNY,1,Rochester (NY) DX Assn.,1,1,C,50,0,0,50,0,Y
AI3KS,NA,1570,1E,EPA,2,NA,1,1,B,92,163,0,255,550,NA
AI4BJ,NA,1322,1B1,KY,2,Northern KY ARC,1,1,B,193,0,100,293,350,NA
AI4EW,NA,192,1E,NC,2,NA,1,1,B,0,0,21,21,150,NA
AI4IC,NA,810,1D,TN,2,NA,1,1,C,169,0,42,211,50,NA
AI4TM,NA,1246,1D,TN,2,NA,1,1,C,0,299,0,299,50,NA
AI4WM,NA,585,1E,MI,5,NA,1,1,B,0,0,57,57,300,NA
AI4WW,NA,306,1D,SFL,2,NA,1,1,C,0,64,0,64,50,NA
AI5BE,NA,120,1D,MS,2,NA,1,1,C,15,0,5,20,50,NA
AI5DE,NA,2422,1B1,NM,2,Mesilla Valley RC,1,1,B,0,593,0,593,50,NA
AI5DQ,NA,366,1D,LA,2,Shreveport ARA,1,1,C,0,0,98,98,170,NA
AI5FK,NA,186,1E,AL,2,NA,1,1,B,0,0,18,18,150,NA
AI5NQ,NA,444,1B1,NTX,2,NA,1,1,B,0,0,47,47,350,NA
AI5QC,NA,264,1B1,NTX,2,NA,1,1,B,0,0,7,7,250,NA
AI5QK,NA,266,1D,NTX,2,Dallas ARC,1,1,C,22,7,0,29,150,NA
AI6DO,NA,700,2E,LAX,5,Southern CA Contest Club,1,2,B,44,0,2,46,250,NA
AI6O,NA,2076,1D,MO,2,Kansas City Contest Club,1,1,C,461,0,91,552,50,NA
AI6YR,NA,450,1B1B,SB,5,Conejo Valley ARC,1,1,B,3,0,14,17,350,NA
AI6ZV,NA,280,1B1B,ORG,5,NA,1,1,B,13,0,0,13,150,NA
AI7D,NA,150,1D,MT,2,NA,1,1,C,0,0,50,50,50,NA
AI7EQ,NA,102,1D,OR,2,NA,1,1,C,0,0,26,26,50,NA
AI7FF,NA,156,1D,MT,2,Yellowstone Radio Club/Musselshell ARC,1,1,C,23,0,7,30,50,NA
AI7LH,NA,442,1B1,OR,2,NA,1,1,B,0,73,0,73,150,NA
AI7OL,NA,342,1B1,OR,2,NA,1,1,G,33,0,5,38,200,NA
AI7QF,NA,146,1D,WWA,2,NA,1,1,C,0,0,48,48,50,NA
AI8Z,NA,3082,4A,CO,2,Mesa Verde RA Grp.,6,4,G,443,174,132,749,350,NA
AI9K,NA,260,1E,IL,5,NA,1,1,B,21,0,0,21,50,NA
AJ0GM,NA,1740,1B1B,SD,5,Black Hills ARC,1,1,B,0,149,0,149,250,NA
AJ4A,NA,12400,6A,KY,2,Central KY ARS,25,6,G,1271,701,1331,3303,1850,NA
AJ4BB,NA,378,1D,NV,2,NA,1,1,C,47,3,14,64,150,NA
AJ4EE,NA,90,1D,NFL,2,NA,1,1,C,0,0,20,20,50,NA
AJ4EY,NA,316,1E,VA,2,NA,1,1,G,0,0,33,33,250,NA
AJ4F,NA,334,1B1,TN,2,NA,1,1,B,0,71,0,71,50,NA
AJ4HW,NA,394,1D,TN,2,E. Tennessee DX Assoc.,1,1,C,0,86,0,86,50,NA
AJ4IR,NA,654,2AC,SFL,1,Indian River ARC,9,2,C,157,0,90,247,250,NA
AJ6NM,NA,468,1B1,SJV,2,NA,1,1,B,0,59,41,100,150,NA
AJ6RX,NA,685,2B1B,ORG,5,NA,1,2,B,0,15,17,32,450,NA
AJ6V,NA,1050,1D,SCV,2,NA,1,1,C,250,0,0,250,50,NA
AJ7KW,NA,250,1D,WWA,2,NA,1,1,C,0,50,0,50,50,NA
AK0BC,NA,252,1B1,CO,2,NA,1,1,B,25,0,1,26,150,NA
AK0M,NA,1160,1B1B,IA,5,NA,1,1,B,101,0,0,101,150,NA
AK1MD,NA,1366,1D,EMA,2,Yankee Clipper Contest Club,1,1,C,329,0,0,329,50,NA
AK1X (+W1ASP),NA,950,2B2,VT,2,NA,2,2,B,0,0,350,350,250,NA
AK2L,NA,478,1D,AZ,2,Oro Valley ARC,1,1,C,0,82,0,82,150,NA
AK2S,NA,3980,2E,SNJ,5,Burlington Co. RC,3,2,B,256,59,6,321,800,NA
AK2U,NA,162,1D,WV,2,NA,1,1,C,28,0,0,28,50,NA
AK3Y,NA,866,1E,MDC,2,NA,1,1,B,0,179,0,179,150,NA
AK4D,NA,1614,1D,NC,2,Forsyth ARC,1,1,C,0,366,0,366,150,NA
AK4NF (+AK4NG),NA,976,1B2,AL,2,NA,2,1,B,0,119,0,119,500,NA
AK6ID,NA,220,2D,LAX,2,NA,1,2,C,0,38,9,47,50,NA
AK6IY,NA,240,1B1B,LAX,5,NA,1,1,B,9,0,0,9,150,NA
AK6LW,NA,0,1E,SCV,1,NA,1,1,B,0,0,6,6,0,Y
AK6RI,NA,602,1E,SCV,2,NA,1,1,B,0,113,0,113,150,NA
AK7AT,NA,1258,1E,ID,2,NA,1,1,G,0,277,0,277,150,NA
AK8CZ,NA,800,1E,OH,2,NA,3,1,G,0,0,255,255,290,NA
AK9D,NA,2970,2D,KS,2,Dog Hollow Contest Grp.,2,2,C,0,705,0,705,150,NA
AL4US,WA4SRS,1500,6A,TN,2,American Legion Post 104 ARC,40,6,G,0,0,85,85,1330,NA
AL7ID,NA,62,1B1,AK,2,NA,1,1,S,0,0,6,6,50,NA
AL7JK,NA,220,1B1B,AK,5,NA,1,1,B,7,0,0,7,150,NA
AL7JX,NA,114,1D,AK,2,NA,1,1,C,9,2,10,21,50,NA
AL7LE,NA,1282,1A,AK,2,Moosehorn ARC,12,1,G,37,36,160,233,670,NA
AL9D,NA,364,2B1,AK,2,NA,1,2,B,0,0,7,7,350,NA
CE3FJK,NA,118,1D,DX,2,NA,1,1,C,17,0,0,17,50,NA
CE3PCG,NA,502,1D,DX,2,Chilean Pacific DX Grp.,1,1,C,0,88,0,88,150,NA
CO2QU,NA,1226,1E,DX,2,710 Contest Grp.,1,1,B,0,269,0,269,150,Y
DL2NBY,NA,314,1D,DX,2,NA,1,1,C,66,0,0,66,50,Y
DL8UKW,NA,178,1D,DX,2,NA,1,1,C,32,0,0,32,50,Y
F6KRK,NA,0,1D,DX,0,NA,2,1,C,69,0,0,69,0,Y
G4BJM,NA,0,1D,DX,0,NA,1,1,C,54,0,0,54,0,Y
G4GIR,NA,150,1D,DX,2,G4MBC Contest Grp.,1,1,C,25,0,0,25,50,Y
G6DXY,NA,238,1D,DX,2,NA,1,1,C,0,47,0,47,50,Y
HJ3KOS,NA,52,1D,DX,2,NA,1,1,C,0,0,1,1,50,NA
HP1IBF,NA,170,1D,DX,2,NA,1,1,C,30,0,0,30,50,NA
JA9LX,NA,266,1D,DX,2,NA,1,1,C,0,54,0,54,50,Y
JF1TEU,NA,186,1D,DX,2,NA,1,1,C,0,34,0,34,50,Y
JF2FIU,NA,0,1D,DX,0,NA,1,1,C,7,0,0,7,0,Y
JH7RTQ,NA,986,1D,DX,2,NA,1,1,C,0,234,0,234,50,Y
JI2IXA,NA,298,1D,DX,2,NA,1,1,C,0,62,0,62,50,Y
JO7KMB,NA,0,1D,DX,1,NA,1,1,C,3,60,0,63,0,Y
K0AD,NA,4316,1D,MN,2,NA,1,1,C,1004,0,75,1079,150,NA
K0AIZ,NA,152,1D,NE,2,NA,1,1,C,0,0,51,51,50,NA
K0AJW,K0MDF,4981,1A,ND,2,Souris Valley ARC,21,1,G,112,263,663,1038,2155,NA
K0AMC,NA,340,1A,MO,2,Ancient Modulators,10,1,B,0,3,39,42,250,NA
K0ANT,NA,2534,3A,KS,2,The Kansas Antenna Club in Johnson Co.,13,3,S,172,246,46,464,770,NA
K0APR,NA,474,1F,MN,2,NA,1,1,C,0,81,0,81,150,NA
K0AUG,NA,266,1B1,WI,2,Minnesota Wireless Assn.,1,1,B,0,22,14,36,150,NA
K0BF,NA,612,1E,CO,2,NA,1,1,G,14,59,85,158,150,Y
K0BH,NA,4146,1B1,CO,2,NA,1,1,B,974,0,0,974,250,NA
K0BIE,NA,1058,1E,OH,2,Splinter Grp. ARC,1,1,G,0,202,0,202,250,NA
K0CBV,NA,150,1B1B,MO,5,Central MO Radio Assn.,1,1,B,0,0,20,20,50,NA
K0DCI,NA,870,3A,IA,2,HARC/Dallas Co. ARES,5,3,B,22,0,16,38,750,NA
K0DJD,NA,156,1D,MN,2,Minnesota Wireless Assn.,1,1,C,0,25,3,28,50,NA
K0EKA,NA,310,1D,CO,2,NA,1,1,C,0,65,0,65,50,NA
