call,gota_call,final_score,qst_class_plus,section,power_multiplier,club_name,number_of_participants,number_of_transmitters,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qsos,bonus_points
AB3KC,NA,54,1D,VA,2,NA,2,1,C,0,0,2,2,50
AB4EL,NA,715,1EB,NC,5,NA,1,1,B,42,0,29,71,150
AB4RD,NA,636,1A,AL,2,DeKalb Co. ARC - Plainview,26,1,G,0,0,33,33,570
AB5J,NA,1165,3EB,OK,5,NA,3,3,B,9,7,7,23,970
AB5UE,NA,1560,4A,STX,2,NA,25,4,G,104,0,112,216,920
AB5XM,NA,82,1D,STX,2,NA,1,1,C,2,6,0,8,50
AB7BB,NA,4350,1EB,AZ,5,NA,2,1,B,0,390,0,390,450
AB7HP,NA,1055,3AC,ID,1,HP Boise ARC,12,3,C,0,46,393,439,570
AB7MP,NA,306,1D,EWA,2,NA,1,1,C,64,0,0,64,50
AB7WP,NA,78,1D,AZ,2,NA,1,1,C,0,0,14,14,50
AB8DF,NA,1260,1EB,MI,5,NA,1,1,B,111,0,0,111,150
AB8OU,NA,96,1D,OH,2,NA,1,1,C,0,0,23,23,50
AB8RC,NA,266,1D,OH,2,NA,1,1,C,0,0,108,108,50
AB8VV,NA,294,1D,MI,2,NA,1,1,C,36,0,0,36,150
AB9CA,NA,3880,1EB,IN,5,NA,1,1,B,363,0,0,363,250
AB9JS,NA,76,1D,AZ,2,NA,1,1,C,0,0,13,13,50
AB9MS,NA,190,1B1B,WI,5,NA,1,1,B,0,0,8,8,150
AB9YC,NA,7168,1A,IL,2,Blazing Paddles FD Team,5,1,G,1391,2,123,1516,1350
AC1J,NA,664,1E,NH,2,NA,1,1,B,96,0,115,211,50
AC1L,KB1MSU,4720,2A,WMA,2,Franklin Co. ARC,27,2,G,805,0,245,1050,1010
AC2BI,NA,290,1E,EPA,2,NA,1,1,G,60,0,0,60,50
AC2KP,NA,320,1D,WNY,2,NA,1,1,C,0,0,135,135,50
AC2OC,NA,154,1D,ENY,2,NA,1,1,C,0,26,0,26,50
AC2QH,NA,202,1E,ENY,2,NA,1,1,G,12,0,2,14,150
AC3BQ,NA,385,1B1B,SNJ,5,NA,1,1,B,0,0,27,27,250
AC3BS,NA,246,1D,NNJ,2,NA,1,1,C,0,16,66,82,50
AC4FS,NA,330,1D,NFL,2,NA,2,1,C,0,45,0,45,150
AC4YD,NA,718,1F,KY,2,Winchester & Clark Co. EOC,3,1,C,0,0,184,184,350
AC4ZU,NA,375,1B1B,AL,5,NA,1,1,B,0,0,45,45,150
AC5O,NA,330,1D,LA,2,NA,1,1,C,70,0,0,70,50
AC5TU,NA,328,1E,NTX,2,NA,1,1,G,1,0,112,113,100
AC7CJ,NA,164,1B1,EWA,2,NA,1,1,B,0,0,7,7,150
AC7R,NA,312,1A,AZ,2,Mercury Net,21,1,B,0,0,31,31,250
AC8HD,NA,234,2F,MI,2,Gratiot Co. ARA,4,2,C,0,0,42,42,150
AC8RC,W8RMN,2672,6A,MI,2,Allegan Co. ARC,25,6,G,0,114,353,467,1510
AC8UC,NA,482,1E,OH,2,NA,1,1,B,0,56,4,60,250
AC8WC,NA,246,1D,MI,2,NA,1,1,C,0,0,98,98,50
AC9PG,NA,246,1D,WI,2,NA,1,1,C,49,0,0,49,50
ACØSR,NA,360,1B1B,MO,5,NA,1,1,B,31,0,0,31,50
AD1T,NA,4750,5A,NH,2,CCDXARC,28,5,G,510,0,870,1380,970
AD2L,NA,330,1D,EPA,2,NA,1,1,C,0,70,0,70,50
AD3Y,NA,110,1E,SNJ,2,NA,1,1,G,13,2,0,15,50
AD4S,NA,430,1B1B,GA,5,NA,1,1,B,18,0,0,18,250
AD4TJ,NA,202,1D,VA,2,NA,1,1,C,38,0,0,38,50
AD5VM,NA,650,1B1C,OK,1,NA,1,1,C,0,0,500,500,150
AD6AF,NA,78,1E,LAX,2,NA,1,1,B,0,0,14,14,50
AD6DM,NA,258,1E,SJV,2,NA,1,1,B,0,0,4,4,250
AD6GE,NA,32,1D,ORG,2,NA,1,1,C,0,0,16,16,0
AD6IZ,NA,1120,2A,LAX,2,Crescenta Valley RC & Glendale Emerg Aux Radio Serv,18,2,G,3,0,179,182,750
AD6Q,NA,178,1C,SFL,2,NA,2,1,G,0,0,14,14,150
AD6QQ,NA,70,1B1B,SCV,5,NA,1,1,B,0,0,4,4,50
AD7BF,NA,190,1C,WWA,2,NA,1,1,G,6,0,8,14,150
AD7DD,NA,324,1B1,EWA,2,NA,1,1,B,0,43,1,44,150
AD8J,NA,905,1E,NC,1,NA,1,1,G,380,0,95,475,50
AD9OV,AD9RR,2566,3A,IL,2,Okaw Valley ARC,15,3,G,25,72,294,391,1590
ADØBI,NA,500,1B1B,MO,5,NA,1,1,B,31,0,8,39,150
ADØJA,NA,1658,1B1C,MO,2,NA,1,1,C,0,0,804,804,50
ADØRR,NA,198,1D,MO,2,NA,1,1,C,0,0,74,74,50
ADØRW,NA,826,1E,IA,2,NA,1,1,B,115,0,8,123,350
AE4NT,NA,72,1D,NFL,2,NA,1,1,C,0,0,11,11,50
AE5GT,NA,3334,1E,STX,2,NA,1,1,G,796,0,0,796,150
AE5MM,NA,454,1E,OK,2,NA,1,1,G,51,0,0,51,250
AE6DB,NA,432,1B1,ORG,2,NA,1,1,B,1,0,39,40,350
AE6LA,NA,290,1B1,SV,2,NA,1,1,G,0,0,20,20,250
AE6RF,NA,390,1B2B,SCV,5,NA,2,1,B,24,0,0,24,150
AE7VC,NA,1366,2A,ID,2,3 Rivers AmRad,6,2,B,0,0,208,208,950
AE8TF,NA,514,1B1C,MI,2,NA,1,1,C,69,0,44,113,150
AE9LL,NA,264,1D,IN,2,NA,1,1,C,7,0,93,100,50
AE9U,NA,1092,2A,IN,2,Elkhart ARC,13,2,G,0,0,121,121,850
AEØCM,NA,170,1D,WI,2,NA,3,1,C,0,0,60,60,50
AF2Q,NA,418,1D,EPA,2,NA,2,1,C,0,0,174,174,70
AF7FQ,NA,880,3A,ID,2,Elmore Co. ARES,6,3,B,0,0,165,165,550
AF7OS,NA,180,1B1B,AZ,5,NA,1,1,B,3,0,0,3,150
AF7VC,NA,34,1D,OR,2,NA,1,1,C,0,0,17,17,0
AF9J,NA,200,1EB,WI,5,NA,1,1,B,15,0,0,15,50
AFØS,NA,3050,3F,CO,2,Pikes Peak Radio Amateur Assn.,15,3,B,377,61,174,612,950
AFØZ,NA,1346,1E,MN,2,NA,1,1,G,287,0,24,311,150
AG4YL,NA,340,1E,GA,2,NA,2,1,B,0,0,45,45,250
AG5PP,NA,32,1D,STX,2,NA,1,1,C,8,0,0,8,0
AG6AU,NA,6178,8A,SV,2,El Dorado Co. ARC,26,8,G,819,9,698,1526,1470
AG6JA,NA,166,1E,EB,2,NA,1,1,B,10,0,38,48,50
AG6JN,NA,302,1E,ORG,2,NA,1,1,B,0,13,0,13,250
AG6NS,NA,510,1B2B,SCV,5,NA,2,1,B,0,0,52,52,250
AG6YO,NA,54,1D,SCV,2,NA,1,1,C,0,0,2,2,50
AG7AA,NA,570,1B1B,OR,5,NA,1,1,B,0,0,84,84,150
AG7GX,NA,1048,4A,UT,2,Cedar Hills Utah LDS Stake,13,4,B,0,23,3,26,950
AG7JQ/6,NA,61,1D,SCV,1,NA,1,1,C,0,0,11,11,50
AH6EZ,NA,250,1C,EWA,2,NA,1,1,B,21,0,8,29,150
AI3KS,NA,1292,1D,EPA,2,NA,1,1,C,235,0,1,236,350
AI4GR,NA,336,1E,NC,2,NA,1,1,B,69,0,5,74,50
AI4WM,NA,72,1D,MI,2,NA,1,1,C,0,0,11,11,50
AI5C,NA,378,2B2,SCV,2,NA,2,2,B,0,0,14,14,350
AI5M,NA,2034,1A,STX,2,Sam Houston ARK,20,1,G,390,0,12,402,450
AI6DO,NA,1115,2B1B,LAX,5,NA,1,2,B,44,4,17,65,550
AI6II,NA,90,1D,SF,2,NA,1,1,C,1,0,18,19,50
AI6IN,NA,18,1D,SV,2,NA,1,1,C,0,0,9,9,0
AI6LY,NA,225,1D,SCV,1,NA,1,1,C,0,0,175,175,50
AI6NT,NA,60,1D,SCV,2,NA,1,1,C,0,0,5,5,50
AI6O,NA,334,1D,SDG,1,NA,1,1,C,167,0,0,167,0
AI6VM,NA,360,1B1B,ORG,5,NA,1,1,B,0,11,0,11,250
AI6ZV,NA,56,1D,ORG,2,NA,1,1,C,0,0,3,3,50
AI7H,NA,1198,1D,ID,2,NA,1,1,C,262,0,0,262,150
AI8TA,NA,374,1D,OH,2,NA,1,1,C,0,81,0,81,50
AI9I,NA,360,1C,IL,2,NA,1,1,G,50,0,30,80,100
AI9K,NA,236,1D,IL,2,NA,1,1,C,59,0,0,59,0
AI9O,NA,962,1C,NTX,2,NA,3,1,G,0,29,338,367,170
AJ4A,NA,10500,6A,KY,2,Central KY ARS,22,6,G,1672,4,1138,2814,1520
AJ4EY,NA,358,1E,VA,2,NA,1,1,G,0,0,54,54,250
AJ4IR,NA,1290,3A,SFL,2,Indian River ARC,10,3,G,111,0,198,309,450
AJ4ZU,NA,42,1D,VA,2,NA,1,1,C,10,0,1,11,0
AJ5Q,NA,1788,5A,OK,2,Altus Area ARA,12,5,G,79,0,61,140,1350
AJ6AN,NA,390,1B2,SDG,2,NA,2,1,B,0,4,12,16,350
AK2U,NA,450,1D,WV,2,NA,1,1,C,100,0,0,100,50
AK3G,NA,386,1D,WPA,2,NA,1,1,C,0,0,168,168,50
AK4I,NA,392,1AC,TN,2,GREAT Club,3,1,C,0,1,169,170,50
AK7AT,NA,1322,2E,ID,2,NA,2,2,G,112,114,34,260,350
AK7MG/6,NA,346,1B1,SJV,2,NA,1,1,B,0,0,73,73,200
AK8T,NA,150,1E,OH,1,NA,1,1,G,0,0,50,50,100
AK9D,NA,744,1D,KS,2,NA,3,1,C,0,146,5,151,150
CE2LR,NA,657,1D,DX,1,NA,1,1,C,281,0,95,376,0
JA1YNE,NA,66,1D,DX,2,NA,1,1,C,4,0,0,4,50
JK2VOC,NA,66,1D,DX,2,NA,1,1,C,4,0,0,4,50
K1A,NA,2718,2A,ME,2,Androscoggin ARC,15,2,G,306,0,372,678,750
K1AA,NA,2598,8AC,NFL,2,Orlando ARC,30,8,C,292,0,340,632,750
K1AP,NA,156,1C,CT,2,NA,1,1,B,0,0,53,53,50
K1ARD,NA,414,1A,ME,2,Dow House Grp,6,1,B,0,0,102,102,210
K1AUS,NA,152,1D,MT,2,NA,1,1,C,0,0,51,51,50
K1B,K1DFQ,8510,4A,NH,2,Contoocook Valley RC,47,4,G,887,3,1770,2660,1410
K1CCN,NA,1510,2AC,NH,2,Koomer Ridge Contesters,7,2,C,257,0,216,473,50
K1DCT,NA,390,1B1B,CT,5,NA,1,1,B,19,0,0,19,200
K1DFT,NA,3890,1AB,ME,5,New England QRP Grp,4,1,B,359,0,0,359,300
K1DJ,NA,2846,1D,EMA,2,NA,1,1,C,699,0,0,699,50
K1DW,NA,750,1D,LA,2,NA,1,1,C,175,0,0,175,50
K1EEE,NA,2656,1E,NH,2,NA,3,1,G,347,0,359,706,550
K1EME,KB1TEE,3048,2A,NH,2,Littleton Area Radio Klub,19,2,G,250,49,181,480,1490
K1FS,NA,1218,3A,ME,2,Aroostook ARA,32,3,G,0,0,184,184,850
K1GMM,NA,324,1E,VT,2,NA,1,1,B,0,0,87,87,150
K1IG,KB1OIQ,6684,3A,EMA,2,Police AR Team of Westford MA,64,3,G,830,61,645,1536,1830
K1IM,NA,822,1E,CT,1,NA,1,1,B,336,0,0,336,150
K1KA,NA,1680,1E,NH,1,NA,1,1,G,12,0,1606,1618,50
K1KMO,NA,422,1A,LAX,2,NA,3,1,B,0,0,36,36,350
K1LT,NA,5186,1B1,OH,2,NA,1,1,G,1259,0,0,1259,150
K1LX,KB1TCD,4316,3A,ME,2,Lincoln Co. ARC,18,3,B,0,10,1353,1363,1570
K1OS,NA,974,1A,RI,2,Ocean State ARG,6,1,G,0,0,137,137,700
K1PDY,NA,700,1B1B,NH,5,NA,1,1,B,45,0,0,45,250
K1PH,NA,119,1D,NH,1,NA,1,1,C,0,0,69,69,50
K1PQ,NA,1696,4A,ME,2,Piscataquis ARC,11,4,G,124,11,153,288,850
K1R,NA,9616,3A,NH,2,Port City ARC,25,3,G,1005,0,2073,3078,1450
K1RFD,NA,146,1E,CT,2,NA,1,1,B,8,0,32,40,50
K1RK,W1NOB,7772,2A,EMA,2,Falmouth ARA,59,2,G,1094,0,1043,2137,1310
K1SEC,NA,1144,1E,EMA,2,NA,1,1,G,261,0,0,261,100
K1SWL,NA,1375,1B1B,NH,5,NA,1,1,B,101,1,1,103,350
K1TDO,NA,174,1E,CT,2,NA,1,1,B,0,0,12,12,150
K1TQ,NA,66,1D,NH,2,NA,1,1,C,0,0,8,8,50
K1TW,NA,870,1EB,EMA,5,NA,1,1,B,81,0,2,83,50
K1VUT,NA,424,1D,EMA,2,NA,1,1,C,106,0,0,106,0
K2AA,W2EA,15964,7A,SNJ,2,S Jersey Radio Assn.,66,7,G,2671,29,1527,4227,2110
K2B,W2HRW,788,3A,SNJ,2,Shore Points ARC,15,3,G,20,0,79,99,550
K2BAR,NA,6426,5A,NNJ,2,Bergen ARA,24,5,G,672,0,1274,1946,1190
K2BCM,NA,54,1D,WNY,2,NA,1,1,C,0,0,2,2,50
K2BR,NA,3320,4F,SNJ,2,Southern Counties ARA,40,4,C,238,116,377,731,1150
K2CT,NA,6984,2A,ENY,2,Albany ARA,42,2,G,938,134,813,1885,1070
K2CYE,NA,214,1D,ENY,2,NA,1,1,C,41,0,0,41,50
K2DLL,K2LK,2888,3A,ENY,2,Saratoga Co. ARA,17,3,G,298,22,289,609,1030
K2EC,NA,6412,2A,NLI,2,Bonac ARC,13,2,G,994,10,823,1827,750
K2EIR,NA,82,1D,ENY,2,NA,1,1,C,0,0,16,16,50
K2FCR,NA,1358,2A,ENY,2,NA,6,2,G,0,40,169,209,860
K2FJ,NA,1460,1F,NNJ,2,Montvale NJ EOC,4,1,C,175,21,13,209,650
K2GE,NA,830,2F,NNJ,2,Raritan Bay Radio Amateurs,12,2,G,0,0,40,40,750
K2GG,NA,4770,3AC,NNJ,2,Splitrock ARA,30,3,C,624,0,512,1136,1250
K2GQ,NA,2236,2F,NNJ,2,Roseland ARC,6,2,C,55,0,683,738,650
K2GSG,NA,888,1A,NLI,2,Garden School ARC,25,1,G,0,0,19,19,850
K2H,KD2LTB,254,2F,NNJ,2,NA,6,2,C,0,0,2,2,250
K2IQ,NA,1516,2A,WNY,2,Utica ARC,8,2,G,161,22,57,240,670
K2IWR,NA,1290,3A,WNY,2,Skyline ARC,14,3,G,0,9,202,211,850
K2KR,NA,752,1B1,CO,2,NA,1,1,G,0,0,301,301,150
K2MFW,NA,150,1D,SNJ,1,NA,1,1,C,0,0,100,100,50
K2MK,NA,1656,1D,WCF,2,NA,1,1,C,393,7,3,403,50
K2MTS,NA,355,1B1B,ENY,5,NA,1,1,B,0,0,1,1,350
K2NPN,NA,830,1E,WNY,2,NA,1,1,B,145,0,0,145,250
K2NV/VE3,NA,850,1C,ONS,2,NA,1,1,C,200,0,0,200,50
K2OAK,NA,1128,2A,NNJ,2,Red Oak Soc.,5,2,G,84,5,211,300,350
K2OGT/3,NA,778,1E,EPA,2,NA,1,1,G,157,0,0,157,150
K2PUT,K2PC,3220,3A,ENY,2,Putnam Emerg  & Amateur Rptr League,20,3,G,313,0,284,597,1400
K2QB,NA,254,1D,WNY,2,NA,1,1,C,51,0,0,51,50
K2QS,KD2LEG,6512,3A,ENY,2,The QSY Soc.,67,3,G,517,0,1167,1684,2110
K2RET,NA,223,1D,SNJ,1,NA,1,1,C,14,0,195,209,0
K2SAN,NA,92,1D,STX,1,NA,1,1,C,19,0,4,23,50
K2SRV,NA,1018,3A,WNY,2,Community ARC,3,3,B,0,0,34,34,950
K2TD,NA,2812,3F,SNJ,2,Burlington Co. RC,43,3,C,221,0,369,590,1190
K2VER,NA,826,2E,NNJ,2,NA,10,2,G,0,7,194,201,410
K2VN,KD2KZJ,4816,3A,NLI,2,Nassau ARC,41,3,G,554,143,249,946,1530
K2YG,NA,1126,1A,NNJ,2,Why Gee ARG,5,1,B,183,21,30,234,250
K2YNT,NA,842,2A,NNJ,2,Metuchen RC,6,2,G,52,0,142,194,350
K2ZP,NA,164,1D,LA,2,NA,1,1,C,0,0,57,57,50
K2ZV,NA,2730,2F,NNJ,2,NA,6,2,G,3,130,494,627,1210
K3AE,NA,3732,4A,EPA,2,Southern PA Comms Grp,37,4,G,0,263,545,808,1590
K3AM,NA,84,1D,SF,2,NA,1,1,C,0,0,17,17,50
K3BYU,NA,240,1B1,WWA,2,NA,1,1,G,0,0,45,45,150
K3CAL,NA,1434,4A,MDC,2,Calvert ARA,15,4,G,10,21,255,286,800
K3CCR,NA,3752,2E,MDC,2,NA,2,2,G,731,0,289,1020,250
K3CSF,NA,614,1E,WPA,2,NA,2,1,G,0,45,142,187,150
K3CSG,W3W,3840,2A,EPA,2,Scranton-Pocono AR Klub,20,2,G,334,0,407,741,1690
K3DN,NA,1954,2A,EPA,2,Warminster ARC,30,2,G,223,0,276,499,510
K3EMD,NA,2500,3A,MDC,2,NA,25,3,G,98,30,269,397,1450
K3ERM,K3DO,1708,2A,MDC,2,Frederick ARC,18,2,G,0,0,349,349,1010
K3F,NA,2156,1A,DE,2,First State ARC,14,1,G,227,0,199,426,850
K3FI,NA,2260,3A,EPA,2,Holmesburg ARC,12,3,G,250,0,205,455,850
K3FLT,K3WJH,1230,3A,EPA,2,Milton ARC,6,3,G,80,0,110,190,690
K3FMF,NA,774,1D,EPA,2,NA,1,1,C,177,0,8,185,50
K3GT,NA,1688,3A,WPA,2,North Hills ARC,10,3,B,214,0,141,355,550
K3HKI,K3NAL,2514,3A,MDC,2,St. Marys ARA,13,3,G,112,0,638,750,790
K3HW,NA,1810,1E,EPA,2,NA,3,1,B,301,4,0,305,590
K3IEC,NA,2114,4AC,EPA,2,Cumberland ARC,16,4,C,102,0,378,480,950
K3II,NA,5466,2A,EPA,2,Bergers Bandits,5,2,G,1221,0,166,1387,250
K3IN,NA,542,1D,MDC,2,NA,1,1,C,123,0,0,123,50
K3IR,NA,1070,3A,EPA,2,Southern PA ARC,6,3,G,88,0,84,172,550
K3JT,NA,386,1D,WV,2,NA,1,1,C,83,0,2,85,50
K3JZD,NA,170,1D,WPA,2,NA,1,1,C,30,0,0,30,50
K3LNZ,NA,3514,3A,MDC,2,Garrett Co. ARES,22,3,G,501,0,380,881,750
K3MF,NA,54,1D,EPA,2,NA,1,1,C,1,0,0,1,50
K3MJW,NA,5596,4E,WPA,2,NA,17,4,G,1023,0,527,1550,450
K3NG,NA,2438,1A,EPA,2,Radio Artisans,3,1,G,493,0,58,551,350
K3NP,NA,205,1D,NC,1,NA,1,1,C,0,0,155,155,50
K3NQT,KB3DFZ,1330,4F,WPA,2,Bedford Co. ARS,9,4,G,8,0,164,172,970
K3ODX,NA,2038,2A,EPA,2,Independent Radio Crew,4,2,G,258,13,252,523,450
K3ORS,NA,460,1E,TN,2,NA,1,1,B,0,0,105,105,250
K3PH,NA,492,1D,EPA,1,NA,1,1,C,221,0,0,221,50
K3PZN,NA,1910,3A,MDC,2,Carroll Co. ARC,10,3,G,71,1,246,318,1130
K3QAC,NA,3728,8A,MDC,2,NA,11,8,G,161,124,469,754,1650
K3QDA,NA,88,1D,EPA,2,NA,1,1,C,22,0,0,22,0
K3RWN,NA,804,1D,WPA,2,NA,1,1,C,0,0,377,377,50
K3SFP,NA,132,1C,VA,2,NA,1,1,G,0,0,16,16,100
K3SV,NA,310,1D,WCF,2,NA,1,1,C,65,0,0,65,50
K3TI,NA,124,3F,EPA,2,Berks ARC,14,3,C,0,2,33,35,50
K3TW,NA,1060,1B1B,NFL,5,NA,1,1,B,71,0,0,71,350
K3UA,NA,1328,1A,WPA,2,NA,3,1,G,312,4,7,323,50
K3URT,NA,644,1E,EPA,2,NA,1,1,B,0,1,195,196,250
K3VED,NA,139,1D,WPA,1,NA,1,1,C,0,0,89,89,50
K3WEB,NA,2462,4E,EPA,2,NA,43,4,G,270,0,316,586,750
K3WJV,NA,2461,1D,EPA,1,NA,1,1,C,1202,0,7,1209,50
K3WR,NA,806,1B1C,WCF,2,NA,1,1,C,0,180,18,198,50
K3WYC,NA,1438,1E,AZ,2,NA,1,1,G,322,0,0,322,150
K3YTL,NA,4688,3F,EPA,2,Murgas ARC,27,3,C,540,0,779,1319,970
K3ZGA,NA,260,1D,NFL,2,NA,1,1,C,65,0,0,65,0
K4A,NA,1970,3A,TN,2,Hardin & Mcnairy ARC,25,3,G,0,0,400,400,1170
K4ADB,NA,425,1D,SC,1,NA,1,1,C,5,0,345,350,70
K4AEN,NA,998,1C,VA,2,NA,3,1,G,212,0,0,212,150
K4AKY,NA,17,1D,KY,1,NA,1,1,C,0,0,17,17,0
K4AVX,NA,334,1D,KY,2,NA,1,1,C,71,0,0,71,50
K4BCH,K4OTH,3686,3A,NC,2,Pamlico ARC,17,3,G,241,160,366,767,1350
K4BEH,NA,1502,1D,GA,2,NA,4,1,C,288,0,0,288,350
K4BFT,N7KDT,16946,4A,AL,2,Huntsville ARC,63,4,G,2426,196,2244,4866,1970
K4BKV,NA,3214,3A,NFL,2,Hernando Co. ARA,10,3,G,381,0,70,451,1550
K4BRW,NA,1160,1A,VA,2,Greene Co. Virginia ARC,7,1,B,0,0,145,145,870
K4BSK,NA,2366,1E,VA,2,NA,2,1,G,546,0,16,562,150
K4BT,NA,2786,4A,NFL,2,Orange Park ARC,69,4,G,214,22,196,432,1450
K4BW,NA,2316,2A,VA,2,Eastern Shore ARC,20,2,G,1,25,411,437,1390
K4CAE,NA,413,1D,SC,1,NA,1,1,C,0,0,363,363,50
K4CO,KY4BSA,2758,5A,KY,2,Northern KY ARC,28,5,G,126,31,410,567,1310
K4CPO,N1NUT,3070,3A,TN,2,Nashville ARC,43,3,G,143,188,218,549,1310
K4CQ,W3CQ,9770,3A,VA,2,Lynchburg ARC,36,3,G,1320,0,1550,2870,1390
K4CXS,NA,174,1A,GA,2,Spalding Co. ARC,6,1,B,0,0,12,12,150
K4CYP,W4GOL,4964,5A,NC,2,Wayne Co. ARA,46,5,G,328,0,911,1239,1830
K4DSB,NA,130,1D,WCF,2,NA,1,1,C,0,0,40,40,50
K4DSR,K4HDW,1422,3A,AL,2,Deep South ARC,25,3,G,0,0,176,176,1070
K4E,NA,628,2F,TN,2,Jefferson Co. ARES,8,2,G,0,0,114,114,400
K4EDX,NA,1910,1AB,NFL,5,Maritime Mobile Svc Ntwrk FD Grp,5,1,B,0,56,0,56,1350
K4EG,W4VGZ,4766,3F,NC,2,Alamance ARC,15,3,C,710,0,388,1098,1150
K4FBI,NA,380,1B1B,VA,5,NA,1,1,B,23,0,0,23,150
K4FC,NA,10950,5A,NFL,2,Lake ARA,78,5,G,1707,53,1080,2840,1750
K4FRT,NA,134,1AC,SFL,2,Fellsmere AR Team,3,1,C,29,0,9,38,0
K4FTY,NA,910,1EB,AL,5,NA,1,1,B,0,0,132,132,250
K4FU,NA,124,1D,NFL,2,NA,1,1,C,31,0,0,31,0
K4GAR,NA,4160,2AB,GA,5,Gateway ARC,12,2,B,292,38,22,352,750
K4GM,NA,445,1D,VA,1,NA,1,1,C,159,0,77,236,50
K4GNV,NA,1814,3A,NFL,2,Gainesville ARS,23,3,G,25,38,106,169,1350
K4GSO,NA,1496,4A,NFL,2,Silvver Springs RC,12,4,G,58,4,49,111,1150
K4GU,NA,1244,1B2C,AL,2,NA,2,1,C,225,0,37,262,270
K4GVA,KB4CFP,2060,4A,VA,2,King George AR Operators,23,4,B,94,12,118,224,1400
K4HCK,NA,254,1D,TN,2,NA,1,1,C,0,51,0,51,50
K4HH,NA,7046,1A,KY,2,Jessamine Amateur Wrls Soc.,3,1,B,1474,0,0,1474,1150
K4HJ,NA,1802,3A,KY,2,Stubblefield Rptr Club & Shelby Co,33,3,G,71,93,138,302,870
K4HQK,NA,554,1D,VA,1,NA,1,1,C,252,0,0,252,50
K4HRS,NA,4190,2A,SFL,2,Harris-Intersil ARC,15,2,G,675,0,170,845,1150
K4HY,NA,3474,3A,KY,2,Owensboro ARC,20,3,G,506,9,282,797,850
K4II,NA,4212,2AC,SC,2,Spartanburg ARC,25,2,C,837,0,347,1184,170
K4IX,W4UG,6982,4A,VA,2,Virginia Beach ARC & Virginia DXCC,40,4,G,777,150,922,1849,1430
K4J,KK4JMW,3938,10A,GA,2,Glynn ARA,21,10,G,205,76,382,663,2050
K4JDF,NA,572,1E,MDC,2,NA,1,1,G,0,0,211,211,150
K4JJ,NF4GA,14562,3A,GA,2,North Fulton ARL,159,3,G,2014,0,2098,4112,2310
K4JKB,NA,654,1D,VA,2,NA,1,1,C,158,0,11,169,0
K4JMC,NA,1044,3A,AL,2,Gadsden ARC,10,3,G,0,0,197,197,650
K4K,NA,2470,2A,AL,2,Bankhead ARC,8,2,G,243,0,324,567,850
K4KGG,NA,212,1D,ENY,1,NA,1,1,C,0,81,0,81,50
K4KJQ,NA,3198,8A,KY,2,Bluegrass ARS,8,8,G,373,0,178,551,1350
K4KNS,NA,1678,4A,GA,2,ARC of Columbia Co,27,4,B,16,62,78,156,1210
