call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters,year,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,bonus_points,checklog_y_n,x17
AB6S,1880,1AB,326,5,NA,EB,3,The Hill People,1,2010,NA,NA,NA,NA,NA,NA,NA
AB7HP,2938,4A,544,2,W6ZOH,ID,16,Hewlett Packard Boise ARC,4,2010,NA,NA,NA,NA,NA,NA,NA
AB8DF,1060,1B1B,91,5,NA,MI,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB8S,212,1D,61,2,NA,WV,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB8XG,478,1D,107,2,NA,OH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB9RI,44,1D,11,2,NA,WI,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC0FQ,250,1B2,50,2,NA,CO,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC0LP,730,1EB,48,5,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC0PB,66,1D,16,1,NA,IA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC1L,2078,2A,438,2,KB1MSU,WMA,25,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AC3V,3455,2EB,370,5,NA,EPA,4,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AC4QX,540,1B1B,44,5,NA,NC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC4RC,3610,2A,796,2,W3NZ,NC,20,Azalea Coast ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
AC4XQ,2458,2A,876,2,NA,SFL,14,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AC5PW,1908,3F,623,2,NA,LA,15,NA,3,2010,NA,NA,NA,NA,NA,NA,NA
AC6P,1432,2A,199,2,NA,SCV,26,UCSC ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
AC6TU,214,1D,41,2,NA,LAX,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC7CJ,318,1B1,34,2,NA,EWA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC7R,376,1A,53,2,NA,AZ,14,MARA Net,1,2010,NA,NA,NA,NA,NA,NA,NA
AC7TB,80,1D,15,2,NA,WWA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AC8DE,1002,4A,222,2,NA,OH,10,DARA Site 2,4,2010,NA,NA,NA,NA,NA,NA,NA
AC8RC,1106,4A,152,2,KD8LZT,MI,21,Allegan Cty  ARC,4,2010,NA,NA,NA,NA,NA,NA,NA
AD0A,487,1D,160,1,NA,CO,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD1T,2164,4A,804,2,NA,NH,9,Cheshire Cty DX Club,4,2010,NA,NA,NA,NA,NA,NA,NA
AD4CS,234,1D,92,2,NA,SFL,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD4ES,4624,1E,1417,2,NA,SFL,3,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD4RG,100,1D,50,2,NA,VA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD4X,1262,4A,169,2,NA,KY,10,NA,4,2010,NA,NA,NA,NA,NA,NA,NA
AD5WI,2600,1B1B,241,5,NA,AR,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD6IZ,1220,2A,238,2,AE6VX,LAX,15,Crescenta Valley ARC & Glendale Em Auxiliary Radio Serv,2,2010,NA,NA,NA,NA,NA,NA,NA
AD6JV,212,1E,21,2,NA,VA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD7AW,658,3A,104,2,NA,WWA,3,WW Medical Services Em Comm Dist 5,3,2010,NA,NA,NA,NA,NA,NA,NA
AD7DD,418,1B1,34,2,NA,EWA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD7KI,1246,3E,325,2,NA,WY,12,NA,3,2010,NA,NA,NA,NA,NA,NA,NA
AD7L,540,1B1B,39,5,NA,OR,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD7MQ,596,1E,104,2,NA,MT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD7OY,986,2F,122,2,NA,NV,2,Lincoln Cty ARES/RACES,2,2010,NA,NA,NA,NA,NA,NA,NA
AD7QF,385,1B1B,6,5,NA,UT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AD7T,112,1E,6,2,NA,WWA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE3J,2845,2AB,385,5,NA,DE,6,Air Mobile Radio Operator Soc,2,2010,NA,NA,NA,NA,NA,NA,NA
AE4M,280,1B1B,6,5,NA,AL,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE5EE,765,2F,15,5,NA,AR,2,MEMS,2,2010,NA,NA,NA,NA,NA,NA,NA
AE5GT,4070,1EB,372,5,NA,STX,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE5LQ,100,1D,50,2,NA,STX,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE6C,4066,1A,928,2,NA,SV,4,Neurosa Gopher Munchers,1,2010,NA,NA,NA,NA,NA,NA,NA
AE6ZV,2204,2A,720,2,NA,SB,9,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AE7FJ,108,1E,4,2,NA,WWA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE8M,1910,1B1B,166,5,NA,NC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AE9K,202,1D,38,2,NA,IN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AF2C,3708,5F,816,2,NA,NFL,18,Flagler Em Comm Assn,5,2010,NA,NA,NA,NA,NA,NA,NA
AF4I,2340,2A,469,2,NA,AL,21,South Baldwin ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
AF4O,1290,1B1B,104,5,NA,TN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AF4OX,6720,1EB,647,5,NA,SC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AF4WU,770,2AC,189,2,NA,NFL,16,Gulf ARS,2,2010,NA,NA,NA,NA,NA,NA,NA
AF5Q/M,612,1C,31,2,NA,OK,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AF6AV,2562,3A,1098,2,NA,SDG,6,NA,3,2010,NA,NA,NA,NA,NA,NA,NA
AF6NI,545,1B1B,32,5,NA,SDG,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AF6VN,110,1B1C,15,2,NA,SCV,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AG3H,3190,1E,770,2,NA,WPA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AG4F (+KE4R),1126,2B2,294,2,NA,GA,2,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AG4FK,590,1E,245,2,NA,TN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AG4V,900,1E,800,1,NA,TN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AG4ZV,1952,3A,576,2,NA,AL,7,Leeds Area Hams,3,2010,NA,NA,NA,NA,NA,NA,NA
AG5Z,867,1D,867,1,NA,MS,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AG6AU,2412,11A,491,2,NA,SV,41,El Dorado ARC,11,2010,NA,NA,NA,NA,NA,NA,NA
AH6V,1780,1E,402,2,NA,PAC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI2U,3142,9A,587,2,NA,WNY,38,Keuka Lake ARA,9,2010,NA,NA,NA,NA,NA,NA,NA
AI3G,210,1D,40,2,NA,DE,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI4G,122,1D,36,2,NA,KY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI4GY,100,1C,25,2,NA,SC,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI4UN,26,1D,12,2,NA,GA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI5C,288,1B1,19,2,NA,SF,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AI5M,3602,1A,781,2,NA,STX,60,Sam Houston AR Klub,1,2010,NA,NA,NA,NA,NA,NA,NA
AJ4HK,34,1D,17,2,NA,NC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AJ5Q,862,4A,56,2,NA,OK,12,Altus Area  ARA,4,2010,NA,NA,NA,NA,NA,NA,NA
AJ6T,176,1C,13,2,NA,SCV,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AK3J,48,1F,14,2,NA,WPA,2,Somerset Cty ARC,1,2010,NA,NA,NA,NA,NA,NA,NA
AK4BH,395,1B1B,42,5,NA,VA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AK6QJ,214,1E,32,2,NA,SDG,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AK9D,3302,3A,814,2,WGØTA,MO,5,Dog Hollow Contest Group,3,2010,NA,NA,NA,NA,NA,NA,NA
AK9G,2452,2A,598,2,WX9PAL,IL,17,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AL7LE,1242,2A,196,2,NA,AK,30,Moosehorn ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
AM1MI,720,1B1B,74,5,NA,NH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
CF3NAVY,1154,1D,397,2,NA,ON,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
JA3JM,70,1D,5,2,NA,DX,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0AJW,4030,2A,948,2,KDØJCD,ND,20,Souris Valley ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0CD,1730,1A,303,2,NA,WI,23,SCVRA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0CO,166,1D,29,2,NA,CO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0DI,2348,1A,527,2,NA,WV,3,4-landers in CA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0EAR,744,2A,125,2,NA,MO,3,Every ARS,2,2010,NA,NA,NA,NA,NA,NA,NA
K0EFD,584,2F,67,2,NA,CO,2,Ellicott Fire ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0FEZ,1274,2A,320,2,NA,CO,17,RADOPS of El Jebel Shrine,2,2010,NA,NA,NA,NA,NA,NA,NA
K0G,1645,1B2B,133,5,NA,CO,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0GNE,1574,2A,221,2,NA,NE,7,Greater Nebraska ARL,2,2010,NA,NA,NA,NA,NA,NA,NA
K0GOB,258,1D,129,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0GPZ,996,3A,234,2,NA,ND,35,Northern Lakes ARC,3,2010,NA,NA,NA,NA,NA,NA,NA
K0GQ,11822,2A,3113,2,KCØMO,MO,91,Raytown ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0HK,680,1A,129,2,NA,KS,14,Atchison Cty AR Service,1,2010,NA,NA,NA,NA,NA,NA,NA
K0HP,3732,1A,771,2,NA,SD,4,Big Hill ARC,1,2010,NA,NA,NA,NA,NA,NA,NA
K0HS,3352,4A,672,2,NA,SD,21,Hot Springs ARC,4,2010,NA,NA,NA,NA,NA,NA,NA
K0HSC,1494,3A,320,2,WØMHP,CO,12,Hammin' Sams,3,2010,NA,NA,NA,NA,NA,NA,NA
K0IIT,3716,2A,924,2,KCØQXX,CO,37,Montrose ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0JFN,1622,3A,255,2,NA,NE,10,Pioneer ARC,3,2010,NA,NA,NA,NA,NA,NA,NA
K0JJM,780,2E,290,2,NA,KS,2,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K0JKS,2390,1AB,213,5,NA,KS,23,Hiawatha / Falls City ARC,1,2010,NA,NA,NA,NA,NA,NA,NA
K0KKV,5476,3A,1785,2,KØKSP,NE,70,Lincoln ARC,3,2010,NA,NA,NA,NA,NA,NA,NA
K0LIR,5680,2A,1595,2,NA,MO,31,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K0LMD,1076,1E,328,2,NA,CO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0LWV,630,1D,145,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0ND,1762,2A,506,2,NA,ND,22,Theodore Roosevelt ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0PK,1694,1D,411,2,NA,MN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0PRO,596,2A,73,2,NA,KS,7,Pittsburg Repeater Org,2,2010,NA,NA,NA,NA,NA,NA,NA
K0QOD,2010,3A,324,2,NØANA,MO,14,St Genevieve Cty ARC,3,2010,NA,NA,NA,NA,NA,NA,NA
K0RFD,1098,1E,250,2,NA,CO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0RV,5860,2A,1579,2,WWØAL,CO,36,Ski Country ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K0S,1382,3A,216,2,KCØOKO,MO,24,Webster County ARES,3,2010,NA,NA,NA,NA,NA,NA,NA
K0SGF,66,1D,33,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0SI,1260,2A,245,2,NA,MO,30,Central Missouri RA,2,2010,NA,NA,NA,NA,NA,NA,NA
K0SWI,4004,8A,945,2,NA,IA,20,South West IA ARC,8,2010,NA,NA,NA,NA,NA,NA,NA
K0UE,3060,4A,985,2,NA,CO,6,Thin Air Radio Society,4,2010,NA,NA,NA,NA,NA,NA,NA
K0UK,610,1D,280,1,NA,CO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0USA,1464,5A,248,2,NA,NE,21,Ak-Sar-Ben ARC,5,2010,NA,NA,NA,NA,NA,NA,NA
K0USN,160,2D,33,2,NA,CO,2,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K0VM,792,1D,276,2,NA,IA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0WRZ,585,1B1B,87,5,NA,KS,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K0XTR,2480,4A,620,2,NØXDB,CO,8,Littleton Radio Amateurs,4,2010,NA,NA,NA,NA,NA,NA,NA
K1AVR,2024,2A,500,2,NA,NH,12,Androscoggin Valley RC,2,2010,NA,NA,NA,NA,NA,NA,NA
K1BCI,1470,4F,215,2,NA,CT,21,CQ RC,4,2010,NA,NA,NA,NA,NA,NA,NA
K1BKE,7460,4A,2348,2,K1DFQ,NH,58,Contoocook Valley RC,4,2010,NA,NA,NA,NA,NA,NA,NA
K1BTD,100,1D,50,2,NA,CT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1DFS,1324,3A,321,2,NA,CT,14,Insurance City Repeater Club,3,2010,NA,NA,NA,NA,NA,NA,NA
K1DFT,2390,1AB,229,5,NA,ME,3,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1EEE,5505,2EB,625,5,NA,NH,4,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K1EME,1602,2A,326,2,NA,NH,10,Littleton Area Radio Klub,2,2010,NA,NA,NA,NA,NA,NA,NA
K1FS,1388,3A,285,2,NA,ME,28,Aroostook ARA,3,2010,NA,NA,NA,NA,NA,NA,NA
K1JW,98,1D,48,1,NA,ME,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1KBO,4040,2AB,319,5,NA,AZ,5,Cochise Digital Guys,2,2010,NA,NA,NA,NA,NA,NA,NA
K1KNQ,416,1C,83,2,NA,WCF,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1LT,4178,1A,1007,2,NA,OH,10,FAULT,1,2010,NA,NA,NA,NA,NA,NA,NA
K1MUJ,5144,4A,1579,2,NA,CT,30,Eastern Connecticut ARA,4,2010,NA,NA,NA,NA,NA,NA,NA
K1NPT,210,1E,5,2,NA,RI,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1NV,1034,2A,296,2,NA,NV,11,Pahrump AR Repeater Assn,2,2010,NA,NA,NA,NA,NA,NA,NA
K1OS,1866,2A,651,2,NA,RI,6,"Ocean State ARG, Inc.",2,2010,NA,NA,NA,NA,NA,NA,NA
K1PDY,1930,1B1B,158,5,NA,NH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1R,19638,5A,6206,2,W1WQM,NH,40,Port City ARC,5,2010,NA,NA,NA,NA,NA,NA,NA
K1RK,6196,2A,1668,2,NA,EMA,42,Falmouth ARA,2,2010,NA,NA,NA,NA,NA,NA,NA
K1RM,156,1D,39,2,NA,CT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1SV,5380,3A,1810,2,WT1B,VT,22,Southern VT ARC,3,2010,NA,NA,NA,NA,NA,NA,NA
K1SWL,3270,1AB,287,5,NA,NH,3,Hapless Dinks,1,2010,NA,NA,NA,NA,NA,NA,NA
K1TTT,3913,8E,3791,1,NA,WMA,5,NA,8,2010,NA,NA,NA,NA,NA,NA,NA
K1VI,99,1D,49,1,NA,CT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1XI,3564,2A,1321,2,NA,ME,10,Hilltop Hillbillys AR Group,2,2010,NA,NA,NA,NA,NA,NA,NA
K1XO,229,1D,229,1,NA,CT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1YYY,265,1EB,19,5,NA,WCF,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K1ZZN,876,2F,188,2,NA,EMA,3,Raymond J. Levesque Memorial ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K2AA,12856,6A,3635,2,W2EA,SNJ,27,South Jersey Radio Assn,6,2010,NA,NA,NA,NA,NA,NA,NA
K2AE,6268,5A,1537,2,W2UI,ENY,36,Schenectady  ARA,5,2010,NA,NA,NA,NA,NA,NA,NA
K2AOQ,1644,2A,416,2,NA,WNY,6,435 hammers,2,2010,NA,NA,NA,NA,NA,NA,NA
K2BAR,6226,4F,2128,2,KC2VRY,NNJ,56,Bergen ARA,4,2010,NA,NA,NA,NA,NA,NA,NA
K2BC,1082,2A,267,2,NA,NNJ,5,Friends of AR Operating Unusually,2,2010,NA,NA,NA,NA,NA,NA,NA
K2BNL,470,2D,122,2,NA,NLI,6,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K2BR,5288,5F,1259,2,N2CMC,SNJ,40,Southern Cty ARA / Cape May Cty ARC,5,2010,NA,NA,NA,NA,NA,NA,NA
K2CT,7578,3A,2109,2,KM2O,ENY,40,Albany  ARA,3,2010,NA,NA,NA,NA,NA,NA,NA
K2DLL,3158,4A,883,2,N2MBX,ENY,40,Saratoga Cty ARA,4,2010,NA,NA,NA,NA,NA,NA,NA
K2EC,1244,2A,347,2,NA,NLI,20,BARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K2EFK,114,1C,7,2,NA,NNJ,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2EVD,60,1B1,5,2,NA,NLI,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2FEO,320,1D,135,2,NA,WNY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2GE,2660,3F,559,2,NA,NNJ,15,Raritan Bay Radio Amateurs/South River OEM,3,2010,NA,NA,NA,NA,NA,NA,NA
K2GQ,208,1F,131,1,NA,SNJ,6,Roseland ARC,1,2010,NA,NA,NA,NA,NA,NA,NA
K2GTM,188,1D,69,2,NA,VA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2GXT,392,1A,21,2,NA,WNY,6,Rochester Institute of Technology ARC,1,2010,NA,NA,NA,NA,NA,NA,NA
K2HIG,1984,2E,525,2,NA,STX,4,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K2IWR,2358,4A,694,2,NA,WNY,35,Skyline ARC/Liverpool Am Repeater Club,4,2010,NA,NA,NA,NA,NA,NA,NA
K2MK,886,1D,418,1,NA,SNJ,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2NJ,13678,3F,3724,2,W2EN,NNJ,39,West Jersey DX Group,3,2010,NA,NA,NA,NA,NA,NA,NA
K2NV/VE3,890,1C,210,2,NA,ON,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2OGT,1210,1E,240,2,NA,EPA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2OQ,1174,3F,315,2,NA,WNY,5,Carousel RC,3,2010,NA,NA,NA,NA,NA,NA,NA
K2PW,1248,2F,143,2,NA,NNJ,10,Manalapan RACES/Raritan Bay Radio Amateurs,2,2010,NA,NA,NA,NA,NA,NA,NA
K2QR,940,1B2B,49,5,NA,WNY,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2QS,4222,3A,1074,2,WB2LQF,ENY,83,QSY Society,3,2010,NA,NA,NA,NA,NA,NA,NA
K2RF,3784,3AC,1000,2,NA,NNJ,20,Splitrock ARA,3,2010,NA,NA,NA,NA,NA,NA,NA
K2RNY,210,1B1B,16,5,NA,WNY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2RUK,1498,2A,279,2,NA,NNY,14,Ogensburg ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K2TD,1956,3A,364,2,AK2S,SNJ,35,Burlington Cty RC,3,2010,NA,NA,NA,NA,NA,NA,NA
K2VK,460,2D,124,2,NA,NNJ,4,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
K2VN,6638,4A,1782,2,NA,NLI,41,Nassau ARC,4,2010,NA,NA,NA,NA,NA,NA,NA
"K2WNY (K2SH & K2UD,ops)",3450,1B2B,304,5,NA,WNY,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2WT,33,1D,33,1,NA,WCF,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2XC,414,1E,82,2,NA,NNY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2XE,610,1D,140,2,NA,SNJ,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
K2YNT,2674,2A,672,2,NA,NNJ,11,Metuchen RC,2,2010,NA,NA,NA,NA,NA,NA,NA
K2ZR,13525,2AB,1301,5,NA,WNY,34,Buffalo Lighthouse Crew,2,2010,NA,NA,NA,NA,NA,NA,NA
K2ZV,1622,2F,332,2,KB2LAV,NNJ,10,Carteret Emergency Mgt Vol ARC,2,2010,NA,NA,NA,NA,NA,NA,NA
K3AE,3044,4A,780,2,NA,EPA,54,Southern PA Communications Group,4,2010,NA,NA,NA,NA,NA,NA,NA
K3ARS,2044,5A,296,2,N3WGC,MDC,23,Kent ARS,5,2010,NA,NA,NA,NA,NA,NA,NA
K3CSG,2346,3A,625,2,NA2T,EPA,31,Scranton Pocono Amateur Radio Klub,3,2010,NA,NA,NA,NA,NA,NA,NA
K3DN,5434,4A,1757,2,NA,EPA,35,Warminster ARC,4,2010,NA,NA,NA,NA,NA,NA,NA
