Call,GOTA CALL,FINAL SCORE,Category,Section,Power Multiplier,CLUB NAME,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS
AD0NX,NA,1022,1D,KS,2,Kansas/Nebraska ARC,1,1,C,0,243,0,243,50
AD0RR,NA,350,1D,MO,2,NA,1,1,C,0,0,150,150,50
AD0ZC,NA,688,1B1,SV,2,NA,1,1,B,0,26,217,243,150
AD1C,NA,862,1D,CO,2,NA,1,1,C,196,7,0,203,50
AD1L,NA,358,1E,WMA,2,NA,1,1,G,36,0,32,68,150
AD2BO,NA,222,1D,NLI,2,NA,1,1,C,43,0,0,43,50
AD2CM,NA,646,1D,SNJ,2,NA,1,1,C,0,136,26,162,50
AD2L,NA,626,1D,EPA,2,NA,1,1,C,0,144,0,144,50
AD2P (+N2HMM),NA,2264,1B2,NNJ,2,NA,2,1,G,147,0,563,710,550
AD4AX,NA,708,1AC,KY,2,Berea College,5,1,C,38,0,3,41,550
AD4EB,NA,3998,1D,TN,2,Williamson Co. (TX) ARES,1,1,C,974,0,26,1000,50
AD4GG,NA,300,1E,TN,2,NA,1,1,B,0,0,75,75,150
AD4IE,NA,350,1E,NC,2,NA,1,1,B,50,0,0,50,150
AD5EN,NA,700,1B1,SC,2,Sun City Hilton Head ARC,1,1,B,0,105,0,105,280
AD5SU,NA,254,1D,AZ,2,Bastrop Co. ARC,1,1,C,0,0,102,102,50
AD6AD,NA,104,1D,SV,2,NA,1,1,C,0,0,27,27,50
AD6RH,NA,110,1E,EB,2,NA,1,1,B,0,0,30,30,50
AD7DD,NA,1150,1B1C,ID,1,NA,1,1,C,0,400,0,400,350
AD7J,NA,210,1D,NV,2,NA,1,1,C,0,40,0,40,50
AD7KG,NA,1112,1B1,UT,2,NA,1,1,G,109,95,23,227,250
AD7LL,NA,1130,1D,TN,2,NA,1,1,C,0,244,2,246,150
AD7MC,NA,582,1D,WWA,2,NA,1,1,C,4,128,2,134,50
AD8DM,NA,154,1D,OH,2,NA,1,1,C,0,0,52,52,50
AD8FY,NA,194,1D,OH,2,Delaware ARA,1,1,C,0,0,72,72,50
AD8IE,NA,400,1B1B,OH,5,TUSCO ARC,1,1,B,0,0,50,50,150
AD8J,NA,1198,1D,SC,2,NA,1,1,C,287,0,0,287,50
AD9L (+W9GRS),W9GRS,1345,2AC,IL,2,Iroquois Co. ARC,17,2,C,0,93,29,122,915
AE0IB,NA,328,1D,MO,2,NA,1,1,C,33,32,9,74,50
AE0JA,NA,2132,3A,MO,2,Lake of the Ozarks ARC,29,3,G,100,64,363,527,750
AE0PN,NA,96,1D,IA,2,NA,5,1,C,0,0,23,23,50
AE0TB,NA,978,1D,IA,2,Northeast IA Radio Amateur Assn.,1,1,C,0,207,0,207,150
AE1D,NA,764,1D,NH,2,NA,1,1,C,128,0,101,229,50
AE1T,NA,574,1D,NH,2,NA,1,1,C,131,0,0,131,50
AE2T,NA,1122,1D,WNY,2,NA,1,1,C,108,160,0,268,50
AE3D,NA,102,1D,MDC,2,Bowie Wireless Assn.,1,1,C,13,0,0,13,50
AE4GX,NA,600,1AB,SC,5,Aiken RC,3,1,B,35,0,0,35,250
AE4WX,NA,1090,1A,NC,2,NA,5,1,B,0,54,2,56,870
AE4Y,NA,814,1E,NC,2,South East Contest Club,1,1,B,166,0,0,166,150
AE5FM,NA,186,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,34,0,34,50
AE5IT,NA,265,1B1B,CO,5,Rocky Mountain Ham Radio,1,1,B,0,0,3,3,250
AE5MM,NA,426,1E,OK,2,NA,1,1,G,69,0,0,69,150
AE6DB,NA,494,1B1,ORG,2,NA,1,1,B,0,0,22,22,450
AE6NN,NA,332,2B2C,ORG,2,NA,2,2,C,36,8,3,47,150
AE9PM,NA,280,1E,IL,2,Bolingbrook ARS,1,1,B,0,0,15,15,250
AF0E,NA,1346,1B1,CO,2,NA,1,1,G,274,0,0,274,250
AF0S (+K0NTS),K0NTS,5098,3A,CO,2,Pikes Peak Radio Amateur Assn./Colorado Traffic League,22,3,G,345,263,473,1081,1720
AF2A,NA,1852,3A,WNY,2,Tompkins Co. ARA,23,3,G,33,50,285,368,950
AF4T,NA,722,1D,TN,2,Tennessee Contest Grp.,1,1,C,168,0,0,168,50
AF4WR,NA,170,1D,VA,2,NA,1,1,C,0,30,0,30,50
AF4Y,NA,214,1D,KY,2,NA,1,1,C,0,41,0,41,50
AF5CC,NA,342,1D,OK,2,Oklahoma DX Assn.,1,1,C,55,18,0,73,50
AF5J,NA,342,1D,STX,2,Brazos Valley ARC,1,1,C,73,0,0,73,50
AF5MN,NA,136,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,0,43,43,50
AF5SW,NA,360,1B1,OK,2,NA,1,1,G,0,0,105,105,150
AF6N,NA,338,1D,ORG,2,Orange Co. (CA) ARC,1,1,C,72,0,0,72,50
AF7VC,NA,166,1B1,OR,2,NA,1,1,B,0,0,8,8,150
AF9FA,NA,370,1E,WI,2,NA,1,1,B,0,0,60,60,250
AF9J,NA,385,1E,WI,5,NA,1,1,B,23,0,1,24,150
AG1YK,NA,120,1D,CT,2,The Heritage Village Radio and Electronics Club,1,1,C,0,0,35,35,50
AG4HG,NA,170,1D,TN,2,NA,1,1,C,0,0,60,60,50
AG4SO,NA,1110,1D,VA,2,NA,1,1,C,0,265,0,265,50
AG4TT,NA,1704,3E,NC,2,Corncrib Contest Club,4,3,G,183,0,161,344,650
AG5S,NA,358,1D,NM,2,Los Alamos ARC,1,1,C,55,0,44,99,50
AG6AU,NA,2126,2A,SV,2,El Dorado Co. ARC,14,2,G,184,74,362,620,370
AG6JA,NA,280,1D,EB,2,NA,1,1,C,18,19,41,78,50
AG7AB,NA,184,1D,AZ,2,Kachina ARC,1,1,C,2,27,9,38,50
AG7AE,NA,796,1B2,TN,2,Virginia Beach ARC/Virginia DX Century Club,2,1,B,0,43,77,120,470
AG7KO,NA,66,1D,WWA,2,NA,1,1,C,0,0,8,8,50
AG7T,NA,1290,1B1,WWA,2,Mike & Key ARC,1,1,G,0,210,0,210,450
AG7TH,NA,2470,1B1B,OR,5,NA,1,1,B,0,232,0,232,150
AG7TX,NA,594,1B1,NV,2,NA,1,1,B,111,0,0,111,150
AG7UN,NA,150,1D,SJV,2,NA,1,1,C,0,0,50,50,50
AG9SG,NA,202,1D,NTX,2,Dallas ARC,1,1,C,0,38,0,38,50
AH6T,NA,110,1D,PAC,2,NA,1,1,C,13,0,4,17,50
AH6X,NA,920,1B1B,ID,5,NA,1,1,B,0,74,6,80,150
AI1G,NA,394,1D,WMA,2,Central Massachussetts ARA,1,1,C,61,0,0,61,150
AI2N,NA,178,1D,WNY,2,NA,1,1,C,32,0,0,32,50
AI2U,NA,772,1D,WNY,2,NA,1,1,C,175,0,11,186,50
AI3KS,NA,1606,1E,EPA,2,NA,1,1,B,125,164,0,289,450
AI3Q,NA,1350,1D,EPA,2,Anthracite Repeater Assn.,1,1,C,325,0,0,325,50
AI4BJ,NA,916,1AC,KY,2,Northern KY ARC,6,1,C,125,0,23,148,370
AI4DB,NA,300,1D,TN,2,West Tennessee ARS,1,1,C,0,0,125,125,50
AI4TB,NA,860,1B1B,NFL,5,NA,1,1,B,0,61,0,61,250
AI4WL,NA,166,1D,NC,2,Pamlico ARS,1,1,C,0,29,0,29,50
AI4WM,NA,335,1E,MI,5,NA,1,1,B,0,0,17,17,250
AI5CX,NA,198,1E,NTX,2,Tri-County ARC (TX),1,1,B,0,37,0,37,50
AI5IW,NA,546,1D,NTX,2,Cowtown ARC,1,1,C,0,124,0,124,50
AI5M,NA,872,3A,STX,2,Sam Houston AR Klub,5,3,B,9,42,99,150,470
AI5NE,NA,80,1B1,STX,2,Hill Country ARC,1,1,B,0,0,15,15,50
AI6DO,NA,1020,2B1B,LAX,5,Aerospace Employees Assn. ARC,1,2,B,42,1,8,51,550
AI6EM,NA,250,1D,PAC,2,NA,1,1,C,0,50,0,50,50
AI6JB,NA,178,1B1,SV,2,Sierra Foothills ARC,1,1,B,0,0,14,14,150
AI6MW,NA,292,1D,SB,2,Conejo Valley ARC,1,1,C,0,73,0,73,0
AI6XK (+N0JUK),NA,114,2B2,SF,2,NA,2,2,S,0,0,32,32,50
AI7HC,NA,464,1D,MO,2,Macon Co. ARC,1,1,C,0,95,17,112,50
AI7PM,NA,1360,3A,WY,2,NA,7,3,B,160,145,45,350,50
AI9K,NA,410,1E,IL,2,NA,1,1,B,65,0,0,65,150
AJ0O,NA,194,1D,MN,2,Minnetonka ARC,1,1,C,0,36,0,36,50
AJ1DM,NA,58,1D,RI,2,Randallstown ARC,1,1,C,2,0,0,2,50
AJ4A,NA,10078,5A,KY,2,Central Kentucky ARS,38,5,G,1176,254,1344,2774,1670
AJ4BB,NA,918,1E,NV,2,NA,1,1,G,33,0,68,101,650
AJ4EY,NA,275,1E,VA,5,NA,1,1,B,0,1,3,4,250
AJ4IR,NA,1182,2AC,SFL,2,Indian River ARC,5,2,C,211,0,44,255,250
AJ4LJ,NA,1458,1E,SFL,2,Palms West ARC,1,1,G,0,327,0,327,150
AJ5S,NA,150,1D,MS,2,NA,1,1,C,0,25,0,25,50
AJ5ZX,NA,178,1E,WTX,2,West Texas ARC,1,1,B,0,6,2,8,150
AJ6HT,NA,70,1D,SCV,2,NA,1,1,C,0,5,0,5,50
AJ6PD,NA,64,1D,SJV,2,Mountain ARC (CA),1,1,C,0,0,7,7,50
AJ6T,NA,154,1B2,TN,2,Clarksville Amateur Transmitting Soc.,2,1,B,0,0,2,2,150
AJ6UX,NA,300,1D,LAX,2,CITARC/JPLARC/PRC/SPARC,1,1,C,0,37,1,38,150
AJ6VU,NA,198,1E,LAX,2,NA,1,1,B,0,12,0,12,150
AK1EB,NA,142,1D,VT,2,NA,1,1,C,0,23,0,23,50
AK1X (+W1ASP),NA,536,2B2,VT,2,NA,2,2,B,0,0,143,143,250
AK2U,NA,542,1D,WV,2,NA,1,1,C,123,0,0,123,50
AK3Y,NA,1762,1E,MDC,2,NA,1,1,B,0,403,0,403,150
AK4D,NA,1438,1D,NC,2,Forsyth ARC,1,1,C,0,322,0,322,150
AK4EX,NA,186,1D,TN,2,Clarksville Amateur Transmitting Soc.,1,1,C,28,0,12,40,50
AK4YW,NA,574,1E,GA,2,Glynn ARA,1,1,G,0,81,0,81,250
AK7AT,NA,1834,2E,ID,2,NA,2,2,G,0,371,0,371,350
AK9D,NA,2686,2D,KS,2,Dog Hollow Contest Grp.,2,2,C,0,634,0,634,150
AL4B,NA,164,1D,TN,2,Smoky Mountain ARC,1,1,C,0,0,57,57,50
AL54S,NA,744,4AC,TN,2,American Legion ARC,11,4,C,0,0,72,72,600
AL5P,NA,658,1A,NTX,2,Vanguard Sabers ARC,3,1,G,0,0,204,204,250
AL7ID,NA,296,1D,AK,2,NA,1,1,C,0,50,23,73,50
AL7JK,NA,130,1B1B,AK,5,NA,1,1,B,8,0,0,8,50
BA5AB,NA,66,1D,DX,2,NA,1,1,C,0,4,0,4,50
BG5BAA,NA,98,1D,DX,2,NA,1,1,C,0,12,0,12,50
CA3EVY,NA,86,1D,DX,2,NA,1,1,C,0,9,0,9,50
CE3PA,NA,1272,2D,DX,2,NA,2,2,C,261,0,89,350,50
CE4PS,NA,88,1D,DX,2,NA,1,1,C,0,0,19,19,50
CJ3ABN,NA,412,1A,GH,2,Southern Ontario Amateur Radio Experimenters,4,1,B,0,0,131,131,150
CJ3YLR,NA,768,1D,ONS,2,Inverhuron Ham RC,4,1,C,0,21,167,188,350
CJ7KBM,NA,66,1D,BC,2,NA,1,1,C,0,4,0,4,50
"CK3RXH (VE3RXH, op)",NA,560,1B1B,ONE,5,Ottawa Valley Mobile RC,1,1,B,0,41,0,41,150
CK3SDF (+CK3ZIS),NA,176,1B1C,ONS,2,St. Mary's ARC,1,1,C,0,0,13,13,150
CK7RC,NA,94,1D,BC,2,NA,1,1,C,0,11,0,11,50
CO8NMN,NA,656,1D,DX,2,Santiago de Cuba Contest Team,1,1,C,116,31,9,156,50
CY1MRC,NA,506,1D,NL,2,Marconi ARC of Newfoundland,3,1,C,39,0,0,39,350
DF4XF,NA,142,1D,DX,2,NA,1,1,C,23,0,0,23,50
DL0RD,NA,82,1D,DX,2,NA,1,1,C,8,0,0,8,50
DM7W,NA,214,1D,DX,2,Bavarian Contest Club,1,1,C,41,0,0,41,50
G3SQU,NA,94,1D,DX,2,NA,1,1,C,11,0,0,11,50
HB9HUY,NA,152,1B1,DX,2,NA,1,1,B,0,0,1,1,150
IT9RZU,NA,218,1D,DX,2,NA,1,1,C,42,0,0,42,50
JA1OHP,NA,138,1D,DX,2,NA,1,1,C,0,22,0,22,50
JF1TEU,NA,274,1D,DX,2,NA,1,1,C,0,56,0,56,50
JI2IXA,NA,318,1D,DX,2,NA,1,1,C,0,67,0,67,50
JK2XXK,NA,174,1D,DX,2,NA,1,1,C,0,6,0,6,150
JR1NKN,NA,280,1E,DX,5,Mike & Key ARC,1,1,B,1,12,0,13,150
JR3UIC,NA,58,1D,DX,2,NA,1,1,C,0,2,0,2,50
JS1LQI,NA,174,1D,DX,2,NA,1,1,C,0,6,0,6,150
K0AD,NA,3736,1D,MN,2,NA,1,1,C,795,0,103,898,350
K0AE,NA,1094,1D,CO,2,Grand Mesa Contesters of Colorado,1,1,C,258,0,6,264,50
K0AIZ,NA,308,1D,NE,2,NA,1,1,C,0,14,101,115,50
K0AJW,NA,4352,1A,ND,2,Souris Valley ARC,14,1,G,463,129,512,1104,960
K0ANT,NA,1816,3A,KS,2,The Kansas Antenna Club in Johnson Co.,14,3,S,212,0,89,301,790
"K0ARF (K0SV, KB0ZZJ)",NA,360,1B2,MN,2,Keeping Amateur Radio Fun,2,1,G,0,0,105,105,150
K0AV,NA,4490,1E,CO,5,NA,1,1,B,434,0,0,434,150
K0AXS,NA,184,1E,OR,2,Lake Oswego ARC,1,1,B,0,0,17,17,150
K0BIE,NA,886,1E,OH,2,Splinter Grp. ARC,1,1,G,0,184,0,184,150
K0CD,NA,410,1B1B,WI,5,Minnesota Wireless Assn.,1,1,B,26,0,0,26,150
K0DDS,NA,190,1D,KS,2,Santa Fe Trail ARC,2,1,C,0,0,70,70,50
K0DMT,NA,230,1E,MO,5,NA,1,1,B,0,0,16,16,150
K0DVT,NA,246,1E,MN,2,NA,1,1,G,0,0,48,48,150
K0EB,NA,832,2A,CO,2,Weld ARS,18,2,G,1,0,229,230,370
K0EOR (+HF0HOG),HF0HOG,1780,3A,MO,2,Eastern Ozarks ARC,4,3,B,0,98,119,217,1150
K0EQH,NA,276,1D,KS,2,Sand Hills ARC,1,1,C,0,0,113,113,50
K0FJ,NA,1518,1E,KS,2,Sand Hills ARC,1,1,G,0,342,0,342,150
K0FV,NA,222,2AC,MO,2,Boonville ARC,13,2,C,0,0,26,26,170
K0GEO,NA,450,1E,STX,2,NA,1,1,B,100,0,0,100,50
K0GMK,NA,170,1D,MN,2,Rochester (MN) ARC,1,1,C,0,30,0,30,50
K0GPZ,NA,1154,2F,MN,2,Northern Lakes ARC,4,2,C,6,0,180,186,770
K0HK,NA,1100,1E,KS,5,Atchison Co. ARS,1,1,B,85,0,0,85,250
K0HNY,NA,5718,5A,MN,2,Owatonna Steele Co. ARC,25,5,G,870,182,180,1232,1150
K0II,NA,2116,1D,MN,2,NA,1,1,C,529,0,0,529,0
K0IIT,NA,4020,2A,CO,2,Montrose Co. ARC,58,2,G,273,13,763,1049,1350
K0JJR,NA,308,1B1,MN,2,NA,1,1,B,0,0,79,79,150
K0KKV (+K0SMM),K0SMM,5259,3A,NE,2,Lincoln ARC,50,3,G,544,297,165,1006,1565
K0KNF,NA,285,1E,CO,5,Beaver Creek ARA,1,1,S,0,0,7,7,250
K0KWC,NA,774,1AC,MO,2,Kilowatt ARC,3,1,C,0,0,62,62,650
K0KWO,NA,958,2A,IA,2,Boone and Hamilton Co. ARES,6,2,G,77,71,8,156,350
K0LAR,NA,146,1D,MN,2,Southwest Metro AR Transmitting Soc.,1,1,C,24,0,0,24,50
K0LIR,NA,6114,3A,MO,2,St. Louis ARC,12,3,G,519,480,534,1533,1050
