CALL,GOTA Call,FINAL SCORE,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS,Checklog Y/N
AA0RC,NA,972,2A,MO,2,Audrain EmComm,15,2,G,0,61,39,100,650,NA
AA0RW,NA,1594,2A,MN,2,Hiawatha Valley ARC,17,2,G,10,0,402,412,750,NA
AA0YA,NA,1138,1A,IA,2,Radio Farm,7,1,G,51,154,34,239,250,NA
AA0Z,NA,574,1D,MO,2,NA,1,1,C,5,126,0,131,50,Y
AB1IP,NA,810,1E,UT,5,Utah ARC,2,1,B,37,7,0,44,370,NA
AB1WG,NA,318,1D,VT,2,NA,1,1,C,0,67,0,67,50,NA
AB1XK,NA,410,1D,EMA,2,Cape Ann ARA,1,1,C,7,43,30,80,150,NA
AB2NM,NA,396,1B1,WNY,2,NA,1,1,B,0,0,73,73,250,NA
AB2RA,NA,0,1E,WNY,1,NA,1,1,G,0,0,676,676,0,NA
AB3GY,NA,260,1B1B,MDC,5,Skyview Radio Soc.,1,1,B,0,11,0,11,150,NA
AB3LK,NA,160,1D,MDC,2,NA,1,1,C,0,0,55,55,50,NA
AB4EL,NA,282,1E,NC,2,NA,1,1,B,0,0,66,66,150,NA
AB4GH,NA,110,1D,KY,2,CKARS/HHFNKY,1,1,C,0,0,30,30,50,NA
AB4IQ,NA,102,1D,KY,2,Paducah ARA,1,1,C,0,13,0,13,50,NA
AB4NH,NA,752,1D,TN,2,NA,1,1,C,0,174,3,177,50,NA
AB4WL,NA,250,1D,AL,2,Huntsville ARC,1,1,C,15,35,0,50,50,NA
AB4WS,NA,56,1D,KY,2,Northern KY ARC,1,1,C,0,0,3,3,50,NA
AB5KM,NA,162,1D,STX,2,Texas Em. Amateur Comm.,1,1,C,0,0,56,56,50,NA
AB5TN,NA,130,1D,NTX,2,Lucas ARC/Allen Wylie Lucas ARC,1,1,C,20,0,0,20,50,NA
AB5UE,NA,1886,4A,STX,2,Boerne ARC,7,4,G,0,129,35,164,1300,NA
AB5XM,NA,132,1D,STX,2,NA,1,1,C,11,8,3,22,50,NA
AB5XZ,NA,154,1E,STX,2,NA,1,1,B,0,0,2,2,150,NA
AB6BR,NA,582,1D,EB,2,South Bay ARA,1,1,C,133,0,0,133,50,NA
AB6MV,NA,924,3A,ORG,2,Moreno Valley ARA,8,3,G,20,60,27,107,550,NA
AB7HP,NA,3252,5A,ID,2,HPBARC,14,5,G,0,567,67,634,850,NA
AB7RW,NA,526,1D,WWA,2,Clark Co. (WA) ARC,1,1,C,119,0,0,119,50,NA
AB7WP,NA,54,1D,AZ,2,West Valley ARC,1,1,C,0,0,2,2,50,NA
AB7WT,NA,162,1D,OR,2,NA,1,1,C,0,28,0,28,50,NA
AB8AS,NA,282,1B1,WV,2,NA,1,1,B,0,0,16,16,250,NA
AB8DF,NA,1180,1B1B,MI,5,NA,1,1,B,103,0,0,103,150,NA
AB8JH,NA,258,1E,OH,2,Cambridge ARA,1,1,G,0,0,54,54,150,NA
AB8OU,NA,1024,1D,OH,2,Cuyahoga Falls ARC,1,1,C,236,0,15,251,50,NA
AB8TN,NA,182,1D,PAC,2,NA,1,1,C,0,8,0,8,150,NA
AB8WW,NA,434,1D,WV,2,Tri-State ARA,1,1,C,0,96,0,96,50,NA
AB8YZ,NA,512,1D,NTX,2,Ham Assn. of Mesquite,1,1,C,54,57,9,120,50,NA
AB9BZ,NA,1580,1B1B,IL,5,American Legion Post 33 ARC,1,1,B,103,0,0,103,550,NA
AB9CA,NA,2278,1E,IN,2,NA,1,1,G,507,0,0,507,250,NA
AB9M,NA,734,1D,IL,2,Soc. of Midwest Contesters,1,1,C,0,171,0,171,50,NA
AB9YC,NA,7198,1A,IL,2,Blazing Paddles FD Team,9,1,G,1391,60,22,1473,1350,NA
AC1BB,NA,660,1E,IL,5,NA,1,1,B,41,0,0,41,250,NA
AC1J,NA,576,1D,NH,2,Granite State ARA,1,1,C,89,0,110,199,0,NA
AC1KV,NA,450,1D,CT,2,Metro North Railroad ARA,1,1,C,100,0,0,100,50,NA
AC1L,NA,1390,2A,WMA,2,Franklin Co. (MA) ARC,14,2,G,186,0,98,284,450,NA
AC2BQ,NA,102,1D,NLI,2,Great South Bay ARC,1,1,C,0,0,26,26,50,NA
AC2JK,NA,176,1E,WNY,2,NA,1,1,B,0,0,13,13,150,NA
AC2N,NA,356,1E,NFL,2,NA,1,1,B,0,0,103,103,150,NA
AC2PT,NA,604,1E,SNJ,2,Gloucester Co. ARC,1,1,B,0,33,111,144,250,NA
AC2YD,NA,422,1D,NNJ,2,David Sarnoff ARC,1,1,C,93,0,0,93,50,NA
AC2ZU,NA,168,1D,SNJ,2,Jersey Shore ARS,1,1,C,0,0,59,59,50,NA
AC2ZZ,NA,122,1D,NNJ,2,Tri-County ARC (NJ),1,1,C,0,11,14,25,50,NA
AC3BQ,NA,272,1B1,SNJ,2,NA,1,1,B,0,0,11,11,250,NA
AC3EK,NA,112,1D,MDC,2,Aero ARC,1,1,C,0,9,13,22,50,NA
AC3KS,NA,186,1B1,WNY,2,NA,1,1,B,0,2,14,16,150,NA
AC3MB,NA,200,1B1,MDC,2,State Line Radio Club,1,1,B,0,0,25,25,150,NA
AC3V,NA,1226,1A,EPA,2,NA,9,1,B,156,0,86,242,430,NA
AC4CH,NA,448,2B2,OK,2,NA,2,2,G,0,0,89,89,270,Y
AC4G,NA,1082,1D,TN,2,NA,1,1,C,241,0,34,275,50,NA
AC4MC,NA,748,1D,SC,2,Blue Ridge ARC,1,1,C,161,0,27,188,50,NA
AC4MG,NA,536,1D,GA,2,NA,1,1,C,0,109,25,134,50,NA
AC4RC,NA,2482,2AC,NC,2,Azalea Coast ARC,20,2,C,0,0,806,806,870,NA
AC4SJ,NA,182,1D,VA,2,NA,1,1,C,0,33,0,33,50,NA
AC4UK,NA,680,3E,VA,2,Woodbridge Wireless ARC,1,3,G,0,65,35,100,350,NA
AC5CM,NA,198,1D,STX,2,NA,1,1,C,0,0,24,24,150,NA
AC5EZ,NA,514,1D,NTX,2,Lake Area Amateur Radio Klub,1,1,C,115,1,0,116,50,NA
AC5LC,NA,2726,4A,STX,2,Lake Conroe ARC,30,4,G,23,274,19,316,1500,NA
AC5O,NA,450,1D,LA,2,NA,1,1,C,55,45,0,100,50,NA
AC6DF,NA,760,2E,WWA,5,Olympia ARS,1,2,B,0,25,0,25,510,NA
AC6MM,NA,274,1E,EB,2,South Bay ARA,1,1,B,0,0,12,12,250,NA
AC6NT,NA,2110,1B1B,TN,5,NA,1,1,B,186,0,0,186,250,NA
AC6VV,NA,130,1E,LAX,2,Pasadena RC/JPLARC/CITARC,1,1,B,0,0,40,40,50,NA
AC6YY,NA,950,1B1,SCV,2,Santa Clara Co. ARA,1,1,B,150,0,0,150,350,NA
AC6ZM,NA,1542,1E,TN,2,Tellico Lake ARC,1,1,G,348,0,0,348,150,Y
AC7A,NA,530,1B1B,WWA,5,NA,1,1,B,28,0,0,28,250,NA
AC7CJ,NA,232,1D,EWA,2,NA,1,1,C,0,0,41,41,150,NA
AC7GL,NA,584,1D,ID,2,NA,1,1,C,0,114,39,153,50,NA
AC7R,NA,292,1A,AZ,2,Mercury Net,3,1,B,0,0,21,21,250,NA
AC7SV,NA,62,1D,WWA,2,Skagit Amateur Radio EmComm Club,1,1,C,0,0,6,6,50,NA
AC7VL,NA,90,1E,WWA,2,NA,1,1,B,0,0,20,20,50,NA
AC7YT,NA,1128,1A,UT,2,Traveling Amateur Radio Team,4,1,G,0,0,439,439,250,NA
AC8NI,NA,638,1D,MI,2,NA,1,1,C,103,0,88,191,50,NA
AC8OF,NA,316,1B2,MI,2,NA,2,1,G,0,0,33,33,250,NA
AC8RC,NA,2054,4A,MI,2,Allegan Co ARC,14,4,G,0,55,292,347,1250,NA
AC8UJ,NA,294,1B1,WI,2,OH-KY-IN ARS,1,1,B,0,0,22,22,250,NA
AC8WC,NA,268,1D,MI,2,NA,1,1,C,0,0,109,109,50,NA
AC8ZD,NA,560,1D,MI,2,Utica Shelby EmComm Assn.,1,1,C,0,127,1,128,50,NA
AC9OV,NA,126,1D,IL,2,NA,1,1,C,0,19,0,19,50,NA
AC9QM,NA,230,1D,IN,2,NA,1,1,C,0,40,10,50,50,NA
AC9SB,NA,1245,2B2B,IN,5,NA,2,2,B,57,2,1,60,650,NA
AC9XS,NA,250,1D,IN,2,Fort Wayne Radio Club,1,1,C,50,0,0,50,50,NA
AC0BU,N0EHQ,958,2A,IA,2,Southern IA Repeater Assn.,8,2,B,0,0,74,74,810,NA
AC0EC,NA,1612,3A,IA,2,Muscatine ARC,12,3,G,0,217,37,254,670,NA
AC0KN,NA,104,1D,KS,2,NA,1,1,C,0,0,27,27,50,NA
AC0WI,NA,88,1D,NH,2,Cheshire Co. DX ARC,1,1,C,0,0,19,19,50,NA
AD1EU,NA,74,1D,NC,2,NA,1,1,C,0,0,12,12,50,NA
AD1T,NA,4264,5A,NH,2,Cheshire Co. DX ARC,25,5,G,436,40,705,1181,950,NA
AD2BO,NA,0,1D,NLI,1,NA,1,1,C,0,27,125,152,0,Y
AD2CM,NA,884,1D,SNJ,2,NA,1,1,C,0,203,11,214,50,NA
AD2DD,NA,182,1D,WNY,2,NA,1,1,C,0,0,66,66,50,NA
AD4EB,NA,7366,1D,TN,2,WCARES Contest Grp.,1,1,C,1829,0,0,1829,50,NA
AD4IE,NA,446,1E,NC,2,NA,1,1,B,99,0,0,99,50,NA
AD4TJ,NA,1450,1D,VA,2,Valley and Massanutten ARA,1,1,C,350,0,0,350,50,NA
AD5CQ,NA,490,1E,STX,2,Clear Lake ARC,1,1,B,85,0,0,85,150,NA
AD5EN,NA,462,1D,SC,2,Sun City Hilton Head ARC,1,1,C,0,103,0,103,50,NA
AD5MQ,NA,818,1E,CO,2,Big Sandy ARC,1,1,B,0,142,0,142,250,NA
AD5SU,NA,252,1D,AZ,2,Bastrop Co. ARC,1,1,C,25,0,51,76,50,NA
AD6AD,NA,80,1D,SV,2,NA,1,1,C,0,0,15,15,50,NA
AD6IZ,NA,776,2A,LAX,2,Crescenta Valley Radio Club,10,2,B,26,0,61,87,550,NA
AD6RH,NA,274,1D,EB,2,NA,1,1,C,0,56,0,56,50,NA
AD7DD,NA,1850,1B1,ID,2,NA,1,1,B,0,325,0,325,550,NA
AD7J,NA,306,1B1,NV,2,NA,1,1,G,21,0,36,57,150,NA
AD7MC,NA,482,1D,WWA,2,NA,1,1,C,0,108,0,108,50,NA
AD8CM,NA,78,1D,OH,2,NA,1,1,C,0,7,0,7,50,NA
AD8D,NA,104,1D,MI,2,Blossomland ARA,1,1,C,0,0,27,27,50,NA
AD8DM,NA,178,1D,OH,2,NA,1,1,C,0,0,64,64,50,NA
AD8J,NA,850,1D,NC,2,NA,1,1,C,200,0,0,200,50,NA
AD9L,NA,840,2AC,IL,2,Iroquois Co. ARC,15,2,C,0,11,63,74,670,NA
AD0B,NA,485,1B1B,MO,5,Macon Co. ARC,1,1,B,0,0,67,67,150,NA
AD0H,NA,54,1C,IA,2,Story Co. ARC,1,1,B,0,0,2,2,50,NA
AD0L,NA,322,1E,SDG,2,Long Island CW Club,1,1,B,40,0,6,46,150,NA
AD0LS,NA,190,1E,NE,2,Ak Sar Ben ARC,1,1,B,0,0,20,20,150,NA
AD0ND,NA,1464,1A,ND,2,Jamestown ARC,3,1,G,0,303,1,304,250,NA
AD0RR,NA,204,1D,MO,2,NA,1,1,C,0,0,77,77,50,NA
AD0RW,NA,658,1E,IA,2,NA,1,1,B,152,0,0,152,50,NA
AD0X,NA,280,1B1B,AZ,5,Thunderbird ARC,1,1,B,23,0,0,23,50,NA
AD0YO,NA,654,1D,CO,2,Denver Radio Club,1,1,C,0,151,0,151,50,NA
AD0ZC,NA,200,1C,WY,2,NA,1,1,G,0,0,25,25,150,NA
AE1T,NA,518,1D,NH,2,NA,1,1,C,117,0,0,117,50,NA
AE2T,NA,1976,1D,WNY,2,NA,1,1,C,186,276,39,501,50,NA
AE2W,NA,1730,1D,WMA,2,NA,1,1,C,420,0,0,420,50,NA
AE3M,NA,790,1B1B,MDC,5,NA,1,1,B,64,0,0,64,150,NA
AE3NE,NA,162,1D,EPA,2,NA,1,1,C,0,0,6,6,150,NA
AE4AL,NA,114,1D,AL,2,Univ. of Alabama Radio Club,2,1,C,0,16,0,16,50,NA
AE4AN,NA,74,1D,VA,2,NA,1,1,C,6,0,0,6,50,NA
AE4M,NA,150,1D,AL,2,Huntsville ARC,1,1,C,0,25,0,25,50,NA
AE4WX,NA,974,1E,NC,2,NA,3,1,B,3,148,0,151,370,NA
AE5FM,NA,1414,1D,NTX,2,Dallas ARC,1,1,C,0,341,0,341,50,NA
AE5LC,NA,242,1D,NFL,2,The Villages ARC,1,1,C,0,48,0,48,50,NA
AE5MI,NA,94,1D,MS,2,Great Southern DX Assn.,1,1,C,0,11,0,11,50,NA
AE5MM,NA,466,1E,OK,2,NA,1,1,G,54,0,0,54,250,NA
AE5PR,NA,212,1D,NTX,2,NA,4,1,C,0,0,31,31,150,NA
AE5RX,NA,352,1A,AR,2,Crittenden Amateur Radio Operators,3,1,B,0,0,1,1,350,NA
AE5ZX,NA,130,1D,NM,2,NA,1,1,C,0,0,40,40,50,NA
AE6C,NA,1460,1B2B,SJV,5,NA,2,1,B,121,0,0,121,250,NA
AE6DB,NA,474,1B1,ORG,2,NA,1,1,B,0,0,12,12,450,NA
AE6JV,NA,2515,1E,NH,5,West Valley ARA,1,1,B,211,6,19,236,250,NA
AE6LL,NA,482,1B2,SCV,2,NA,2,1,B,0,6,54,60,350,NA
AE6NN,NA,210,1D,ORG,2,NA,1,1,C,0,6,18,24,150,NA
AE6SF/VE8,NA,152,1B1,NT,2,NA,1,1,B,0,0,1,1,150,NA
AE6XC,NA,96,1C,EB,2,Hayward Radio Club,1,1,B,0,0,23,23,50,NA
AE8EA,NA,208,1D,OH,2,NA,2,1,C,5,0,19,24,150,NA
AE9Q,NA,662,1D,AZ,2,Tortolita Radio Club,1,1,C,0,153,0,153,50,NA
AE9U,NA,660,2A,IN,2,Elkhart ARC,10,2,G,0,0,105,105,450,NA
AE0DC,NA,2298,1E,MO,2,NA,9,1,G,0,0,1024,1024,250,NA
AE0DM,NA,168,1D,CO,2,NA,1,1,C,0,0,59,59,50,NA
AE0IB,NA,450,1D,MO,2,NA,1,1,C,66,34,0,100,50,NA
AE0TB,NA,914,1D,IA,2,IWARN,1,1,C,0,216,0,216,50,NA
AE0WX,NA,82,1D,MN,2,Northern Lakes ARC,1,1,C,0,0,16,16,50,NA
AF2A,NA,1868,4A,WNY,2,Tompkins Co. ARA,10,4,G,81,49,339,469,670,NA
AF2F,NA,1666,1E,NNJ,2,NA,1,1,G,379,0,0,379,150,NA
AF2W,NA,470,1D,NFL,2,NA,1,1,C,0,0,210,210,50,NA
AF4FA,NA,406,1E,SFL,2,Highlands Co. ARC,1,1,G,0,64,0,64,150,NA
AF4PM,NA,274,1B1,WWA,2,San Juan Co. ARS,1,1,B,0,0,62,62,150,NA
AF4T,NA,1570,1D,TN,2,Tennessee Contest Grp.,1,1,C,330,0,0,330,250,NA
AF4WR,NA,370,1D,VA,2,NA,1,1,C,0,80,0,80,50,NA
AF5BG,NA,606,1E,OK,2,NA,1,1,B,0,114,0,114,150,NA
AF5J,NA,1126,1D,STX,2,Texas DX Soc.,1,1,C,269,0,0,269,50,NA
AF5M,NA,1098,1D,STX,2,Hambuds,1,1,C,0,153,68,221,350,NA
AF5MN,NA,130,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,0,40,40,50,NA
AF5T,NA,370,1D,SDG,2,SDGARES,1,1,C,0,54,2,56,150,NA
AF6G,NA,296,1D,NC,2,NA,1,1,C,0,0,123,123,50,NA
AF6GA,NA,542,1B1,SV,2,NA,1,1,G,48,0,0,48,350,NA
AF6GM,NA,252,1D,SDG,2,SDGARES,1,1,C,0,36,29,65,50,NA
AF6GQ,NA,422,1D,SCV,2,Monkey Lover's Radio Consortium,1,1,C,93,0,0,93,50,NA
AF6N,NA,78,1D,ORG,2,NA,1,1,C,7,0,0,7,50,NA
AF6WF,NA,68,1D,AZ,2,NA,1,1,C,0,0,9,9,50,NA
AF7FS,NA,75,1B1B,NV,5,NA,1,1,B,0,0,5,5,50,NA
AF7LZ,NA,96,1D,ID,2,NA,1,1,C,0,8,7,15,50,NA
AF9FA,NA,210,1E,WI,2,NA,1,1,B,0,0,30,30,150,NA
AF9J,NA,545,1E,WI,5,NA,1,1,B,37,0,5,42,150,NA
AF9Z,NA,176,1D,IL,2,NA,1,1,C,4,0,55,59,50,NA
AF0E,NA,990,1B1,CO,2,NA,1,1,G,185,0,0,185,250,NA
AF0S,AD0QD,4184,3A,CO,2,Pikes Peak Radio Amateur Assn.,10,3,G,486,118,239,843,1290,NA
AF0Z,NA,1114,1E,MN,2,NA,1,1,G,199,24,36,259,150,NA
AG1YK,NA,106,1D,CT,2,Heritage Village Radio and Electronics Club,1,1,C,0,0,28,28,50,NA
AG3Q,NA,1052,1B1,DE,2,Delaware Repeater Assn.,1,1,B,0,111,79,190,450,NA
AG4TT,NA,7572,3E,NC,2,Potomac Valley Radio Club,5,3,G,1188,123,789,2100,750,NA
AG5AT,NA,1254,1E,AL,2,Birmingham ARC,1,1,B,122,79,0,201,450,NA
AG5AY,NA,270,1D,LA,2,Baton Rouge ARC,1,1,C,55,0,0,55,50,NA
AG5HC,NA,982,1D,AR,2,Cabot Small Town ARS,1,1,C,0,208,0,208,150,NA
AG5JW,NA,1254,1E,LA,2,NA,1,1,G,0,251,0,251,250,NA
AG6AU,NA,2640,3A,SV,2,El Dorado Co. ARC,3,3,G,253,0,219,472,1190,NA
AG6JA,NA,256,1D,EB,2,NA,1,1,C,17,2,65,84,50,NA
AG7AB,NA,110,1D,AZ,2,Kachina ARC,1,1,C,0,12,6,18,50,NA
AG7GX,NA,90,1D,UT,2,Utah Valley ARC,1,1,C,0,10,0,10,50,NA
AG7KJ,NA,155,1B1B,WWA,5,NA,1,1,B,0,0,1,1,150,NA
AG7KO,NA,108,1D,WWA,2,NA,1,1,C,0,0,29,29,50,NA
AG7KU,NA,304,1E,AZ,2,Superstition ARC,1,1,B,0,0,77,77,150,NA
AG7OG,NA,116,1D,OR,2,McMinnville ARC,1,1,C,0,0,33,33,50,NA
AG7T,NA,1374,1B2,WWA,2,Mike and Key ARC,2,1,G,0,231,0,231,450,NA
AG7TX,NA,558,1B1,NV,2,NA,1,1,B,89,0,26,115,150,NA
AG7WW,NA,1260,1E,OR,5,NA,6,1,B,0,101,0,101,250,Y
AG8A,NA,174,1D,WCF,2,NA,1,1,C,0,31,0,31,50,NA
AG8M,NA,246,1D,AZ,2,West Valley ARC,1,1,C,0,49,0,49,50,NA
AH6EZ,NA,1592,1D,WWA,2,Jefferson Co. (WA) ARC,1,1,C,0,355,11,366,150,NA
AH6SZ,NA,766,1D,PAC,2,Maui ARC,1,1,C,0,179,0,179,50,NA
AI1G,NA,262,1D,WMA,2,Central MA ARA,1,1,C,0,0,56,56,150,NA
AI2U,NA,994,1E,WNY,2,Keuka Lake ARA,2,1,B,200,0,22,222,150,NA
AI3KS,NA,1270,1E,EPA,2,NA,1,1,B,50,155,0,205,450,NA
AI3Q,NA,1658,1D,EPA,2,Anthracite Repeater Assn.,1,1,C,402,0,0,402,50,NA
AI4AL,NA,3196,3A,AL,2,Bama Ham'ers,3,3,B,0,149,625,774,1350,NA
AI4DB,NA,170,1D,TN,2,West TN ARS,1,1,C,0,0,60,60,50,NA
AI4GR,NA,150,1D,NC,2,Blue Ridge ARC,1,1,C,25,0,0,25,50,NA
AI4K,KM4RT,2290,5A,TN,2,Tipton ARS,14,5,G,0,307,46,353,970,NA
AI4UC,NA,530,1E,VA,2,NA,1,1,B,0,120,0,120,50,NA
AI4WL,NA,984,1E,NC,2,Pamlico ARS,1,1,G,0,160,47,207,250,NA
AI5A,NA,274,1D,ENY,2,Oak Hill ARC,1,1,C,56,0,0,56,50,NA
AI5C,NA,348,1B2,SV,2,NA,2,1,B,0,7,35,42,250,NA
AI5DD,NA,274,1D,OK,2,Stillwater ARC,1,1,C,56,0,0,56,50,NA
AI5G,NA,392,1D,NTX,2,NA,1,1,C,4,81,1,86,50,NA
AI5GU,NA,200,1E,NTX,2,McKinney ARC,1,1,B,0,0,25,25,150,NA
AI5HV,NA,60,1D,OK,2,BA ARC/USS Batfish ARC,1,1,C,0,0,5,5,50,NA
AI5M,NA,938,2AC,STX,2,Sam Houston Amateur Radio Klub,12,2,C,0,0,144,144,650,NA
AI6DO,NA,840,2B1B,MI,5,Aerospace Employees Assn. ARC,1,2,B,37,0,4,41,450,NA
AI6JB,NA,162,1B1,SV,2,Sierra Foothills ARC,1,1,B,0,0,6,6,150,NA
AI6MW,NA,474,1D,SB,2,Conejo Valley ARC,1,1,C,0,106,0,106,50,NA
AI6O,NA,306,1D,MO,2,Kansas City Contest Club,1,1,C,62,0,4,66,50,Y
AI7AQ,NA,414,1D,AZ,2,NA,1,1,C,0,91,0,91,50,NA
AI7CS,NA,384,1B1,EWA,2,Kittitas Co. Amateur Radio Comm. Svc.,1,1,B,0,0,17,17,350,NA
AI7SV,NA,180,1B1B,WWA,5,Anderson Island ARC,1,1,B,0,1,4,5,150,NA
AI9K,NA,710,1E,IL,5,NA,1,1,B,56,0,0,56,150,NA
AI9T,NA,450,1D,IL,2,Soc. of Midwest Contesters,1,1,C,100,0,0,100,50,NA
AI0M,NA,294,1D,MN,2,Rochester (MN) ARC,1,1,C,61,0,0,61,50,NA
AJ2X,NA,188,1D,NC,2,Orange Co. Radio Amateurs and Durham FM Assn.,1,1,C,0,0,69,69,50,NA
AJ3M,NA,66,1D,MDC,2,Potomac Valley Radio Club,1,1,C,0,0,8,8,50,NA
AJ4A,NA,8782,6A,KY,2,CKARS/HHFNKY,23,6,G,1123,242,886,2251,1550,NA
AJ4BB,NA,920,1E,NV,2,NA,1,1,B,67,2,47,116,550,NA
AJ4EY,NA,510,1E,VA,2,NA,1,1,G,0,32,66,98,250,NA
AJ4F,NA,1038,1D,STX,2,Texas DX Soc.,1,1,C,247,0,0,247,50,NA
AJ4GY,NA,300,1B1C,TN,2,NA,1,1,C,0,0,75,75,150,NA
AJ4IR,NA,2785,3AB,SFL,5,Indian River ARC,7,3,B,148,0,71,219,950,NA
AJ4LJ,NA,842,1D,SFL,2,Palms West ARC,1,1,C,0,198,0,198,50,NA
AJ4MJ,NA,1400,1B2B,NC,5,NA,2,1,B,125,0,0,125,150,NA
AJ4YB,NA,250,1E,VA,2,Mt. Vernon (VA) ARC,1,1,B,0,0,50,50,150,NA
AJ5S,NA,298,1D,MS,2,NA,1,1,C,0,62,0,62,50,NA
